year,exporter_code,exporter,importer_code,importer,value_usd,net_kg,unit_usd_kg,provisional
2012,152,Chile,842,USA,295280598.76,53446113.678,5.5248,False
2012,842,USA,124,Canada,190412542.0,42417079.0,4.4891,False
2012,124,Canada,842,USA,181124949.0,87318120.0,2.0743,False
2012,724,Spain,826,United Kingdom,47720143.507,5685919.4,8.3927,False
2012,152,Chile,528,Netherlands,38821270.31,6400581.06,6.0653,False
2012,528,Netherlands,826,United Kingdom,29119217.768,3828054.0,7.6068,False
2012,152,Chile,826,United Kingdom,27454427.0,4625536.45,5.9354,False
2012,724,Spain,276,Germany,27082971.101,3387886.9,7.9941,False
2012,528,Netherlands,276,Germany,26633759.839,3780160.0,7.0457,False
2012,616,Poland,826,United Kingdom,20001974.0,3272440.0,6.1123,False
2012,842,USA,392,Japan,19545268.0,3633194.0,5.3796,False
2012,528,Netherlands,579,Norway,15854750.347,1194536.0,13.2727,False
2012,724,Spain,528,Netherlands,13944113.933,993466.7,14.0358,False
2012,484,Mexico,842,USA,13610124.0,2030938.0,6.7014,False
2012,528,Netherlands,56,Belgium,13450931.416,1341408.0,10.0275,False
2012,504,Morocco,251,France,13332691.0,1981074.0,6.73,False
2012,56,Belgium,579,Norway,11342179.982,852900.0,13.2984,False
2012,710,South Africa,826,United Kingdom,10516644.697,1327541.0,7.9219,False
2012,152,Chile,344,"China, Hong Kong SAR",9693570.84,1378411.477,7.0324,False
2012,842,USA,344,"China, Hong Kong SAR",8379462.0,1213184.0,6.907,False
2012,152,Chile,392,Japan,7969738.83,868462.55,9.1768,False
2012,528,Netherlands,372,Ireland,6932377.387,1105637.0,6.27,False
2012,251,France,826,United Kingdom,6846672.0,943243.0,7.2587,False
2012,152,Chile,124,Canada,4775797.25,837389.01,5.7032,False
2012,842,USA,410,Rep. of Korea,4422281.0,2038207.0,2.1697,False
2012,842,USA,826,United Kingdom,4246589.0,1026090.0,4.1386,False
2012,724,Spain,56,Belgium,4227215.545,500411.0,8.4475,False
2012,528,Netherlands,208,Denmark,4215438.798,415733.0,10.1398,False
2012,276,Germany,40,Austria,4162973.718,435346.0,9.5624,False
2012,251,France,757,Switzerland,3848178.0,357960.0,10.7503,False
2012,152,Chile,156,China,3821546.68,551046.66,6.9351,False
2012,251,France,528,Netherlands,3744204.0,401071.0,9.3355,False
2012,484,Mexico,392,Japan,3700379.0,346445.0,10.681,False
2012,724,Spain,251,France,3467235.439,414877.7,8.3572,False
2012,251,France,276,Germany,3387872.0,404145.0,8.3828,False
2012,616,Poland,528,Netherlands,3262824.0,731655.0,4.4595,False
2012,528,Netherlands,757,Switzerland,3222387.216,280805.0,11.4755,False
2012,724,Spain,757,Switzerland,3139526.465,295420.5,10.6273,False
2012,616,Poland,276,Germany,2932234.0,847736.0,3.4589,False
2012,276,Germany,380,Italy,2906935.197,419820.0,6.9242,False
2012,842,USA,528,Netherlands,2821622.0,822400.0,3.431,False
2012,276,Germany,528,Netherlands,2470077.994,398234.0,6.2026,False
2012,724,Spain,380,Italy,2363383.174,389072.0,6.0744,False
2012,842,USA,490,"Other Asia, nes",2353473.0,482037.0,4.8823,False
2012,56,Belgium,752,Sweden,2192695.489,176822.0,12.4006,False
2012,724,Spain,620,Portugal,1941361.774,277091.1,7.0062,False
2012,504,Morocco,724,Spain,1932708.0,299269.0,6.4581,False
2012,56,Belgium,208,Denmark,1836090.644,154560.0,11.8795,False
2012,528,Netherlands,752,Sweden,1772751.074,173566.0,10.2137,False
2012,616,Poland,643,Russian Federation,1632903.0,285979.0,5.7099,False
2012,152,Chile,276,Germany,1609629.0,231296.98,6.9591,False
2012,724,Spain,372,Ireland,1597784.944,175278.0,9.1157,False
2012,528,Netherlands,251,France,1527940.81,135000.0,11.3181,False
2012,504,Morocco,826,United Kingdom,1519307.0,409524.0,3.7099,False
2012,528,Netherlands,380,Italy,1463985.461,234572.0,6.2411,False
2012,251,France,724,Spain,1392682.0,149076.0,9.3421,False
2012,616,Poland,579,Norway,1299264.0,202199.0,6.4257,False
2012,344,"China, Hong Kong SAR",156,China,1262154.0,289485.0,4.36,False
2012,152,Chile,490,"Other Asia, nes",1252476.55,128360.64,9.7575,False
2012,276,Germany,208,Denmark,1203202.003,226632.0,5.3091,False
2012,251,France,372,Ireland,1172450.0,93385.0,12.555,False
2012,842,USA,702,Singapore,1155303.0,183302.0,6.3027,False
2012,842,USA,56,Belgium,1132480.0,342005.0,3.3113,False
2012,251,France,380,Italy,1128252.0,101654.0,11.0989,False
2012,724,Spain,208,Denmark,1103502.545,121641.6,9.0718,False
2012,620,Portugal,251,France,1032920.0,119493.0,8.6442,False
2012,56,Belgium,528,Netherlands,963088.316,154482.45,6.2343,False
2012,616,Poland,208,Denmark,949903.0,169638.0,5.5996,False
2012,56,Belgium,246,Finland,921182.886,75407.4,12.2161,False
2012,152,Chile,410,Rep. of Korea,880222.0,113440.35,7.7593,False
2012,842,USA,156,China,877726.0,316568.0,2.7726,False
2012,251,France,56,Belgium,864845.0,106420.0,8.1267,False
2012,152,Chile,702,Singapore,843940.58,102631.37,8.223,False
2012,616,Poland,380,Italy,812186.0,111623.0,7.2762,False
2012,56,Belgium,643,Russian Federation,771312.092,176524.0,4.3694,False
2012,152,Chile,784,United Arab Emirates,661007.0,60405.98,10.9427,False
2012,124,Canada,392,Japan,647792.0,85862.0,7.5446,False
2012,528,Netherlands,246,Finland,638805.096,53433.0,11.9553,False
2012,724,Spain,616,Poland,631522.241,297465.0,2.123,False
2012,56,Belgium,826,United Kingdom,629501.098,119215.0,5.2804,False
2012,616,Poland,757,Switzerland,617903.0,90160.0,6.8534,False
2012,276,Germany,757,Switzerland,542441.555,79033.0,6.8635,False
2012,842,USA,36,Australia,534717.0,244154.0,2.1901,False
2012,56,Belgium,251,France,507346.204,92372.66,5.4924,False
2012,616,Poland,372,Ireland,496629.0,76575.0,6.4855,False
2012,276,Germany,203,Czechia,482953.72,51227.0,9.4277,False
2012,616,Poland,40,Austria,482712.0,81727.0,5.9064,False
2012,528,Netherlands,620,Portugal,480679.689,37173.0,12.9309,False
2012,152,Chile,724,Spain,476578.0,110668.5,4.3064,False
2012,842,USA,784,United Arab Emirates,470747.0,112119.0,4.1986,False
2012,124,Canada,826,United Kingdom,455959.0,185658.0,2.4559,False
2012,528,Netherlands,616,Poland,433460.283,42504.0,10.1981,False
2012,616,Poland,752,Sweden,421805.0,63577.0,6.6346,False
2012,124,Canada,643,Russian Federation,410809.0,230205.0,1.7845,False
2012,251,France,208,Denmark,395607.0,32902.0,12.0238,False
2012,528,Netherlands,440,Lithuania,395458.183,26717.0,14.8017,False
2012,688,Serbia,276,Germany,394969.0,125716.0,3.1418,False
2012,124,Canada,490,"Other Asia, nes",394257.0,146752.0,2.6866,False
2012,528,Netherlands,40,Austria,393398.177,42995.0,9.1499,False
2012,528,Netherlands,352,Iceland,387535.775,29085.0,13.3242,False
2012,842,USA,376,Israel,383988.0,204075.0,1.8816,False
2012,724,Spain,40,Austria,378442.033,34861.0,10.8557,False
2012,276,Germany,752,Sweden,375644.524,52783.0,7.1168,False
2012,842,USA,76,Brazil,369677.0,92681.0,3.9887,False
2012,842,USA,372,Ireland,364628.0,69725.0,5.2295,False
2012,152,Chile,76,Brazil,359073.0,45783.86,7.8428,False
2012,842,USA,484,Mexico,352505.0,90309.0,3.9033,False
2012,152,Chile,380,Italy,346327.0,49372.5,7.0146,False
2012,484,Mexico,826,United Kingdom,320917.0,21314.0,15.0566,False
2012,276,Germany,348,Hungary,278724.234,46564.0,5.9858,False
2012,56,Belgium,442,Luxembourg,274694.568,30061.35,9.1378,False
2012,620,Portugal,528,Netherlands,273354.0,54347.0,5.0298,False
2012,124,Canada,276,Germany,265538.0,88592.0,2.9973,False
2012,124,Canada,344,"China, Hong Kong SAR",243683.0,21596.0,11.2837,False
2012,152,Chile,458,Malaysia,238954.04,30938.82,7.7234,False
2012,276,Germany,826,United Kingdom,238114.571,47480.0,5.015,False
2012,528,Netherlands,643,Russian Federation,236055.88,23142.0,10.2003,False
2012,56,Belgium,276,Germany,233347.599,26111.86,8.9365,False
2012,152,Chile,251,France,220076.61,33221.3,6.6246,False
2012,528,Netherlands,203,Czechia,210965.467,31496.0,6.6982,False
2012,251,France,40,Austria,210815.0,31366.0,6.7211,False
2012,842,USA,554,New Zealand,210288.0,135708.0,1.5496,False
2012,710,South Africa,344,"China, Hong Kong SAR",205486.945,26086.0,7.8773,False
2012,528,Netherlands,784,United Arab Emirates,205321.668,15757.0,13.0305,False
2012,724,Spain,348,Hungary,187856.148,16747.8,11.2168,False
2012,710,South Africa,702,Singapore,186748.635,21219.7,8.8007,False
2012,124,Canada,156,China,186450.0,42055.0,4.4335,False
2012,616,Poland,724,Spain,182223.0,28172.0,6.4682,False
2012,56,Belgium,203,Czechia,172818.878,17218.0,10.0371,False
2012,528,Netherlands,642,Romania,171389.43,10706.0,16.0087,False
2012,604,Peru,826,United Kingdom,170007.84,14931.6,11.3858,False
2012,724,Spain,203,Czechia,169591.703,18273.0,9.281,False
2012,152,Chile,484,Mexico,168479.65,43032.99,3.9151,False
2012,56,Belgium,352,Iceland,167993.53,14410.0,11.6581,False
2012,276,Germany,616,Poland,162213.728,14395.0,11.2688,False
2012,251,France,616,Poland,157446.0,21816.0,7.217,False
2012,724,Spain,702,Singapore,149559.712,20811.3,7.1865,False
2012,842,USA,352,Iceland,148408.0,26158.0,5.6735,False
2012,604,Peru,528,Netherlands,147983.18,19206.7,7.7048,False
2012,710,South Africa,372,Ireland,147203.553,15120.0,9.7357,False
2012,724,Spain,440,Lithuania,146298.158,12049.5,12.1414,False
2012,276,Germany,620,Portugal,145619.496,47411.0,3.0714,False
2012,688,Serbia,40,Austria,139767.0,50000.0,2.7953,False
2012,616,Poland,440,Lithuania,135254.0,26580.0,5.0886,False
2012,724,Spain,784,United Arab Emirates,123115.993,8866.5,13.8855,False
2012,124,Canada,528,Netherlands,118098.0,27883.0,4.2355,False
2012,528,Netherlands,348,Hungary,117217.182,10335.0,11.3418,False
2012,528,Netherlands,724,Spain,116243.759,7687.0,15.1221,False
2012,842,USA,276,Germany,114499.0,74846.0,1.5298,False
2012,124,Canada,208,Denmark,113260.0,24493.0,4.6242,False
2012,56,Belgium,40,Austria,110981.082,14379.7,7.7179,False
2012,528,Netherlands,705,Slovenia,106218.909,8771.0,12.1102,False
2012,528,Netherlands,300,Greece,102050.033,7217.0,14.1402,False
2012,152,Chile,643,Russian Federation,100710.0,17092.5,5.8921,False
2012,528,Netherlands,428,Latvia,98255.352,7368.0,13.3354,False
2012,604,Peru,56,Belgium,97634.0,7801.85,12.5142,False
2012,842,USA,170,Colombia,97002.0,57410.0,1.6896,False
2012,616,Poland,804,Ukraine,95682.0,70839.0,1.3507,False
2012,688,Serbia,643,Russian Federation,95170.0,19517.0,4.8763,False
2012,724,Spain,752,Sweden,94218.838,10591.2,8.896,False
2012,710,South Africa,528,Netherlands,93816.036,10591.0,8.8581,False
2012,124,Canada,56,Belgium,92382.0,23422.0,3.9442,False
2012,124,Canada,410,Rep. of Korea,91931.0,24493.0,3.7534,False
2012,56,Belgium,440,Lithuania,88634.485,5732.03,15.463,False
2012,528,Netherlands,414,Kuwait,87858.879,5100.0,17.2272,False
2012,616,Poland,348,Hungary,86743.0,14490.0,5.9864,False
2012,56,Belgium,784,United Arab Emirates,86268.181,4452.0,19.3774,False
2012,724,Spain,458,Malaysia,83367.933,8039.0,10.3704,False
2012,152,Chile,170,Colombia,79656.0,7524.9,10.5857,False
2012,842,USA,780,Trinidad and Tobago,77555.0,53189.0,1.4581,False
2012,842,USA,458,Malaysia,77083.0,18994.0,4.0583,False
2012,842,USA,203,Czechia,75000.0,50054.0,1.4984,False
2012,842,USA,440,Lithuania,75000.0,38000.0,1.9737,False
2012,528,Netherlands,36,Australia,74990.913,42790.0,1.7525,False
2012,842,USA,380,Italy,74000.0,19233.0,3.8476,False
2012,616,Poland,191,Croatia,72171.0,14700.0,4.9096,False
2012,528,Netherlands,804,Ukraine,70813.035,12943.0,5.4711,False
2012,56,Belgium,372,Ireland,70585.304,6264.07,11.2683,False
2012,276,Germany,703,Slovakia,69854.892,4873.0,14.3351,False
2012,528,Netherlands,470,Malta,69231.382,6243.0,11.0894,False
2012,616,Poland,703,Slovakia,69200.0,14717.0,4.702,False
2012,842,USA,44,Bahamas,67130.0,10631.0,6.3146,False
2012,124,Canada,372,Ireland,67016.0,7169.0,9.348,False
2012,56,Belgium,380,Italy,65726.702,8705.34,7.5502,False
2012,251,France,579,Norway,64322.0,5770.0,11.1477,False
2012,152,Chile,56,Belgium,63919.0,8467.5,7.5487,False
2012,842,USA,414,Kuwait,62107.0,6323.0,9.8224,False
2012,124,Canada,710,South Africa,62014.0,79834.0,0.7768,False
2012,56,Belgium,724,Spain,61981.33,4776.44,12.9765,False
2012,842,USA,764,Thailand,61578.0,15274.0,4.0316,False
2012,124,Canada,191,Croatia,60946.0,39917.0,1.5268,False
2012,842,USA,710,South Africa,60620.0,46670.0,1.2989,False
2012,484,Mexico,344,"China, Hong Kong SAR",59688.0,4294.0,13.9003,False
2012,842,USA,686,Senegal,58656.0,11952.0,4.9076,False
2012,152,Chile,188,Costa Rica,58007.0,6202.44,9.3523,False
2012,620,Portugal,246,Finland,55844.0,7359.0,7.5885,False
2012,842,USA,214,Dominican Rep.,55400.0,8323.0,6.6563,False
2012,842,USA,586,Pakistan,53674.0,35822.0,1.4984,False
2012,842,USA,222,El Salvador,53500.0,16515.0,3.2395,False
2012,842,USA,643,Russian Federation,52199.0,27396.0,1.9054,False
2012,276,Germany,100,Bulgaria,50569.287,13200.0,3.831,False
2012,528,Netherlands,196,Cyprus,50287.555,4158.0,12.0942,False
2012,251,France,752,Sweden,50174.0,6100.0,8.2252,False
2012,724,Spain,233,Estonia,49428.528,5298.0,9.3297,False
2012,528,Netherlands,634,Qatar,49062.095,3244.0,15.124,False
2012,276,Germany,724,Spain,47140.164,4994.0,9.4394,False
2012,528,Netherlands,842,USA,46662.613,14310.0,3.2608,False
2012,276,Germany,251,France,46014.26,5737.0,8.0206,False
2012,616,Poland,710,South Africa,44547.0,6864.0,6.4899,False
2012,484,Mexico,124,Canada,42719.0,5400.0,7.9109,False
2012,620,Portugal,56,Belgium,42099.0,10207.0,4.1245,False
2012,56,Belgium,428,Latvia,41204.541,2401.5,17.1578,False
2012,842,USA,616,Poland,40000.0,18289.0,2.1871,False
2012,124,Canada,251,France,39358.0,24615.0,1.5989,False
2012,152,Chile,764,Thailand,38840.0,3703.5,10.4874,False
2012,842,USA,608,Philippines,38543.0,4122.0,9.3506,False
