year,role,reporter_code,country,value_usd,net_kg,unit_usd_kg,rank,share,cum_share,provisional
2022,exporter,604,Peru,1350974725.827,273090113.551,4.947,1,0.29188,0.29188,False
2022,exporter,528,Netherlands,542311488.43,88736269.929,6.1115,2,0.11717,0.40905,False
2022,exporter,724,Spain,493447406.453,86794681.02,5.6852,3,0.10661,0.51566,False
2022,exporter,152,Chile,424298642.752,105470075.56,4.0229,4,0.09167,0.60733,False
2022,exporter,842,USA,307592863.0,53881764.0,5.7087,5,0.06646,0.67379,False
2022,exporter,504,Morocco,289890286.42,53005455.16,5.4691,6,0.06263,0.73642,False
2022,exporter,484,Mexico,247519657.0,47411231.0,5.2207,7,0.05348,0.7899,False
2022,exporter,124,Canada,188973005.797,77130972.0,2.45,8,0.04083,0.83073,False
2022,exporter,710,South Africa,150233648.639,26912094.76,5.5824,9,0.03246,0.86319,False
2022,exporter,616,Poland,130395752.0,27166502.208,4.7999,10,0.02817,0.89136,False
2022,exporter,344,"China, Hong Kong SAR",112647768.279,20317820.0,5.5443,11,0.02434,0.9157,False
2022,exporter,276,Germany,52312644.202,9488655.1,5.5132,12,0.0113,0.927,False
2022,exporter,620,Portugal,41308191.103,7168536.0,5.7624,13,0.00892,0.93592,False
2022,exporter,251,France,38787999.381,6259498.847,6.1967,14,0.00838,0.9443,False
2022,exporter,56,Belgium,32967756.13,5441645.74,6.0584,15,0.00712,0.95142,False
2022,exporter,688,Serbia,28290390.0,4919508.0,5.7507,16,0.00611,0.95753,False
2022,exporter,554,New Zealand,22995925.54,1344855.0,17.0992,17,0.00497,0.9625,False
2022,exporter,642,Romania,22573214.21,4575364.0,4.9336,18,0.00488,0.96738,False
2022,exporter,380,Italy,22037645.719,3204729.0,6.8766,19,0.00476,0.97214,False
2022,exporter,752,Sweden,13042981.849,7263340.692,1.7957,20,0.00282,0.97496,False
2022,exporter,32,Argentina,12503142.98,4114591.0,3.0387,21,0.0027,0.97766,False
2022,exporter,716,Zimbabwe,11668158.84,4416247.1,2.6421,22,0.00252,0.98018,False
2022,exporter,804,Ukraine,11574694.26,3161325.06,3.6613,23,0.0025,0.98268,False
2022,exporter,40,Austria,10834581.471,1497700.0,7.2341,24,0.00234,0.98502,False
2022,exporter,36,Australia,10783354.537,482569.28,22.3457,25,0.00233,0.98735,False
2022,exporter,428,Latvia,10695117.817,2497875.0,4.2817,26,0.00231,0.98966,False
2022,exporter,440,Lithuania,8966137.0,1377468.08,6.5091,27,0.00194,0.9916,False
2022,exporter,268,Georgia,8519555.2,1392542.8,6.118,28,0.00184,0.99344,False
2022,exporter,826,United Kingdom,6412066.777,1296503.987,4.9457,29,0.00139,0.99483,False
2022,exporter,894,Zambia,3189561.58,504618.0,6.3207,30,0.00069,0.99552,False
2022,exporter,170,Colombia,2168641.91,396327.0,5.4719,31,0.00047,0.99599,False
2022,exporter,702,Singapore,2034348.159,308270.0,6.5992,32,0.00044,0.99643,False
2022,exporter,246,Finland,1842889.861,1239823.57,1.4864,33,0.0004,0.99683,False
2022,exporter,703,Slovakia,1546353.473,255567.0,6.0507,34,0.00033,0.99716,False
2022,exporter,203,Czechia,1435552.0,221634.793,6.4771,35,0.00031,0.99747,False
2022,exporter,191,Croatia,1392076.0,215164.65,6.4698,36,0.0003,0.99777,False
2022,exporter,792,Türkiye,1335593.0,269744.0,4.9513,37,0.00029,0.99806,False
2022,exporter,218,Ecuador,1242008.2,220383.935,5.6357,38,0.00027,0.99833,False
2022,exporter,233,Estonia,993064.86,153450.58,6.4716,39,0.00021,0.99854,False
2022,exporter,208,Denmark,961714.798,165729.0,5.8029,40,0.00021,0.99875,False
2022,exporter,156,China,806259.0,177902.0,4.532,41,0.00017,0.99892,False
2022,exporter,784,United Arab Emirates,789895.967,160180.75,4.9313,42,0.00017,0.99909,False
2022,exporter,372,Ireland,643435.88,108817.0,5.913,43,0.00014,0.99923,False
2022,exporter,858,Uruguay,604058.0,186463.082,3.2396,44,0.00013,0.99936,False
2022,exporter,705,Slovenia,352117.523,51562.9,6.8289,45,8e-05,0.99944,False
2022,exporter,320,Guatemala,330085.0,117577.0,2.8074,46,7e-05,0.99951,False
2022,exporter,300,Greece,324027.276,87904.0,3.6861,47,7e-05,0.99958,False
2022,exporter,31,Azerbaijan,270986.0,56904.0,4.7622,48,6e-05,0.99964,False
2022,exporter,404,Kenya,224356.839,39568.25,5.6701,49,5e-05,0.99969,False
2022,exporter,516,Namibia,189042.418,31604.64,5.9815,50,4e-05,0.99973,False
2022,exporter,100,Bulgaria,164695.52,22408.0,7.3499,51,4e-05,0.99977,False
2022,exporter,76,Brazil,136124.0,23121.0,5.8875,52,3e-05,0.9998,False
2022,exporter,499,Montenegro,130001.031,39760.0,3.2696,53,3e-05,0.99983,False
2022,exporter,188,Costa Rica,126019.2,7590.0,16.6033,54,3e-05,0.99986,False
2022,exporter,442,Luxembourg,120275.16,11785.555,10.2053,55,3e-05,0.99989,False
2022,exporter,410,Rep. of Korea,111713.0,6320.158,17.6757,56,2e-05,0.99991,False
2022,exporter,70,Bosnia Herzegovina,95910.07,15627.0,6.1375,57,2e-05,0.99993,False
2022,exporter,458,Malaysia,73332.06,9566.06,7.6659,58,2e-05,0.99995,False
2022,exporter,392,Japan,71750.061,2370.0,30.2743,59,2e-05,0.99997,False
2022,exporter,860,Uzbekistan,55485.0,4105.0,13.5164,60,1e-05,0.99998,False
2022,exporter,764,Thailand,52520.992,11325.0,4.6376,61,1e-05,0.99999,False
2022,exporter,512,Oman,50145.644,7545.026,6.6462,62,1e-05,1.0,False
2022,exporter,48,Bahrain,22522.979,5227.22,4.3088,63,0.0,1.0,False
2022,exporter,586,Pakistan,17169.812,5370.0,3.1974,64,0.0,1.0,False
2022,exporter,352,Iceland,15609.16,2908.0,5.3677,65,0.0,1.0,False
