year,role,reporter_code,country,value_usd,net_kg,unit_usd_kg,rank,share,cum_share,provisional
2022,exporter,484,Mexico,3308999536.0,1125559082.0,2.9399,1,0.46529,0.46529,False
2022,exporter,528,Netherlands,905029338.731,320798021.0,2.8212,2,0.12726,0.59255,False
2022,exporter,604,Peru,894271813.955,583214518.047,1.5333,3,0.12575,0.7183,False
2022,exporter,724,Spain,415790506.638,150148075.0,2.7692,4,0.05847,0.77677,False
2022,exporter,152,Chile,247809276.666,109121070.99,2.271,5,0.03485,0.81162,False
2022,exporter,170,Colombia,179262659.6,98595127.86,1.8182,6,0.02521,0.83683,False
2022,exporter,842,USA,149709399.0,49332368.0,3.0347,7,0.02105,0.85788,False
2022,exporter,504,Morocco,146969709.461,55195510.19,2.6627,8,0.02067,0.87855,False
2022,exporter,404,Kenya,128888683.254,103239616.23,1.2484,9,0.01812,0.89667,False
2022,exporter,710,South Africa,117742273.853,62983592.41,1.8694,10,0.01656,0.91323,False
2022,exporter,376,Israel,100759000.0,40599284.559,2.4818,11,0.01417,0.9274,False
2022,exporter,251,France,99239356.102,39837279.0,2.4911,12,0.01395,0.94135,False
2022,exporter,554,New Zealand,51761399.668,18524675.0,2.7942,13,0.00728,0.94863,False
2022,exporter,276,Germany,51478094.593,15971252.657,3.2232,14,0.00724,0.95587,False
2022,exporter,36,Australia,38231276.079,10975907.6,3.4832,15,0.00538,0.96125,False
2022,exporter,56,Belgium,33040811.874,10708489.87,3.0855,16,0.00465,0.9659,False
2022,exporter,344,"China, Hong Kong SAR",24328543.892,10764236.0,2.2601,17,0.00342,0.96932,False
2022,exporter,620,Portugal,23304957.419,9760540.0,2.3877,18,0.00328,0.9726,False
2022,exporter,834,United Rep. of Tanzania,20995556.07,18667516.756,1.1247,19,0.00295,0.97555,False
2022,exporter,76,Brazil,17063617.0,10749854.0,1.5873,20,0.0024,0.97795,False
2022,exporter,826,United Kingdom,16972123.26,7514775.0,2.2585,21,0.00239,0.98034,False
2022,exporter,784,United Arab Emirates,14169756.34,8462757.0,1.6744,22,0.00199,0.98233,False
2022,exporter,616,Poland,13805012.0,6705314.143,2.0588,23,0.00194,0.98427,False
2022,exporter,320,Guatemala,12226493.0,10801120.87,1.132,24,0.00172,0.98599,False
2022,exporter,208,Denmark,10712813.961,3771097.0,2.8408,25,0.00151,0.9875,False
2022,exporter,705,Slovenia,9295214.361,3182784.12,2.9205,26,0.00131,0.98881,False
2022,exporter,422,Lebanon,7679521.0,8883656.0,0.8645,27,0.00108,0.98989,False
2022,exporter,348,Hungary,7642724.0,2934359.1,2.6046,28,0.00107,0.99096,False
2022,exporter,440,Lithuania,7281775.0,2813321.8,2.5883,29,0.00102,0.99198,False
2022,exporter,380,Italy,6045100.427,2226674.0,2.7149,30,0.00085,0.99283,False
2022,exporter,792,Türkiye,5940375.0,3803558.0,1.5618,31,0.00084,0.99367,False
2022,exporter,646,Rwanda,4748753.05,2232400.9,2.1272,32,0.00067,0.99434,False
2022,exporter,40,Austria,4467008.068,1239116.0,3.605,33,0.00063,0.99497,False
2022,exporter,203,Czechia,3590657.0,943517.0,3.8056,34,0.0005,0.99547,False
2022,exporter,428,Latvia,3176726.537,1049231.0,3.0277,35,0.00045,0.99592,False
2022,exporter,608,Philippines,3145713.0,1267786.971,2.4813,36,0.00044,0.99636,False
2022,exporter,716,Zimbabwe,2748326.04,7722946.0,0.3559,37,0.00039,0.99675,False
2022,exporter,300,Greece,2209687.76,1250905.0,1.7665,38,0.00031,0.99706,False
2022,exporter,558,Nicaragua,1764540.0,5108131.0,0.3454,39,0.00025,0.99731,False
2022,exporter,508,Mozambique,1712276.98,2968090.0,0.5769,40,0.00024,0.99755,False
2022,exporter,218,Ecuador,1412100.3,1023226.4,1.38,41,0.0002,0.99775,False
2022,exporter,702,Singapore,1371413.44,341290.0,4.0183,42,0.00019,0.99794,False
2022,exporter,682,Saudi Arabia,1338050.367,417489.0,3.205,43,0.00019,0.99813,False
2022,exporter,800,Uganda,1300870.7,2914642.2,0.4463,44,0.00018,0.99831,False
2022,exporter,231,Ethiopia,1132797.776,3243202.9,0.3493,45,0.00016,0.99847,False
2022,exporter,212,Dominica,1127875.909,259683.0,4.3433,46,0.00016,0.99863,False
2022,exporter,384,Côte d'Ivoire,824370.832,12281703.0,0.0671,47,0.00012,0.99875,False
2022,exporter,268,Georgia,765801.935,267295.9,2.865,48,0.00011,0.99886,False
2022,exporter,752,Sweden,606767.583,127917.118,4.7434,49,9e-05,0.99895,False
2022,exporter,191,Croatia,556039.0,191112.22,2.9095,50,8e-05,0.99903,False
2022,exporter,275,State of Palestine,551985.884,222461.652,2.4813,51,8e-05,0.99911,False
2022,exporter,372,Ireland,550657.03,138778.0,3.9679,52,8e-05,0.99919,False
2022,exporter,196,Cyprus,524038.067,273766.0,1.9142,53,7e-05,0.99926,False
2022,exporter,108,Burundi,484303.826,7169529.833,0.0676,54,7e-05,0.99933,False
2022,exporter,104,Myanmar,471785.276,762990.5,0.6183,55,7e-05,0.9994,False
2022,exporter,748,Eswatini,440657.68,409185.0,1.0769,56,6e-05,0.99946,False
2022,exporter,388,Jamaica,431928.03,116856.12,3.6962,57,6e-05,0.99952,False
2022,exporter,442,Luxembourg,389783.981,63316.51,6.1561,58,5e-05,0.99957,False
2022,exporter,188,Costa Rica,370679.5,71666.89,5.1723,59,5e-05,0.99962,False
2022,exporter,818,Egypt,344996.0,139040.476,2.4813,60,5e-05,0.99967,False
2022,exporter,246,Finland,332334.776,83449.0,3.9825,61,5e-05,0.99972,False
2022,exporter,360,Indonesia,246628.711,537292.6,0.459,62,3e-05,0.99975,False
2022,exporter,458,Malaysia,231904.857,250732.52,0.9249,63,3e-05,0.99978,False
2022,exporter,51,Armenia,199966.56,91068.0,2.1958,64,3e-05,0.99981,False
2022,exporter,136,Cayman Isds,197385.054,79550.232,2.4813,65,3e-05,0.99984,False
2022,exporter,100,Bulgaria,194147.577,50922.0,3.8126,66,3e-05,0.99987,False
2022,exporter,704,Viet Nam,139753.62,56323.58,2.4813,67,2e-05,0.99989,False
