year,month,exporter_code,exporter,importer_code,importer,value_usd,net_kg,unit_usd_kg
2020,1,152,Chile,842,USA,80892883.885,19489553.361,4.1506
2020,1,152,Chile,528,Netherlands,43398232.324,9363550.69,4.6348
2020,1,152,Chile,826,United Kingdom,23495051.601,4212563.95,5.5774
2020,1,344,"China, Hong Kong SAR",156,China,22202961.847,4572950.0,4.8553
2020,1,152,Chile,156,China,22167633.228,5454867.2,4.0638
2020,1,604,Peru,842,USA,17590927.59,3506625.0,5.0165
2020,1,528,Netherlands,276,Germany,17255810.44,2744936.0,6.2864
2020,1,504,Morocco,724,Spain,13444753.367,1656617.8,8.1158
2020,1,484,Mexico,842,USA,8406132.0,2313621.0,3.6333
2020,1,152,Chile,276,Germany,8031816.21,1824707.9,4.4017
2020,1,604,Peru,528,Netherlands,7917895.8,1522287.5,5.2013
2020,1,152,Chile,124,Canada,5059857.5,978555.79,5.1707
2020,1,152,Chile,410,Rep. of Korea,3959789.4,612064.09,6.4696
2020,1,528,Netherlands,40,Austria,3936731.574,194905.0,20.1982
2020,1,504,Morocco,579,Norway,3067034.445,367034.0,8.3563
2020,1,528,Netherlands,826,United Kingdom,3059394.64,449590.0,6.8049
2020,1,528,Netherlands,56,Belgium,2875890.149,397742.0,7.2305
2020,1,528,Netherlands,579,Norway,2754884.015,260844.0,10.5614
2020,1,528,Netherlands,616,Poland,2698225.557,390257.0,6.914
2020,1,152,Chile,724,Spain,2486963.13,506441.32,4.9107
2020,1,604,Peru,156,China,2170517.68,376902.0,5.7588
2020,1,152,Chile,490,"Other Asia, nes",2073442.55,262222.44,7.9072
2020,1,504,Morocco,528,Netherlands,2026906.185,257184.0,7.8812
2020,1,528,Netherlands,208,Denmark,1854139.752,230890.0,8.0304
2020,1,276,Germany,40,Austria,1668803.702,238609.0,6.9939
2020,1,528,Netherlands,724,Spain,1625123.785,210638.0,7.7152
2020,1,724,Spain,528,Netherlands,1435112.052,252387.0,5.6862
2020,1,152,Chile,702,Singapore,1337668.51,235386.0,5.6829
2020,1,152,Chile,56,Belgium,1267938.912,304109.67,4.1693
2020,1,528,Netherlands,203,Czechia,1099446.257,140590.0,7.8202
