year,reporter,partner,flow,value_eur,net_kg,eur_per_kg
2023,AT,WORLD,export,13157493.0,1724196.0,7.6311
2023,AT,DE,export,6444270.0,930236.0,6.9276
2023,AT,HU,export,2162665.0,269932.0,8.0119
2023,AT,SI,export,1383713.0,161268.0,8.5802
2023,AT,CH,export,893346.0,80260.0,11.1307
2023,AT,PL,export,685181.0,113309.0,6.047
2023,AT,IT,export,533702.0,64401.0,8.2872
2023,AT,SK,export,492850.0,39488.0,12.481
2023,AT,CZ,export,424827.0,26390.0,16.098
2023,AT,NL,export,98838.0,26970.0,3.6647
2023,AT,RO,export,38011.0,11930.0,3.1862
2023,AT,HR,export,36.0,5.0,7.2
2023,AT,LT,export,32.0,4.0,8.0
2023,AT,BG,export,15.0,1.0,15.0
2023,AT,FR,export,4.0,1.0,4.0
2023,AT,ES,export,3.0,1.0,3.0
2023,AT,WORLD,import,71105442.0,9593318.0,7.412
2023,AT,DE,import,38761878.0,5453891.0,7.1072
2023,AT,NL,import,15117596.0,1808462.0,8.3594
2023,AT,ES,import,10429698.0,1227950.0,8.4936
2023,AT,XS,import,3244119.0,482709.0,6.7207
2023,AT,PL,import,1017396.0,232631.0,4.3734
2023,AT,TR,import,849267.0,132810.0,6.3946
2023,AT,IT,import,464196.0,58084.0,7.9918
2023,AT,HU,import,418691.0,45470.0,9.2081
2023,AT,RO,import,410526.0,75971.0,5.4037
2023,AT,SE,import,168162.0,46249.0,3.636
2023,AT,FR,import,88715.0,8577.0,10.3434
2023,AT,BE,import,54620.0,5211.0,10.4817
2023,AT,XK,import,47741.0,9360.0,5.1005
2023,AT,SK,import,32837.0,5943.0,5.5253
2023,BE,WORLD,export,55547092.0,6542489.0,8.4902
2023,BE,RU,export,33194859.0,3708044.0,8.9521
2023,BE,NL,export,9007495.0,1331103.0,6.7669
2023,BE,FI,export,4462270.0,475783.0,9.3788
2023,BE,LU,export,1880476.0,221401.0,8.4935
2023,BE,LT,export,1203758.0,134861.0,8.9259
2023,BE,DE,export,1085171.0,137063.0,7.9173
2023,BE,LV,export,1047783.0,106438.0,9.8441
2023,BE,NO,export,902021.0,95644.0,9.431
2023,BE,DK,export,756961.0,68803.0,11.0019
2023,BE,FR,export,622290.0,89552.0,6.9489
2023,BE,IE,export,286702.0,49808.0,5.7561
