origin,year,exports_t,world_imports_t,mirror_ratio,eu_imports_t,eu_share
Peru,2022,273089,317874,1.164,72697.0,0.266
Peru,2023,206584,224560,1.087,43120.0,0.209
Peru,2024,325683,365723,1.123,75983.0,0.233
Chile,2022,105470,118779,1.126,30515.0,0.289
Chile,2023,82489,87351,1.059,23516.0,0.285
Chile,2024,89515,91985,1.028,26193.0,0.293
Morocco,2022,53005,64179,1.211,38174.0,0.72
Morocco,2023,52501,62724,1.195,34263.0,0.653
Morocco,2024,68470,83324,1.217,44576.0,0.651
South Africa,2022,26910,22659,0.842,15599.0,0.58
South Africa,2023,26347,22438,0.852,12611.0,0.479
South Africa,2024,26339,23415,0.889,10421.0,0.396
Spain,2022,86793,76009,0.876,,
Spain,2023,71352,61173,0.857,,
Spain,2024,86761,72499,0.836,,
Mexico,2022,47411,75988,1.603,43.0,0.001
Mexico,2023,54919,83284,1.516,24.0,0.0
Mexico,2024,46651,72591,1.556,2.0,0.0
