registro,predio,area_ha,municipio,estado,fruto,destination,source
PRE03/06/010/0001,Arándanos de Colima,29.73,Villa de Álvarez,Colima,Arándano,China,SENASICA predios de berries (China)
PRE03/14/005/0001,Sur Loma,56.41,Amatitán,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/023/0001,Meseta Azul,37.47,Zapotlán el Grande,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/023/0002,Llano,53.26,Zapotlán el Grande,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/083/0001,El Chicharrón,20.0,Tala,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/083/0002,Las Villanas,17.51,Tala,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/083/0003,Ojo de Agua,19.84,Tala,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/083/0004,El Chicharrón,16.88,Tala,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/083/0005,Cuisillos,10.4,Tala,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/083/0006,El Rodeo,8.0,Tala,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/108/0001,El Festejo,4.0,Tuxpan,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/121/0003,Gato,17.51,Zapotiltic,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/14/121/0004,Ocote Cuate,13.9,Zapotiltic,Jalisco,Arándano,China,SENASICA predios de berries (China)
PRE03/16/045/0012,El Capulín,18.0,Jiquilpan,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0004,La Maciela,4.5,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0005,La Lobera,1.0,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0006,Muerto 1,3.0,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0007,Muerto 2,4.6,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0008,Pinos,3.59,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0009,Parajes,5.19,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0010,Pescadillal,0.76,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0011,Maciela 3,1.57,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/075/0014,Las Cuevas,13.1,Los Reyes,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/079/0003,Rancho Araucaria,63.7,Salvador Escalante,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/085/0002,Rancho el Pejo,32.2,Tangancicuaro,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/085/0013,Potrero Grande,3.79,Tangancicuaro,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE03/16/111/0015,La Compartición,1.8,Ziracuaretiro,Michoacán,Arándano,China,SENASICA predios de berries (China)
PRE04/14/023/0003,San Jose,48.7,Zapotlán el Grande,Jalisco,Frambuesa,China,SENASICA predios de berries (China)
PRE04/14/023/0004,El Contento,21.76,Zapotlán el Grande,Jalisco,Frambuesa,China,SENASICA predios de berries (China)
PRE04/14/023/0005,Los Guayabos,2.42,Zapotlán el Grande,Jalisco,Frambuesa,China,SENASICA predios de berries (China)
PRE04/14/050/0030,Agaves,6.24,Jocotepec,Jalisco,Frambuesa,China,SENASICA predios de berries (China)
PRE04/14/050/0032,Rancho Nuevo,5.66,Jocotepec,Jalisco,Frambuesa,China,SENASICA predios de berries (China)
