year,partner_code,destination,value_usd,net_kg,cif_usd_kg
2012,842,United States,295280598.76,53446113.678,5.524828251105303
2012,528,Netherlands,38821270.31,6400581.06,6.065272816027738
2012,826,United Kingdom,27454427.0,4625536.45,5.935403881640582
2012,344,Hong Kong,9693570.84,1378411.477,7.032421741798948
2012,392,Japan,7969738.83,868462.55,9.176836502621788
2012,124,Canada,4775797.25,837389.01,5.703200296359275
2012,156,China,3821546.68,551046.66,6.935069128265835
2012,276,Germany,1609629.0,231296.98,6.959144040704725
2012,490,"Other Asia, nes",1252476.55,128360.64,9.75748134319056
2012,410,South Korea,880222.0,113440.35,7.759337837021835
2012,702,Singapore,843940.58,102631.37,8.223027520727824
2012,784,United Arab Emirates,661007.0,60405.98,10.942741099473926
2012,724,Spain,476578.0,110668.5,4.306356370602294
2012,76,Brazil,359073.0,45783.86,7.84278564542177
2012,380,Italy,346327.0,49372.5,7.014572889766571
2012,458,Malaysia,238954.04,30938.82,7.7234374161651935
2012,251,M49-251,220076.61,33221.3,6.624563457781603
2012,484,Mexico,168479.65,43032.99,3.915127672978336
2012,643,Russia,100710.0,17092.5,5.892057920140412
2012,170,Colombia,79656.0,7524.9,10.585655623330544
2012,56,Belgium,63919.0,8467.5,7.5487452022438735
2012,188,Costa Rica,58007.0,6202.44,9.352287164406269
2012,764,Thailand,38840.0,3703.5,10.487376805724317
2012,398,M49-398,31621.0,2550.0,12.400392156862743
2012,686,M49-686,31047.0,4307.8,7.207159106736617
2012,372,Ireland,22392.0,4095.0,5.468131868131868
2012,360,M49-360,21481.0,2244.48,9.570590960935272
2012,48,M49-48,16203.0,1350.0,12.002222222222224
2012,222,M49-222,12338.0,1427.4,8.643687824015693
2012,792,M49-792,7375.0,1108.8,6.651334776334776
2012,591,M49-591,3912.0,422.4,9.261363636363637
2012,682,Saudi Arabia,2526.0,588.0,4.295918367346939
2012,899,M49-899,147.0,9.0,16.333333333333332
2013,842,United States,314924095.008,61479435.936,5.122429804590848
2013,528,Netherlands,39330088.992,6779650.79,5.801196877280459
2013,826,United Kingdom,36286538.252,6313573.801,5.7473848244638575
2013,156,China,11638225.203,1592122.824,7.309879004033422
2013,344,Hong Kong,7381292.972,951692.797,7.755961792784274
2013,392,Japan,6315276.771,689271.21,9.162252360721697
2013,124,Canada,5965679.683,1050678.8,5.677929052151809
2013,276,Germany,5674027.609,982456.18,5.7753492975126886
2013,410,South Korea,3783764.71,531957.68,7.112905504061901
2013,490,"Other Asia, nes",2221716.147,225487.14,9.852961667791783
2013,702,Singapore,1751756.737,223971.45,7.821339447505474
2013,784,United Arab Emirates,923071.71,91853.46,10.049395090832723
2013,484,Mexico,884632.22,226968.66,3.89759634656168
2013,251,M49-251,601503.84,90920.5,6.615711968147997
2013,76,Brazil,328825.61,36206.26,9.0820098513351
2013,458,Malaysia,317422.27,42273.9,7.508705607951952
2013,380,Italy,298342.48,42993.0,6.9393268671644215
2013,170,Colombia,267312.5,27706.9,9.647867498709708
2013,372,Ireland,223875.8,37722.0,5.934886803456869
2013,724,Spain,123318.09,18751.5,6.576438684905208
2013,643,Russia,59744.93,8958.0,6.669449653940612
2013,360,M49-360,49181.03,5721.12,8.59639895684761
2013,408,M49-408,47557.0,7200.0,6.605138888888889
2013,188,Costa Rica,43539.2,4485.0,9.70773690078038
2013,764,Thailand,38043.63,4062.0,9.365738552437222
2013,398,M49-398,35268.402,3382.5,10.426726385809314
2013,757,M49-757,19200.0,3840.0,5.0
2013,222,M49-222,14787.918,1627.5,9.086278341013823
2013,48,M49-48,9371.32,1008.0,9.296944444444444
2013,682,Saudi Arabia,8411.92,963.0,8.735119418483904
2013,792,M49-792,8341.12,1102.5,7.56564172335601
2013,56,Belgium,7104.0,720.0,9.866666666666667
2013,699,India,4921.2,450.0,10.936
2013,634,Qatar,4730.2,720.0,6.569722222222222
2013,608,Philippines,3467.6,360.0,9.632222222222222
2013,591,M49-591,2700.0,270.0,10.0
2013,218,Ecuador,20.0,4.9,4.081632653061225
2014,842,United States,329398864.299,53224411.674,6.188868114063356
2014,528,Netherlands,66288750.372,10878020.86,6.093824531606939
