year,country,tonnes
2024,United States of America,401970.0
2024,Peru,353600.0
2024,Canada,165608.0
2024,Chile,97218.79
2024,Mexico,80533.93
2024,Poland,62000.0
2024,Spain,60950.0
2024,Morocco,53750.82
2024,Australia,27540.0
2024,Portugal,22850.0
2024,Germany,15090.0
2024,Italy,10360.0
2024,France,8621.0
2024,Netherlands (Kingdom of the),6910.0
2024,Romania,5000.0
2024,Russian Federation,4313.69
2024,New Zealand,3846.86
2024,Zimbabwe,3631.17
2024,Austria,1910.0
2024,Lithuania,1070.0
2024,Croatia,830.0
2024,Czechia,740.0
2024,Switzerland,703.0
2024,Uzbekistan,666.36
2024,Belgium,580.0
2024,Latvia,500.0
2024,Slovenia,400.0
2024,Bulgaria,360.0
2024,Slovakia,230.0
2024,Finland,210.0
2024,Ukraine,200.0
2024,Sweden,120.0
2024,Denmark,100.0
2024,Hungary,80.0
2024,Norway,40.0
2023,United States of America,332260.0
2023,Peru,229390.0
2023,Canada,156533.0
2023,Chile,122332.6
2023,Mexico,80133.49
2023,Morocco,62072.55
2023,Poland,61900.0
2023,Spain,57670.0
2023,Portugal,20830.0
2023,Australia,20211.0
2023,Germany,15320.0
2023,France,10545.0
2023,Italy,10060.0
2023,Netherlands (Kingdom of the),7780.0
2023,Russian Federation,4277.99
2023,Romania,3840.0
2023,New Zealand,3823.36
2023,Zimbabwe,2800.0
2023,Austria,1930.0
2023,Belgium,860.0
2023,Czechia,750.0
2023,Croatia,690.0
2023,Uzbekistan,664.73
2023,Lithuania,650.0
2023,Switzerland,640.0
2023,Slovenia,400.0
2023,Bulgaria,230.0
2023,Ukraine,220.0
2023,Finland,200.0
2023,Slovakia,190.0
2023,Sweden,120.0
2023,Denmark,100.0
2023,Latvia,100.0
2023,Hungary,90.0
2023,Norway,40.0
