year,country,tonnes
2024,China,51286350.0
2024,"China, mainland",51285100.0
2024,United States of America,4922840.0
2024,TÃ¼rkiye,4420185.0
2024,Poland,3384500.0
2024,India,2625899.0
2024,Italy,2398540.0
2024,Iran (Islamic Republic of),2346928.78
2024,Russian Federation,2014405.66
2024,France,1964030.0
2024,Uzbekistan,1482331.54
2024,South Africa,1327544.88
2024,Chile,1299064.49
2024,Ukraine,1150900.0
2024,Brazil,997470.0
2024,Egypt,959100.78
2024,Germany,871990.0
2024,Pakistan,854371.76
2024,Morocco,852161.35
2024,Democratic People's Republic of Korea,801601.68
2024,Mexico,779723.72
2024,Japan,658377.31
2024,Algeria,591697.81
2024,New Zealand,575214.31
2024,Spain,545080.0
2024,Argentina,494062.76
2024,Romania,487140.0
2024,Republic of Korea,460088.0
2024,United Kingdom of Great Britain and Northern Ireland,408046.86
2024,Republic of Moldova,404595.0
2024,Serbia,389195.52
2024,Canada,386368.0
2024,Hungary,376680.0
2024,Belarus,336700.0
2024,Afghanistan,333837.85
2024,Portugal,313210.0
2024,Azerbaijan,300023.22
2024,Australia,293731.0
2024,Tajikistan,277717.0
2024,Greece,263210.0
2024,Kazakhstan,225684.0
2024,Switzerland,213926.0
2024,Lebanon,194000.0
2024,Netherlands (Kingdom of the),194000.0
2024,Bosnia and Herzegovina,191900.0
2024,Syrian Arab Republic,184814.0
2024,Austria,175560.0
2024,Belgium,160380.0
2024,Tunisia,140388.43
2024,Kyrgyzstan,139656.37
2024,North Macedonia,127696.0
2024,Peru,115945.32
2024,Albania,100455.03
2024,Armenia,95485.0
2024,Israel,80006.0
2024,Georgia,76400.0
2024,Iraq,76004.77
2024,Croatia,67930.0
2024,Turkmenistan,65524.74
2024,Lithuania,61390.0
2024,Nepal,54506.0
2024,Slovenia,50650.0
2024,El Salvador,44628.62
2024,Uruguay,43844.44
2024,Czechia,37490.0
2024,Bulgaria,36830.0
2024,Slovakia,33650.0
2024,Yemen,31847.45
2024,Sweden,30900.0
2024,Guatemala,25473.19
2024,Ireland,21990.0
2024,Norway,20100.0
2024,Denmark,18510.0
2024,Jordan,16314.39
2024,Latvia,14500.0
2024,Colombia,13779.98
2024,Finland,9170.0
2024,Montenegro,8717.3
2024,Madagascar,7209.19
2024,Ecuador,7196.71
2024,Zimbabwe,6583.0
2024,Libya,5813.55
2024,Malawi,2947.8
2024,Cyprus,2830.0
2024,Bolivia (Plurinational State of),2781.96
2024,Estonia,2160.0
2024,Bhutan,2102.14
2024,Saint Vincent and the Grenadines,1679.42
2024,Luxembourg,1470.0
2024,"China, Taiwan Province of",1250.0
2024,Kenya,744.0
2024,Paraguay,673.65
2024,Grenada,214.9
2024,Honduras,194.33
2023,China,49602889.0
2023,"China, mainland",49601700.0
2023,United States of America,5203840.0
2023,TÃ¼rkiye,4602517.0
2023,Poland,3892700.0
2023,India,2876000.0
2023,Italy,2267750.0
2023,Iran (Islamic Republic of),2168836.47
2023,Russian Federation,2086219.04
2023,France,1894440.0
2023,Chile,1492883.02
2023,Uzbekistan,1385872.23
2023,South Africa,1198897.39
2023,Brazil,1183794.0
2023,Ukraine,1172750.0
2023,Egypt,943661.0
2023,Germany,941210.0
2023,Morocco,867788.52
2023,Pakistan,844114.0
2023,Mexico,814533.51
2023,Democratic People's Republic of Korea,799088.2
2023,Japan,604000.0
2023,New Zealand,585847.17
2023,Algeria,581623.34
2023,Romania,534140.0
2023,Argentina,528749.0
2023,Spain,527680.0
2023,Republic of Moldova,517613.0
2023,Hungary,486300.0
2023,United Kingdom of Great Britain and Northern Ireland,409221.7
2023,Republic of Korea,394428.0
2023,Serbia,379690.0
2023,Canada,358514.0
2023,Belarus,336700.0
2023,Afghanistan,324000.0
2023,Azerbaijan,301786.5
2023,Portugal,292230.0
2023,Australia,285176.0
2023,Kazakhstan,251475.0
2023,Greece,242710.0
2023,Tajikistan,227078.5
2023,Syrian Arab Republic,220646.0
2023,Lebanon,219770.0
2023,Belgium,203010.0
2023,Netherlands (Kingdom of the),198000.0
2023,Austria,191910.0
2023,Bosnia and Herzegovina,190263.0
2023,Switzerland,161973.0
2023,Kyrgyzstan,139436.68
2023,Tunisia,132757.05
2023,Peru,125755.35
2023,Czechia,101020.0
2023,Albania,97273.87
2023,Armenia,94825.2
2023,Israel,92000.0
2023,North Macedonia,80283.0
2023,Iraq,73881.95
2023,Turkmenistan,65715.25
2023,Croatia,61530.0
2023,Nepal,52783.82
2023,Georgia,50400.0
2023,Uruguay,47868.13
2023,El Salvador,44671.47
2023,Lithuania,38420.0
2023,Bulgaria,34930.0
2023,Guatemala,32742.0
2023,Sweden,32170.0
2023,Yemen,31445.0
2023,Slovenia,30600.0
2023,Slovakia,26400.0
2023,Ireland,21990.0
2023,Norway,20104.0
2023,Jordan,16071.7
2023,Colombia,13148.2
2023,Denmark,13070.0
2023,Finland,7800.0
2023,Latvia,7700.0
2023,Libya,7502.91
2023,Madagascar,7197.11
2023,Ecuador,7188.5
2023,Montenegro,6164.0
2023,Zimbabwe,5403.94
2023,Malawi,2966.22
2023,Cyprus,2860.0
2023,Bolivia (Plurinational State of),2748.99
2023,Bhutan,2317.09
2023,Saint Vincent and the Grenadines,1649.43
2023,"China, Taiwan Province of",1189.0
2023,Estonia,990.0
2023,Luxembourg,990.0
2023,Paraguay,674.37
2023,Kenya,478.0
2023,Grenada,472.92
2023,Honduras,193.81
