year,country,tonnes
2024,Mexico,2761327.85
2024,Colombia,1267756.86
2024,Dominican Republic,1225409.37
2024,Peru,919601.78
2024,Indonesia,919508.56
2024,Kenya,585000.0
2024,Brazil,427457.0
2024,Israel,246971.0
2024,Ethiopia,201892.1
2024,Haiti,197248.94
2024,Viet Nam,191662.0
2024,Chile,181306.52
2024,United States of America,178780.0
2024,Australia,150913.0
2024,Lebanon,136500.0
2024,China,133930.62
2024,"China, mainland",133930.62
2024,Venezuela (Bolivarian Republic of),127456.34
2024,Morocco,126207.0
2024,Zimbabwe,125028.0
2024,South Africa,123448.18
2024,Malawi,122546.71
2024,Guatemala,117248.04
2024,Spain,112360.0
2024,Cameroon,76239.3
2024,TÃ¼rkiye,64500.0
2024,Democratic Republic of the Congo,62006.08
2024,Angola,61391.0
2024,Portugal,40480.0
2024,CÃ´te d'Ivoire,37411.47
2024,New Zealand,36012.69
2024,Ecuador,34701.05
2024,Madagascar,27904.42
2024,El Salvador,21332.0
2024,Philippines,18507.93
2024,Costa Rica,15908.3
2024,Paraguay,15059.7
2024,Sri Lanka,12867.0
2024,Bolivia (Plurinational State of),12523.33
2024,Panama,12105.0
2024,Greece,11120.0
2024,Congo,9517.4
2024,Rwanda,9464.07
2024,Ghana,9454.26
2024,Central African Republic,8976.43
2024,Guyana,6835.74
2024,Vanuatu,5600.0
2024,Timor-Leste,4481.2
2024,Argentina,4123.42
2024,Cuba,3536.05
2024,Jamaica,2438.84
2024,Honduras,2231.05
2024,Egypt,2025.0
2024,France,1480.0
2024,Samoa,1442.96
2024,Bahamas,1437.32
2024,Cyprus,1420.0
2024,Dominica,1097.73
2024,Bosnia and Herzegovina,1037.29
2024,Eswatini,899.09
2024,Puerto Rico,819.93
2024,Grenada,704.94
2024,Malaysia,557.3
2024,Barbados,508.47
2024,Tunisia,337.0
2024,Mauritius,295.0
2024,Fiji,285.9
2024,Bhutan,247.12
2024,Saint Lucia,241.22
2024,French Polynesia,130.87
2024,Suriname,102.19
2024,Trinidad and Tobago,57.69
2024,Cook Islands,21.09
2024,Seychelles,12.5
2023,Mexico,2973344.42
2023,Colombia,1085765.75
2023,Dominican Republic,1016834.74
2023,Indonesia,874046.49
2023,Peru,872133.76
2023,Kenya,598366.0
2023,Brazil,422834.0
2023,Ethiopia,212752.98
2023,Haiti,194724.93
2023,Viet Nam,189437.05
2023,Chile,180769.62
2023,Israel,177001.0
2023,China,138876.18
2023,"China, mainland",138876.18
2023,Venezuela (Bolivarian Republic of),126319.0
2023,Lebanon,119467.0
2023,Morocco,118416.0
2023,Malawi,117768.0
2023,United States of America,116890.0
2023,Australia,115384.84
2023,Guatemala,114689.0
2023,South Africa,108880.28
2023,Zimbabwe,100954.18
2023,Spain,86800.0
2023,Cameroon,76433.23
2023,Democratic Republic of the Congo,62102.2
2023,Angola,58231.0
2023,New Zealand,43084.73
2023,TÃ¼rkiye,38462.0
2023,CÃ´te d'Ivoire,37350.12
2023,Portugal,33580.0
2023,Madagascar,27731.19
2023,Ecuador,26523.59
2023,El Salvador,21010.17
2023,Philippines,18884.84
2023,Greece,15950.0
2023,Costa Rica,15147.09
2023,Paraguay,15047.82
2023,Bolivia (Plurinational State of),12629.53
2023,Sri Lanka,12238.0
2023,Panama,11870.0
2023,Congo,9466.18
2023,Ghana,9442.5
2023,Central African Republic,8771.0
2023,Rwanda,6766.8
2023,Guyana,6500.0
2023,Vanuatu,5600.0
2023,Timor-Leste,4496.19
2023,Argentina,4112.63
2023,Cuba,3536.25
2023,Jamaica,2444.35
2023,Honduras,2221.89
2023,Grenada,1551.32
2023,Samoa,1440.14
2023,Bahamas,1434.6
2023,Cyprus,1370.0
2023,France,1210.0
2023,Puerto Rico,1181.5
2023,Dominica,1085.85
2023,Bosnia and Herzegovina,1037.77
2023,Egypt,903.0
2023,Eswatini,900.85
2023,Barbados,510.0
2023,Malaysia,402.9
2023,Tunisia,336.49
2023,Mauritius,280.0
2023,Saint Lucia,246.0
2023,Fiji,211.0
2023,Bhutan,192.06
2023,French Polynesia,114.91
2023,Suriname,74.0
2023,Trinidad and Tobago,57.79
2023,Cook Islands,21.1
2023,Seychelles,12.49
