year,country,tonnes
2024,India,37614362.0
2024,China,12101090.23
2024,"China, mainland",11759700.0
2024,Indonesia,9260386.66
2024,Ecuador,7585653.0
2024,Brazil,7046345.0
2024,Nigeria,6907142.4
2024,Philippines,5641129.78
2024,Angola,5213106.0
2024,United Republic of Tanzania,3269969.58
2024,Guatemala,2843486.78
2024,Mexico,2670290.89
2024,Viet Nam,2640250.0
2024,Colombia,2638063.85
2024,Costa Rica,2630019.89
2024,Rwanda,2437236.0
2024,Peru,2343310.52
2024,Kenya,2061285.0
2024,Dominican Republic,2038904.64
2024,Thailand,1298997.77
2024,Papua New Guinea,1272779.22
2024,Egypt,1251943.0
2024,Burundi,1207926.33
2024,Ethiopia,1190101.2
2024,Malawi,1131259.42
2024,Sudan,952279.2
2024,TÃ¼rkiye,875000.0
2024,Bangladesh,813560.0
2024,Democratic Republic of the Congo,811021.0
2024,Cameroon,805352.55
2024,Lao People's Democratic Republic,766200.0
2024,Mali,629819.76
2024,Honduras,550868.63
2024,CÃ´te d'Ivoire,534242.85
2024,Venezuela (Bolivarian Republic of),533896.07
2024,South Africa,430924.96
2024,Spain,421320.0
2024,Madagascar,399939.78
2024,Mozambique,387740.0
2024,Panama,387690.09
2024,Nepal,383285.0
2024,Cambodia,374922.78
2024,Australia,368735.0
2024,"China, Taiwan Province of",341390.23
2024,Malaysia,335443.98
2024,Zimbabwe,325400.0
2024,Pakistan,311166.0
2024,Morocco,310110.0
2024,Bolivia (Plurinational State of),301638.28
2024,Haiti,264881.29
2024,Guinea,231171.27
2024,France,210920.0
2024,Israel,197001.0
2024,Argentina,177081.85
2024,Cuba,155957.02
2024,Liberia,142551.39
2024,Yemen,135447.6
2024,Iran (Islamic Republic of),135294.08
2024,Ghana,135062.74
2024,Puerto Rico,107393.28
2024,Paraguay,88870.53
2024,Congo,86253.57
2024,Belize,85071.99
2024,Comoros,80028.66
2024,Jamaica,62997.8
2024,Saint Vincent and the Grenadines,59514.64
2024,Jordan,58437.52
2024,Central African Republic,57239.58
2024,Burkina Faso,46922.05
2024,Lebanon,40600.0
2024,Senegal,38625.0
2024,Saudi Arabia,34585.31
2024,Equatorial Guinea,31433.66
2024,Eswatini,30362.68
2024,Portugal,30230.0
2024,Togo,25513.31
2024,Somalia,23553.62
2024,Samoa,21853.44
2024,Guyana,21136.0
