year,country,tonnes
2024,TÃ¼rkiye,726500.0
2024,Chile,596967.55
2024,United States of America,333120.0
2024,Uzbekistan,209024.95
2024,Iran (Islamic Republic of),136921.31
2024,Greece,124010.0
2024,Spain,121060.0
2024,Syrian Arab Republic,98449.0
2024,Italy,80670.0
2024,Ukraine,55700.0
2024,Russian Federation,53442.47
2024,Poland,51000.0
2024,Bulgaria,50440.0
2024,Bosnia and Herzegovina,37790.0
2024,China,36180.8
2024,"China, mainland",36180.8
2024,Romania,34380.0
2024,Lebanon,31100.0
2024,France,28350.0
2024,Germany,27890.0
2024,Albania,22465.4
2024,Serbia,19615.0
2024,Australia,18471.0
2024,Republic of Moldova,13283.0
2024,Algeria,12113.46
2024,Japan,11500.0
2024,Hungary,11330.0
2024,Azerbaijan,11126.29
2024,Dominican Republic,10419.43
2024,India,10114.21
2024,Armenia,10037.4
2024,Morocco,9533.41
2024,Netherlands (Kingdom of the),8290.0
2024,Austria,8030.0
2024,Portugal,7610.0
2024,Argentina,7525.62
2024,Switzerland,7375.0
2024,Canada,7008.0
2024,Georgia,6200.0
2024,United Kingdom of Great Britain and Northern Ireland,5920.0
2024,North Macedonia,5537.0
2024,Pakistan,4937.53
2024,Belarus,4894.93
2024,Tunisia,4546.64
2024,Belgium,4530.0
2024,New Zealand,4488.46
2024,Kyrgyzstan,4466.56
2024,Israel,4003.0
2024,Guyana,2476.26
2024,Montenegro,2100.91
2024,Suriname,1867.86
2024,South Africa,1733.15
2024,Jordan,1585.9
2024,Croatia,1140.0
2024,Norway,1100.0
2024,Bolivia (Plurinational State of),909.21
2024,Slovenia,780.0
2024,Denmark,660.0
2024,Czechia,310.0
2024,Kazakhstan,295.38
2024,Mexico,147.52
2024,Lithuania,20.0
2024,Luxembourg,20.0
2024,Peru,2.99
2023,TÃ¼rkiye,736791.0
2023,Chile,520000.0
2023,United States of America,321420.0
2023,Uzbekistan,218866.75
2023,Iran (Islamic Republic of),135660.47
2023,Greece,113580.0
2023,Spain,104470.0
2023,Italy,87710.0
2023,Syrian Arab Republic,72694.0
2023,Poland,68800.0
2023,Russian Federation,55032.53
2023,Ukraine,53230.0
2023,Bulgaria,46230.0
2023,Romania,36560.0
2023,China,36341.07
2023,"China, mainland",36341.07
2023,Germany,32350.0
2023,France,31080.0
2023,Lebanon,28783.0
2023,Bosnia and Herzegovina,22662.0
2023,Canada,22354.0
2023,Albania,19695.6
2023,Japan,17300.0
2023,Republic of Moldova,16051.0
2023,Serbia,15575.72
2023,Australia,15114.0
2023,Morocco,14144.76
2023,Armenia,12010.8
2023,Portugal,11810.0
2023,Algeria,11561.21
2023,Azerbaijan,10910.4
2023,India,10112.66
2023,Dominican Republic,9199.0
2023,Hungary,9110.0
2023,Netherlands (Kingdom of the),8220.0
2023,Belgium,7500.0
2023,Argentina,7487.0
2023,Georgia,5800.0
2023,Switzerland,4969.0
2023,Belarus,4942.84
2023,Israel,4603.0
2023,Tunisia,4575.31
2023,United Kingdom of Great Britain and Northern Ireland,4554.0
2023,Austria,4480.0
2023,Pakistan,4368.0
2023,Kyrgyzstan,4339.47
2023,New Zealand,3973.17
2023,North Macedonia,3928.0
2023,Jordan,2452.9
2023,Guyana,2423.28
2023,Montenegro,2095.44
2023,Suriname,1983.37
2023,South Africa,1796.86
2023,Czechia,1490.0
2023,Norway,1117.0
2023,Bolivia (Plurinational State of),911.57
2023,Croatia,800.0
2023,Denmark,690.0
2023,Slovenia,580.0
2023,Cyprus,439.0
2023,Kazakhstan,284.09
2023,Mexico,129.76
2023,Luxembourg,20.0
2023,Lithuania,10.0
2023,Peru,2.93
