year,country,tonnes
2024,Saudi Arabia,1927556.12
2024,Egypt,1750301.5
2024,Algeria,1337300.8
2024,Iran (Islamic Republic of),1182144.28
2024,Pakistan,604243.09
2024,Iraq,587189.83
2024,Sudan,443133.53
2024,Oman,400655.0
2024,Tunisia,400219.18
2024,United Arab Emirates,333632.38
2024,Libya,187039.32
2024,China,162330.3
2024,"China, mainland",162330.3
2024,Morocco,111887.2
2024,Kuwait,102212.61
2024,Israel,80000.0
2024,Yemen,64813.51
2024,United States of America,56650.0
2024,Qatar,35317.6
2024,Jordan,32617.94
2024,Mauritania,22275.92
2024,Chad,21456.51
2024,Mexico,17598.21
2024,Niger,17329.14
2024,Albania,15280.0
2024,Somalia,14221.39
2024,Bahrain,14000.0
2024,Namibia,1896.6
2024,Syrian Arab Republic,1575.0
2024,Benin,1445.84
2024,Kenya,1096.54
2024,Mali,759.25
2024,Cameroon,592.98
2024,Peru,461.49
2024,Eswatini,309.83
2024,Djibouti,136.13
2024,Colombia,29.25
2023,Saudi Arabia,1903102.0
2023,Egypt,1702732.0
2023,Algeria,1324682.17
2023,Iran (Islamic Republic of),971471.49
2023,Pakistan,895232.0
2023,Iraq,615247.43
2023,Sudan,442584.31
2023,Oman,394946.0
2023,Tunisia,387149.59
2023,United Arab Emirates,351750.0
2023,Libya,188022.23
2023,China,162527.1
2023,"China, mainland",162527.1
2023,Morocco,107375.75
2023,Kuwait,102431.31
2023,Israel,75500.0
2023,Yemen,63967.0
2023,United States of America,58200.0
2023,Qatar,35547.0
2023,Jordan,31657.4
2023,Mauritania,22202.74
2023,Chad,21493.99
2023,Niger,17304.24
2023,Mexico,16962.18
2023,Albania,14916.0
2023,Somalia,14201.41
2023,Bahrain,14000.0
2023,Syrian Arab Republic,3368.0
2023,Namibia,1800.0
2023,Benin,1443.7
2023,Kenya,1094.01
2023,Mali,749.12
2023,Cameroon,594.93
2023,Peru,526.31
2023,Eswatini,309.95
2023,Djibouti,136.27
2023,Colombia,42.25
