year,country,tonnes
2024,China,16887001.41
2024,"China, mainland",16821674.48
2024,Italy,7637640.0
2024,Spain,5387270.0
2024,United States of America,4902250.0
2024,France,4747450.0
2024,India,3904287.0
2024,TÃ¼rkiye,3468000.0
2024,Chile,2453896.75
2024,Argentina,1918974.0
2024,South Africa,1870972.99
2024,Uzbekistan,1832994.91
2024,Brazil,1820104.0
2024,Egypt,1696017.9
2024,Australia,1613640.0
2024,Iran (Islamic Republic of),1566663.4
2024,Afghanistan,1141406.97
2024,Germany,1059770.0
2024,Peru,948130.79
2024,Portugal,917890.0
2024,Russian Federation,823136.18
2024,Greece,777210.0
2024,Romania,704160.0
2024,Algeria,605260.23
2024,Mexico,397407.5
2024,Republic of Moldova,396400.0
2024,New Zealand,395000.0
2024,Hungary,378830.0
2024,Turkmenistan,345577.27
2024,Morocco,339673.1
2024,Georgia,320700.0
2024,Tajikistan,289931.0
2024,Iraq,263335.44
2024,Ukraine,251400.0
2024,Austria,249420.0
2024,Syrian Arab Republic,236023.0
2024,Azerbaijan,231429.07
2024,North Macedonia,205571.0
2024,Armenia,195844.8
2024,Republic of Korea,186964.86
2024,Albania,183422.87
2024,Lebanon,165700.0
2024,Japan,164600.0
2024,Tunisia,160527.39
2024,Yemen,146201.28
2024,Bulgaria,134750.0
2024,Serbia,129738.52
2024,Pakistan,125885.18
2024,Saudi Arabia,120546.59
2024,Uruguay,101621.86
2024,Croatia,98260.0
2024,Switzerland,95600.0
2024,Thailand,82452.15
2024,Canada,79478.0
2024,Czechia,69280.0
2024,Slovenia,67920.0
2024,"China, Taiwan Province of",65326.93
2024,Kazakhstan,56293.05
2024,Israel,56007.0
2024,Slovakia,46240.0
2024,Namibia,40324.24
2024,Colombia,34519.9
2024,Libya,30582.99
2024,Belarus,30329.22
2024,Bosnia and Herzegovina,29681.0
2024,Jordan,27950.03
2024,Bolivia (Plurinational State of),24065.39
2024,Venezuela (Bolivarian Republic of),21746.7
2024,Guatemala,20312.9
2024,Viet Nam,19640.0
2024,Cuba,18916.09
2024,Cyprus,18440.0
2024,Montenegro,16869.3
2024,United Republic of Tanzania,16640.27
2024,Madagascar,13866.95
2024,United Kingdom of Great Britain and Northern Ireland,11408.26
2024,Luxembourg,9950.0
2024,Poland,6500.0
2024,Kyrgyzstan,5990.0
2024,Ethiopia,4817.46
2024,Zimbabwe,3543.07
2024,Netherlands (Kingdom of the),2330.0
2024,Malta,1900.0
2024,Paraguay,1049.04
2024,Ecuador,552.83
2024,Philippines,318.76
2024,Sweden,220.0
2024,Kuwait,214.85
2024,Malawi,209.0
2024,Honduras,189.48
2024,United Arab Emirates,35.03
2024,Estonia,20.0
2024,Qatar,1.67
2023,China,16230599.0
2023,"China, mainland",16166100.0
2023,Italy,6668830.0
2023,France,6205260.0
2023,United States of America,5351940.0
2023,Spain,4822760.0
2023,India,3740000.0
2023,TÃ¼rkiye,3400000.0
2023,Chile,2550000.0
2023,South Africa,1973818.52
2023,Brazil,1836646.0
2023,Uzbekistan,1731677.76
2023,Egypt,1715410.0
2023,Australia,1550060.0
2023,Iran (Islamic Republic of),1546096.05
2023,Argentina,1455312.0
2023,Germany,1174050.0
2023,Afghanistan,1086000.0
2023,Portugal,999740.0
2023,Peru,992456.1
2023,Russian Federation,915749.27
2023,Romania,801100.0
2023,Algeria,614676.45
2023,Republic of Moldova,571100.0
2023,Greece,564210.0
2023,New Zealand,532000.0
2023,Hungary,410980.0
2023,Mexico,384740.55
2023,Turkmenistan,330435.05
2023,Austria,310760.0
2023,Morocco,309602.34
2023,Iraq,275107.56
2023,Ukraine,244870.0
2023,Syrian Arab Republic,233749.0
2023,Azerbaijan,224517.1
2023,Georgia,220700.0
2023,Armenia,213425.5
2023,Pakistan,196153.0
2023,Republic of Korea,195747.0
2023,Tajikistan,190400.0
2023,Albania,179705.3
2023,Japan,167000.0
2023,Tunisia,166000.0
2023,Yemen,153107.0
2023,Lebanon,151863.0
2023,North Macedonia,149006.0
2023,Bulgaria,147800.0
2023,Serbia,131525.63
2023,Switzerland,127853.0
2023,Saudi Arabia,121733.0
2023,Uruguay,100096.03
2023,Canada,99718.0
2023,Croatia,94910.0
2023,Thailand,82695.02
2023,Slovenia,78720.0
2023,Czechia,76980.0
2023,"China, Taiwan Province of",64499.0
2023,Kazakhstan,63501.72
2023,Israel,62583.0
2023,Slovakia,40700.0
2023,Jordan,39543.0
2023,Namibia,39125.44
2023,Colombia,33993.0
2023,Libya,30677.46
2023,Belarus,29913.58
2023,Bosnia and Herzegovina,26675.0
2023,Viet Nam,24923.76
2023,Bolivia (Plurinational State of),23066.26
2023,Venezuela (Bolivarian Republic of),21872.0
2023,Guatemala,20284.01
2023,Cyprus,19620.0
2023,Cuba,19392.85
2023,United Republic of Tanzania,16986.3
2023,Montenegro,16283.0
2023,Madagascar,13812.39
2023,Luxembourg,10880.0
2023,United Kingdom of Great Britain and Northern Ireland,9731.55
2023,Poland,7400.0
2023,Kyrgyzstan,5111.0
2023,Ethiopia,4814.91
2023,Zimbabwe,3551.52
2023,Malta,2880.0
2023,Netherlands (Kingdom of the),2460.0
2023,Ecuador,558.7
2023,Sweden,310.0
2023,Paraguay,269.24
2023,Kuwait,219.55
2023,Malawi,209.99
2023,Honduras,188.47
2023,Philippines,184.98
2023,United Arab Emirates,34.98
2023,Estonia,10.0
