year,country,tonnes
2024,China,2153479.87
2024,"China, mainland",2153479.87
2024,New Zealand,667791.88
2024,Italy,463910.0
2024,Greece,342330.0
2024,Iran (Islamic Republic of),294658.93
2024,Chile,194664.22
2024,TÃ¼rkiye,92249.0
2024,France,50760.0
2024,United States of America,32110.0
2024,Portugal,31320.0
2024,Spain,29640.0
2024,Japan,20655.61
2024,India,17330.07
2024,Israel,11007.0
2024,Republic of Korea,8007.88
2024,Australia,4310.0
2024,Georgia,900.0
2024,Azerbaijan,684.1
2024,Montenegro,500.0
2024,Kyrgyzstan,419.5
2024,Switzerland,391.0
2024,Slovenia,190.0
2024,Cyprus,130.0
2024,Bhutan,35.69
2024,Tunisia,35.25
2024,Canada,27.5
2023,China,2149569.21
2023,"China, mainland",2149569.21
2023,New Zealand,661507.19
2023,Italy,391100.0
2023,Greece,317080.0
2023,Iran (Islamic Republic of),295142.37
2023,Chile,155800.0
2023,TÃ¼rkiye,89831.0
2023,France,49770.0
2023,Portugal,48690.0
2023,Spain,28950.0
2023,United States of America,24950.0
2023,Japan,22100.0
2023,India,18014.0
2023,Israel,8702.0
2023,Republic of Korea,8075.6
2023,Australia,3893.0
2023,Georgia,1300.0
2023,Azerbaijan,765.1
2023,Montenegro,500.0
2023,Switzerland,471.0
2023,Kyrgyzstan,421.0
2023,Slovenia,360.0
2023,Bulgaria,250.0
2023,Cyprus,130.0
2023,Tunisia,35.32
2023,Bhutan,33.91
2023,Canada,27.49
