year,country,tonnes
2024,India,3835727.0
2024,Mexico,3291622.12
2024,China,2352755.36
2024,"China, mainland",2319972.25
2024,Argentina,2154138.5
2024,TÃ¼rkiye,1730000.0
2024,Brazil,1718010.0
2024,United States of America,927140.0
2024,Spain,919510.0
2024,South Africa,748643.86
2024,Colombia,592296.94
2024,Iran (Islamic Republic of),509862.17
2024,Italy,431590.0
2024,Peru,419068.5
2024,Sudan,415369.17
2024,Egypt,381920.58
2024,Chile,280988.14
2024,Thailand,168398.0
2024,Kenya,135248.0
2024,Syrian Arab Republic,134012.82
2024,Saudi Arabia,124189.37
2024,Greece,109700.0
2024,Guatemala,109584.75
2024,Bangladesh,106568.0
2024,Pakistan,97573.0
2024,Venezuela (Bolivarian Republic of),95156.98
2024,Dominican Republic,90751.79
2024,Algeria,89365.8
2024,Australia,83332.0
2024,Lebanon,77100.0
2024,Zimbabwe,72996.0
2024,Nepal,67737.0
2024,Israel,63753.0
2024,Tunisia,61643.17
2024,Jordan,56727.42
2024,Uruguay,51770.22
2024,Ghana,48911.2
2024,Ecuador,46963.62
2024,Morocco,43222.88
2024,Portugal,40200.0
2024,Mali,37987.6
2024,Costa Rica,36277.97
2024,"China, Taiwan Province of",32783.11
2024,Bolivia (Plurinational State of),32630.29
2024,Honduras,32294.71
2024,Yemen,30681.13
2024,Jamaica,26335.62
2024,Malawi,24133.3
2024,Libya,24049.23
2024,Malaysia,22916.08
2024,El Salvador,20222.03
2024,Somalia,19862.23
2024,France,14330.0
2024,Uzbekistan,11100.0
2024,United Republic of Tanzania,10483.99
2024,Sri Lanka,10099.0
2024,Oman,9677.0
2024,Paraguay,9125.44
2024,Japan,8656.54
2024,Lao People's Democratic Republic,8000.0
2024,Guyana,7390.62
2024,United Arab Emirates,6966.93
2024,Democratic Republic of the Congo,6886.84
2024,Panama,6810.0
2024,New Zealand,6477.73
2024,Albania,6404.36
2024,Rwanda,6121.83
2024,Azerbaijan,5867.81
2024,Ethiopia,5316.98
2024,Congo,5231.46
2024,Tajikistan,4770.64
2024,Cyprus,4740.0
2024,Iraq,4577.15
2024,Guinea-Bissau,4458.24
2024,Madagascar,4407.83
2024,Mozambique,3067.84
2024,Cambodia,3001.07
2024,Djibouti,2969.82
2024,Central African Republic,2871.92
2024,Georgia,2800.0
2024,Trinidad and Tobago,2519.09
2024,Bahamas,2348.97
2024,Tonga,2178.61
2024,Dominica,1816.96
2024,Philippines,1554.21
2024,Cuba,974.14
2024,New Caledonia,965.83
2024,Vanuatu,930.0
2024,Croatia,810.0
2024,Haiti,803.76
2024,French Polynesia,526.73
2024,Antigua and Barbuda,442.12
2024,Saint Lucia,324.93
2024,Burkina Faso,320.99
2024,Puerto Rico,313.84
2024,Malta,240.0
2024,Kuwait,204.69
2024,Suriname,171.25
2024,Bhutan,139.2
2024,Grenada,131.04
2024,Niue,109.1
2024,Brunei Darussalam,69.05
2024,Seychelles,56.27
2024,Maldives,38.33
2024,Saint Vincent and the Grenadines,36.0
2024,Bosnia and Herzegovina,14.0
2024,Kyrgyzstan,0.84
2024,Cook Islands,0.63
2023,India,3787000.0
2023,Mexico,3257169.06
2023,China,2331651.33
2023,TÃ¼rkiye,2325726.0
2023,Argentina,2315000.0
2023,"China, mainland",2297822.33
2023,Brazil,1724815.0
2023,Spain,1148870.0
2023,United States of America,987020.0
2023,South Africa,809887.93
2023,Colombia,541235.62
2023,Iran (Islamic Republic of),504969.75
2023,Italy,472960.0
2023,Sudan,396804.25
2023,Egypt,392113.0
2023,Peru,299934.3
2023,Chile,260821.71
2023,Thailand,166775.0
2023,Syrian Arab Republic,135691.0
2023,Kenya,132687.0
2023,Saudi Arabia,118026.0
2023,Guatemala,103445.83
2023,Pakistan,102207.0
2023,Bangladesh,99930.0
2023,Venezuela (Bolivarian Republic of),92954.0
2023,Algeria,89084.44
2023,Dominican Republic,82962.52
2023,Australia,73120.0
2023,Greece,72780.0
2023,Lebanon,71412.0
2023,Israel,70487.0
2023,Zimbabwe,70038.24
2023,Nepal,61485.0
2023,Tunisia,59462.1
2023,Jordan,49778.9
2023,Uruguay,49719.58
2023,Ghana,48648.36
2023,Mali,42041.1
2023,Morocco,38198.0
2023,Costa Rica,36362.26
2023,Portugal,36210.0
2023,"China, Taiwan Province of",33829.0
2023,Bolivia (Plurinational State of),32717.62
2023,Honduras,32034.16
2023,Yemen,30582.0
2023,Ecuador,28107.46
2023,Jamaica,26267.4
2023,Malawi,24273.0
2023,Libya,23738.93
2023,Somalia,20000.0
2023,El Salvador,19969.55
2023,Malaysia,17882.49
2023,France,14300.0
2023,Sri Lanka,14041.0
2023,Uzbekistan,11200.0
2023,United Republic of Tanzania,10421.68
2023,Oman,9189.0
2023,Paraguay,9110.49
2023,Japan,8578.78
2023,Lao People's Democratic Republic,8082.4
2023,Guyana,7156.82
2023,United Arab Emirates,7067.0
2023,New Zealand,6969.09
2023,Democratic Republic of the Congo,6902.17
2023,Panama,6750.0
2023,Ethiopia,6169.49
2023,Azerbaijan,6149.6
2023,Rwanda,6135.75
2023,Albania,6038.79
2023,Congo,5251.97
2023,Tajikistan,4774.73
2023,Cyprus,4600.0
2023,Iraq,4564.1
2023,Guinea-Bissau,4443.25
2023,Madagascar,4417.7
2023,Georgia,3100.0
2023,Mozambique,3077.33
2023,Cambodia,2994.66
2023,Djibouti,2922.93
2023,Central African Republic,2866.8
2023,Trinidad and Tobago,2516.82
2023,Bahamas,2299.17
2023,Tonga,2191.1
2023,Haiti,1952.69
2023,Dominica,1807.36
2023,Cuba,1299.0
2023,Philippines,1174.49
2023,Vanuatu,930.0
2023,Puerto Rico,859.99
2023,New Caledonia,844.45
2023,French Polynesia,566.62
2023,Antigua and Barbuda,440.34
2023,Croatia,370.0
2023,Burkina Faso,321.8
2023,Saint Lucia,294.0
2023,Grenada,288.37
2023,Kuwait,222.06
2023,Suriname,191.95
2023,Malta,180.0
2023,Saint Vincent and the Grenadines,149.0
2023,Bhutan,139.13
2023,Niue,108.84
2023,Brunei Darussalam,69.06
2023,Seychelles,56.4
2023,Maldives,38.4
2023,Bosnia and Herzegovina,13.0
2023,Kyrgyzstan,0.86
2023,Cook Islands,0.63
