year,country,tonnes
2024,China,27151484.31
2024,"China, mainland",27000000.0
2024,India,6075893.0
2024,Pakistan,2044613.0
2024,TÃ¼rkiye,1988000.0
2024,Spain,1815520.0
2024,Egypt,1265813.33
2024,Brazil,1016575.0
2024,United States of America,1013330.0
2024,Morocco,851034.27
2024,Italy,825600.0
2024,South Africa,770000.0
2024,Peru,651352.52
2024,Republic of Korea,640229.34
2024,Japan,632979.51
2024,Iran (Islamic Republic of),618942.55
2024,Mexico,503103.21
2024,Argentina,384065.79
2024,Colombia,332162.39
2024,Algeria,314985.45
2024,Malawi,285422.89
2024,Chile,267506.17
2024,Thailand,263379.0
2024,Greece,232930.0
2024,Bolivia (Plurinational State of),231131.79
2024,Australia,227716.0
2024,Nepal,194565.0
2024,Syrian Arab Republic,182565.42
2024,"China, Taiwan Province of",151484.31
2024,Israel,138089.0
2024,Venezuela (Bolivarian Republic of),101827.89
2024,Uruguay,88364.12
2024,Tunisia,81068.68
2024,Mali,73289.5
2024,France,53170.0
2024,Azerbaijan,52646.48
2024,Georgia,49800.0
2024,Portugal,47080.0
2024,Lao People's Democratic Republic,40487.65
2024,Albania,37376.09
2024,Kenya,36633.0
2024,Paraguay,34851.5
2024,Croatia,30540.0
2024,Ecuador,26716.69
2024,Yemen,24764.01
2024,Jordan,23586.49
2024,Lebanon,23349.42
2024,El Salvador,22012.88
2024,Haiti,20326.76
2024,Dominican Republic,16900.57
2024,South Sudan,16664.15
2024,Cyprus,15160.0
2024,Zimbabwe,13450.94
2024,Cuba,11871.77
2024,Libya,10259.02
2024,Ethiopia,9195.47
2024,Philippines,8886.62
2024,Panama,6700.0
2024,Montenegro,4392.3
2024,Jamaica,3801.96
2024,Iraq,3712.83
2024,Congo,2718.14
2024,Uzbekistan,1363.85
2024,Bahamas,808.5
2024,Eswatini,717.85
2024,New Zealand,544.84
2024,Bosnia and Herzegovina,435.0
2024,Mozambique,412.27
2024,Burkina Faso,339.63
2024,Malta,120.0
2024,Dominica,15.43
2024,French Polynesia,10.86
2024,Djibouti,2.5
2023,China,27052526.0
2023,"China, mainland",26900000.0
2023,India,6178000.0
2023,TÃ¼rkiye,2952775.0
2023,Pakistan,1961910.0
2023,Spain,1862300.0
2023,Egypt,1269682.0
2023,Brazil,1052241.0
2023,United States of America,873620.0
2023,Morocco,871476.25
2023,Italy,836990.0
2023,Iran (Islamic Republic of),743052.48
2023,South Africa,723000.0
2023,Japan,681600.0
2023,Peru,656125.1
2023,Republic of Korea,607766.0
2023,Mexico,510341.69
2023,Argentina,377000.0
2023,Colombia,326668.32
2023,Algeria,317385.22
2023,Thailand,282599.0
2023,Malawi,263431.0
2023,Chile,255364.32
2023,Bolivia (Plurinational State of),231101.45
2023,Israel,202140.0
2023,Nepal,198778.54
2023,Australia,198415.0
2023,Syrian Arab Republic,174378.0
2023,Greece,171120.0
2023,"China, Taiwan Province of",152526.0
2023,Venezuela (Bolivarian Republic of),127215.0
2023,Tunisia,80072.23
2023,Uruguay,77826.54
2023,Mali,72957.5
2023,Georgia,66100.0
2023,Azerbaijan,52070.2
2023,Croatia,43560.0
2023,France,40820.0
2023,Lao People's Democratic Republic,40620.91
2023,Portugal,36660.0
2023,Albania,36043.02
2023,Kenya,28761.0
2023,Ecuador,26692.25
2023,Jordan,25763.3
2023,El Salvador,24403.19
2023,Yemen,24116.0
2023,Lebanon,23772.45
2023,Paraguay,23608.41
2023,Haiti,20294.96
2023,South Sudan,16654.45
2023,Cyprus,15630.0
2023,Dominican Republic,14212.0
2023,Cuba,13653.37
2023,Zimbabwe,13467.15
2023,Libya,10275.28
2023,Philippines,9732.14
2023,Ethiopia,9185.23
2023,Panama,6600.0
2023,Jamaica,3798.02
2023,Iraq,3545.2
2023,Montenegro,2987.0
2023,Congo,2704.86
2023,Uzbekistan,1366.01
2023,Bahamas,804.94
2023,Eswatini,718.25
2023,New Zealand,605.19
2023,Bosnia and Herzegovina,499.0
2023,Mozambique,412.86
2023,Burkina Faso,339.43
2023,Malta,70.0
2023,Dominica,15.42
2023,French Polynesia,3.23
2023,Djibouti,2.49
