year,country,tonnes
2024,China,13267988.28
2024,"China, mainland",13222784.74
2024,India,1540738.0
2024,Kazakhstan,1498583.85
2024,TÃ¼rkiye,1479000.0
2024,Brazil,816939.0
2024,Italy,771640.0
2024,Guatemala,767019.23
2024,Afghanistan,701220.44
2024,United States of America,600602.0
2024,Spain,594010.0
2024,Mexico,579006.9
2024,Iran (Islamic Republic of),569758.53
2024,Egypt,485038.33
2024,Pakistan,411278.19
2024,Bangladesh,400072.37
2024,France,322410.0
2024,Honduras,278975.67
2024,Australia,262298.0
2024,Morocco,245516.55
2024,Republic of Korea,208019.13
2024,Japan,142279.71
2024,Venezuela (Bolivarian Republic of),139705.04
2024,Iraq,126653.0
2024,Indonesia,125384.0
2024,Tunisia,108445.47
2024,Azerbaijan,90413.1
2024,Niger,82529.04
2024,Oman,81607.0
2024,Democratic People's Republic of Korea,81488.75
2024,Argentina,80481.1
2024,Colombia,74494.13
2024,Greece,74480.0
2024,Syrian Arab Republic,73737.0
2024,Portugal,72980.0
2024,Saudi Arabia,69130.41
2024,Albania,68726.8
2024,Jordan,64552.69
2024,Ukraine,63300.0
2024,Costa Rica,58102.0
2024,South Sudan,55473.72
2024,Dominican Republic,53754.8
2024,Cuba,50035.48
2024,Cameroon,47682.63
2024,"China, Taiwan Province of",45203.54
2024,Yemen,44947.21
2024,Chile,42376.55
2024,Sudan,40617.71
2024,Bulgaria,37580.0
2024,Mali,34718.19
2024,Paraguay,32102.2
2024,Peru,27704.49
2024,Senegal,27449.5
2024,Romania,26960.0
2024,Libya,26590.01
2024,Israel,25126.0
2024,Sri Lanka,22832.0
2024,Lebanon,20519.72
2024,Ecuador,16580.34
2024,Lao People's Democratic Republic,15680.0
2024,South Africa,14637.67
2024,Hungary,14370.0
2024,Canada,13912.0
2024,Philippines,8805.59
2024,Panama,8620.0
2024,Republic of Moldova,5683.0
2024,Georgia,5400.0
2024,Cyprus,5210.0
2024,Croatia,4410.0
2024,Haiti,3454.71
2024,New Zealand,3451.91
2024,Jamaica,3220.0
2024,El Salvador,3002.69
2024,United Arab Emirates,2827.61
2024,Guinea,2763.67
2024,Qatar,2602.94
2024,Uruguay,2454.08
2024,Malta,1830.0
2024,Bahrain,1800.0
2024,Montenegro,1661.4
2024,North Macedonia,1149.56
2024,Kuwait,909.01
2024,Barbados,863.43
2024,Belize,767.0
2024,Namibia,671.12
2024,Solomon Islands,588.45
2024,Zimbabwe,463.57
2024,Poland,400.0
2024,Slovakia,340.0
2024,Grenada,315.0
2024,Slovenia,290.0
2024,Djibouti,197.54
2024,French Polynesia,122.74
2024,Fiji,59.0
2024,Puerto Rico,46.31
2024,Antigua and Barbuda,32.17
2024,Sweden,30.0
2024,Switzerland,22.0
2024,Luxembourg,10.0
2023,China,13220655.56
2023,"China, mainland",13169359.56
2023,India,1498000.0
2023,TÃ¼rkiye,1403214.0
2023,Kazakhstan,1371382.19
2023,Brazil,867544.0
2023,Italy,762580.0
2023,Guatemala,756306.0
2023,Afghanistan,702764.97
2023,Mexico,648541.0
2023,Iran (Islamic Republic of),641098.76
2023,Bangladesh,618716.99
2023,United States of America,582345.0
2023,Egypt,569668.0
2023,Spain,516520.0
2023,Morocco,449541.1
2023,Pakistan,400418.0
2023,France,322500.0
2023,Honduras,278977.68
2023,Australia,226022.0
2023,Republic of Korea,208542.0
2023,Japan,145200.0
2023,Venezuela (Bolivarian Republic of),135353.0
2023,Indonesia,117793.81
2023,Tunisia,108971.55
2023,Azerbaijan,87175.3
2023,Democratic People's Republic of Korea,82200.87
2023,Iraq,81873.0
2023,Argentina,80433.12
2023,Colombia,71606.43
2023,Greece,65430.0
2023,Jordan,64756.7
2023,Saudi Arabia,63059.57
2023,Costa Rica,61358.0
2023,Ukraine,58870.0
2023,Niger,58186.0
2023,South Sudan,55606.32
2023,Syrian Arab Republic,55478.0
2023,Portugal,52940.0
2023,Albania,52062.3
2023,"China, Taiwan Province of",51296.0
2023,Cuba,50049.53
2023,Oman,49943.0
2023,Cameroon,47760.65
2023,Yemen,46361.0
2023,Dominican Republic,44939.44
2023,Chile,41290.07
2023,Sudan,40639.17
2023,Mali,37499.0
2023,Paraguay,31989.12
2023,Romania,30910.0
2023,Bulgaria,29490.0
2023,Peru,27050.26
2023,Senegal,26650.0
2023,Libya,26615.77
2023,Sri Lanka,24308.0
2023,Israel,23980.0
2023,Lebanon,20794.44
2023,Lao People's Democratic Republic,17088.0
2023,Ecuador,16695.9
2023,South Africa,13684.0
2023,Hungary,13610.0
2023,Canada,12392.0
2023,Panama,8800.0
2023,Philippines,8626.99
2023,Republic of Moldova,6807.0
2023,Georgia,5600.0
2023,Croatia,4980.0
2023,Cyprus,4970.0
2023,United Arab Emirates,3854.0
2023,Jamaica,3844.0
2023,New Zealand,3464.4
2023,Haiti,3440.25
2023,El Salvador,2842.64
2023,Guinea,2779.23
2023,Qatar,2642.0
2023,Uruguay,2441.28
2023,Montenegro,2319.1
2023,Malta,1790.0
2023,Bahrain,1716.0
2023,Kuwait,1155.0
2023,North Macedonia,1147.95
2023,Barbados,1123.83
2023,Belize,871.0
2023,Namibia,670.01
2023,Grenada,644.0
2023,Solomon Islands,589.52
2023,Zimbabwe,466.57
2023,Slovenia,300.0
2023,Slovakia,250.0
2023,Djibouti,193.87
2023,Poland,100.0
2023,Fiji,57.4
2023,French Polynesia,34.5
2023,Puerto Rico,21.74
2023,Switzerland,16.0
2023,Antigua and Barbuda,7.76
