year,country,tonnes
2024,Brazil,15688409.0
2024,China,7740711.98
2024,"China, mainland",7620000.0
2024,Mexico,4836052.15
2024,Egypt,4200000.0
2024,India,3851837.0
2024,Spain,2904940.0
2024,Indonesia,2575128.88
2024,United States of America,2502020.0
2024,Iran (Islamic Republic of),2228113.85
2024,Viet Nam,1915530.0
2024,Italy,1807320.0
2024,South Africa,1667261.04
2024,TÃ¼rkiye,1610000.0
2024,Algeria,1294262.43
2024,Argentina,1061236.53
2024,Greece,880190.0
2024,Colombia,747332.85
2024,Morocco,719208.0
2024,Ghana,708072.48
2024,Australia,560539.0
2024,Peru,555013.66
2024,Thailand,515006.35
2024,Mali,479888.0
2024,Syrian Arab Republic,427252.0
2024,Tunisia,416897.47
2024,United Republic of Tanzania,393583.58
2024,Portugal,353710.0
2024,Venezuela (Bolivarian Republic of),315120.82
2024,Honduras,248206.9
2024,Paraguay,245196.75
2024,Zimbabwe,203764.0
2024,Bolivia (Plurinational State of),188408.2
2024,Sudan,185772.44
2024,Costa Rica,185028.37
2024,Democratic Republic of the Congo,164413.43
2024,Chile,162958.41
2024,Guinea,161278.34
2024,Iraq,158000.0
2024,Kenya,131282.0
2024,Yemen,127920.66
2024,Dominican Republic,126446.0
2024,Ecuador,121617.76
2024,"China, Taiwan Province of",120711.98
2024,Uruguay,114637.93
2024,Guatemala,108846.37
2024,Israel,96841.0
2024,Malawi,95945.1
2024,Haiti,87672.53
2024,Madagascar,83827.2
2024,Lebanon,75000.0
2024,Jamaica,72769.5
2024,Mozambique,67000.0
2024,Cambodia,64699.29
2024,Senegal,62315.0
2024,El Salvador,55495.13
2024,Jordan,53464.6
2024,Ethiopia,53253.0
2024,Libya,52575.74
2024,Pakistan,49827.0
2024,Eswatini,46045.27
2024,Nepal,45641.0
2024,Lao People's Democratic Republic,43203.7
2024,Panama,42150.0
2024,CÃ´te d'Ivoire,41189.72
2024,Central African Republic,35185.92
2024,Japan,28056.71
2024,Guyana,26889.2
2024,Bhutan,20829.94
2024,Cyprus,16030.0
2024,Benin,15403.02
2024,Albania,15369.45
2024,Togo,14954.47
2024,Suriname,14723.75
2024,Puerto Rico,14682.58
2024,Belize,12894.0
2024,Somalia,11128.47
2024,Montenegro,9652.02
2024,France,8060.0
2024,Liberia,7659.26
2024,New Zealand,7489.73
2024,Sri Lanka,7386.0
2024,Afghanistan,7166.1
2024,Guinea-Bissau,7139.2
2024,Azerbaijan,6464.7
2024,Malaysia,5722.58
2024,Trinidad and Tobago,5687.54
2024,Cuba,5644.83
2024,Dominica,4881.87
2024,Fiji,4293.8
2024,Zambia,4152.08
2024,Bangladesh,3954.0
2024,Botswana,3871.0
2024,Bahamas,3697.05
2024,Rwanda,3227.65
2024,Georgia,2700.0
2024,Congo,2175.55
2024,Namibia,2007.69
2024,Timor-Leste,1929.18
2024,Tajikistan,1832.86
2024,Philippines,1457.84
2024,New Caledonia,1277.7
2024,Tonga,882.15
2024,Burkina Faso,634.24
2024,Croatia,550.0
2024,Brunei Darussalam,464.18
2024,Malta,400.0
2024,Kuwait,276.4
2024,Grenada,255.05
2024,Saint Lucia,251.25
2024,Bosnia and Herzegovina,136.62
2024,Russian Federation,53.81
2024,Seychelles,45.85
2024,Saint Vincent and the Grenadines,26.0
2024,French Polynesia,16.52
2024,Cook Islands,9.05
2024,Djibouti,4.94
2023,Brazil,17650185.0
2023,China,7752163.0
2023,"China, mainland",7630000.0
2023,Mexico,4942658.65
2023,India,3927000.0
2023,Egypt,3471724.0
2023,Indonesia,2923349.16
2023,Spain,2714960.0
2023,TÃ¼rkiye,2311335.0
2023,United States of America,2307880.0
2023,Iran (Islamic Republic of),2262902.94
2023,Italy,1835970.0
2023,Viet Nam,1823771.69
2023,South Africa,1611657.2
2023,Algeria,1310278.38
2023,Argentina,1061000.0
2023,Greece,865880.0
2023,Colombia,755155.3
2023,Ghana,710378.41
2023,Morocco,674346.24
2023,Peru,569988.02
2023,Australia,535185.0
2023,Thailand,514141.27
2023,Syrian Arab Republic,502244.0
2023,Mali,473495.4
2023,United Republic of Tanzania,389914.74
2023,Tunisia,357597.04
2023,Venezuela (Bolivarian Republic of),320984.0
2023,Portugal,278710.0
2023,Paraguay,275744.48
2023,Honduras,248027.77
2023,Costa Rica,201046.63
2023,Bolivia (Plurinational State of),186009.85
2023,Sudan,181925.91
2023,Zimbabwe,177659.62
2023,Kenya,170366.0
2023,Ecuador,165650.42
2023,Democratic Republic of the Congo,164781.47
2023,Iraq,158000.0
2023,Guinea,152601.57
2023,Chile,150189.61
2023,Yemen,127721.0
2023,"China, Taiwan Province of",122163.0
2023,Israel,116283.0
2023,Nicaragua,113153.43
2023,Dominican Republic,113134.16
2023,Guatemala,109056.0
2023,Uruguay,105168.44
2023,Malawi,94225.0
2023,Madagascar,83828.34
2023,Haiti,82032.99
2023,Jamaica,76817.84
2023,El Salvador,72577.29
2023,Jordan,70580.9
2023,Lebanon,69578.0
2023,Mozambique,67000.0
2023,Cambodia,64665.46
2023,Pakistan,63591.0
2023,Senegal,60500.0
2023,Ethiopia,53095.0
2023,Libya,51919.85
2023,Nepal,48459.99
2023,Eswatini,46273.41
2023,Lao People's Democratic Republic,43201.63
2023,Panama,41900.0
2023,CÃ´te d'Ivoire,41323.63
2023,Central African Republic,35110.68
2023,Japan,28041.0
2023,Guyana,25527.53
2023,Bhutan,21169.78
2023,Puerto Rico,16467.4
2023,Benin,15444.96
2023,Cyprus,15270.0
2023,Togo,14915.3
2023,Suriname,14814.0
2023,Albania,14635.5
2023,Belize,11184.0
2023,Somalia,11166.88
2023,Montenegro,9661.86
2023,France,8980.0
2023,Sri Lanka,8924.0
2023,Afghanistan,8259.73
2023,Malaysia,7993.0
2023,Liberia,7708.12
2023,New Zealand,7661.14
2023,Guinea-Bissau,7128.0
2023,Azerbaijan,5838.8
2023,Trinidad and Tobago,5599.79
2023,Dominica,4874.04
2023,Zambia,4143.52
2023,Botswana,3841.0
2023,Bahamas,3694.05
2023,Bangladesh,3616.0
2023,Rwanda,3227.05
2023,Georgia,2500.0
2023,Fiji,2469.1
2023,Congo,2181.81
2023,Namibia,2000.55
2023,Timor-Leste,1936.0
2023,Cuba,1847.0
2023,Tajikistan,1834.29
2023,Philippines,1485.95
2023,New Caledonia,1089.27
2023,Tonga,882.18
2023,Burkina Faso,630.39
2023,Grenada,561.27
2023,Brunei Darussalam,463.42
2023,Malta,440.0
2023,Croatia,310.0
2023,Kuwait,270.0
2023,Saint Lucia,218.0
2023,Saint Vincent and the Grenadines,139.0
2023,Bosnia and Herzegovina,136.17
2023,Russian Federation,65.39
2023,Seychelles,45.78
2023,French Polynesia,14.09
2023,Cook Islands,9.01
2023,Djibouti,4.98
