year,country,tonnes
2024,China,21089400.0
2024,"China, mainland",20987900.0
2024,Argentina,670592.42
2024,TÃ¼rkiye,630500.0
2024,South Africa,465423.54
2024,United States of America,463120.0
2024,Italy,436570.0
2024,Netherlands (Kingdom of the),323000.0
2024,India,274315.0
2024,Belgium,268770.0
2024,Spain,222020.0
2024,Japan,198100.0
2024,Chile,178461.86
2024,Republic of Korea,178451.0
2024,Algeria,162832.17
2024,France,151870.0
2024,Democratic People's Republic of Korea,151352.85
2024,Ukraine,145400.0
2024,Uzbekistan,137529.11
2024,Portugal,125220.0
2024,"China, Taiwan Province of",101500.0
2024,Iran (Islamic Republic of),95409.78
2024,Bosnia and Herzegovina,84830.0
2024,Australia,84761.0
2024,Egypt,84582.0
2024,Poland,74200.0
2024,Greece,73600.0
2024,Russian Federation,70940.38
2024,Azerbaijan,60492.3
2024,Austria,54440.0
2024,Switzerland,42865.0
2024,Serbia,40419.0
2024,Romania,39280.0
2024,Germany,38960.0
2024,Lebanon,35822.94
2024,Israel,34006.0
2024,Colombia,33753.7
2024,Belarus,32200.0
2024,Morocco,30568.14
2024,Nepal,27060.0
2024,Mexico,25874.61
2024,Afghanistan,24294.52
2024,Syrian Arab Republic,20531.0
2024,New Zealand,20098.51
2024,United Kingdom of Great Britain and Northern Ireland,19503.96
2024,Hungary,17530.0
2024,Tunisia,15772.87
2024,Albania,15540.0
2024,Brazil,14473.0
2024,Armenia,12428.1
2024,Georgia,11500.0
2024,Kyrgyzstan,11118.91
2024,Kazakhstan,10418.63
2024,Uruguay,10389.55
2024,Iraq,9967.59
2024,Pakistan,9104.66
2024,Canada,8830.0
2024,North Macedonia,8114.0
2024,Ecuador,7211.01
2024,Denmark,6070.0
2024,Czechia,5740.0
2024,United Republic of Tanzania,5191.74
2024,Slovenia,3620.0
2024,Peru,3539.79
2024,Zimbabwe,3507.98
2024,Republic of Moldova,3214.0
2024,Bulgaria,2920.0
2024,Montenegro,2645.5
2024,Croatia,2050.0
2024,Bolivia (Plurinational State of),1936.24
2024,Sweden,1920.0
2024,Kenya,1725.0
2024,Jordan,1671.6
2024,Libya,1466.4
2024,Madagascar,1443.98
2024,Slovakia,1420.0
2024,Lithuania,1290.0
2024,Bhutan,671.86
2024,Finland,620.0
2024,Norway,600.0
2024,Saint Vincent and the Grenadines,588.79
2024,Cyprus,460.0
2024,Latvia,300.0
2024,Paraguay,212.09
2024,Luxembourg,200.0
2024,Malta,40.0
2024,Djibouti,3.0
2023,China,19941009.0
2023,"China, mainland",19852600.0
2023,Argentina,653838.0
2023,United States of America,629130.0
2023,TÃ¼rkiye,534513.0
2023,South Africa,481357.77
2023,Belgium,381310.0
2023,Netherlands (Kingdom of the),354000.0
2023,Spain,288030.0
2023,India,271000.0
2023,Italy,255700.0
2023,Japan,203100.0
2023,Chile,203094.82
2023,Republic of Korea,183802.0
2023,Algeria,169985.49
2023,Democratic People's Republic of Korea,150861.15
2023,Ukraine,144790.0
2023,France,128250.0
2023,Uzbekistan,125074.68
2023,Portugal,118350.0
2023,Iran (Islamic Republic of),99674.07
2023,Australia,92450.0
2023,Egypt,88784.0
2023,"China, Taiwan Province of",88409.0
2023,Poland,79000.0
2023,Russian Federation,72657.78
2023,Greece,62850.0
2023,Azerbaijan,60156.8
2023,Serbia,48027.83
2023,Bosnia and Herzegovina,46185.0
2023,Romania,41650.0
2023,Germany,37790.0
2023,Colombia,37350.06
2023,Lebanon,35674.91
2023,Morocco,34992.34
2023,Belarus,32200.0
2023,Austria,30570.0
2023,Israel,30000.0
2023,Afghanistan,28000.0
2023,Switzerland,27596.0
2023,Mexico,26919.14
2023,Nepal,25866.3
2023,Tunisia,21513.5
2023,Syrian Arab Republic,17206.0
2023,New Zealand,16592.02
2023,Hungary,16380.0
2023,Brazil,15681.0
2023,United Kingdom of Great Britain and Northern Ireland,15515.0
2023,Albania,14762.58
2023,Kazakhstan,12935.74
2023,Armenia,12525.0
2023,Kyrgyzstan,11030.51
2023,Iraq,10887.76
2023,Uruguay,10317.74
2023,Czechia,9600.0
2023,Pakistan,9591.0
2023,Georgia,9400.0
2023,Canada,9338.0
2023,Ecuador,7209.73
2023,Denmark,6760.0
2023,North Macedonia,6075.0
2023,United Republic of Tanzania,5192.3
2023,Republic of Moldova,5020.0
2023,Peru,4781.32
2023,Zimbabwe,2891.36
2023,Bulgaria,2510.0
2023,Slovenia,2350.0
2023,Sweden,2280.0
2023,Kenya,2067.0
2023,Bolivia (Plurinational State of),1935.91
2023,Montenegro,1719.0
2023,Lithuania,1620.0
2023,Libya,1471.41
2023,Madagascar,1441.21
2023,Jordan,1357.3
2023,Slovakia,1020.0
2023,Bhutan,670.15
2023,Croatia,660.0
2023,Norway,636.0
2023,Saint Vincent and the Grenadines,573.13
2023,Cyprus,440.0
2023,Paraguay,212.22
2023,Latvia,200.0
2023,Finland,150.0
2023,Luxembourg,100.0
2023,Malta,70.0
2023,Djibouti,3.0
