year,country,tonnes
2024,China,6907799.36
2024,"China, mainland",6900812.99
2024,Romania,602570.0
2024,Chile,509842.68
2024,Serbia,387226.61
2024,Iran (Islamic Republic of),378382.38
2024,TÃ¼rkiye,376000.0
2024,Bosnia and Herzegovina,321200.0
2024,United States of America,295380.0
2024,Morocco,239724.22
2024,Uzbekistan,199845.41
2024,Russian Federation,179519.04
2024,Argentina,173850.45
2024,France,170510.0
2024,Italy,170170.0
2024,Ukraine,167000.0
2024,Spain,135750.0
2024,Poland,95200.0
2024,Republic of Moldova,95125.0
2024,Algeria,94565.67
2024,South Africa,82381.22
2024,India,67936.0
2024,Pakistan,63394.18
2024,Mexico,61626.31
2024,Bulgaria,60800.0
2024,Libya,56743.52
2024,Republic of Korea,50500.54
2024,Germany,49290.0
2024,Egypt,49066.53
2024,Afghanistan,48495.37
2024,Azerbaijan,44727.06
2024,Albania,40196.5
2024,Hungary,35910.0
2024,Turkmenistan,34050.52
2024,Greece,29350.0
2024,North Macedonia,28750.0
2024,Armenia,28707.1
2024,Australia,27905.0
2024,Georgia,27600.0
2024,Syrian Arab Republic,25624.0
2024,Tunisia,20595.42
2024,Colombia,19051.12
2024,Lebanon,18600.0
2024,Montenegro,16432.1
2024,Japan,16400.0
2024,Israel,16005.0
2024,Portugal,15930.0
2024,Austria,14910.0
2024,Kyrgyzstan,12329.93
2024,Belarus,11382.99
2024,Croatia,10780.0
2024,Switzerland,10425.0
2024,Ecuador,8767.33
2024,Nepal,8302.0
2024,Kazakhstan,7397.04
2024,"China, Taiwan Province of",6986.38
2024,Iraq,6828.15
2024,Peru,6362.19
2024,Netherlands (Kingdom of the),6360.0
2024,Jordan,5393.93
2024,United Kingdom of Great Britain and Northern Ireland,4480.0
2024,United Republic of Tanzania,4183.23
2024,Bolivia (Plurinational State of),4181.27
2024,Kenya,3749.0
2024,Czechia,3610.0
2024,Tajikistan,3508.18
2024,Canada,3387.0
2024,Madagascar,2366.57
2024,Uruguay,2213.4
2024,Norway,2100.0
2024,Paraguay,2008.99
2024,Cyprus,1550.0
2024,Slovakia,1540.0
2024,Eswatini,1434.1
2024,New Zealand,1269.92
2024,Cameroon,624.02
2024,Slovenia,530.0
2024,Lithuania,470.0
2024,Denmark,450.0
2024,Grenada,343.46
2024,Luxembourg,280.0
2024,Zimbabwe,274.87
2024,Bhutan,272.79
2024,Belgium,230.0
2024,Sweden,230.0
2024,Latvia,200.0
2024,Malawi,148.83
2024,Estonia,20.0
2024,Malta,20.0
2023,China,6898245.83
2023,"China, mainland",6888894.83
2023,Romania,645090.0
2023,Chile,460000.0
2023,Serbia,362713.33
2023,TÃ¼rkiye,355132.0
2023,Iran (Islamic Republic of),350887.55
2023,United States of America,323230.0
2023,Bosnia and Herzegovina,269619.0
2023,France,207580.0
2023,Russian Federation,185657.52
2023,Uzbekistan,178191.18
2023,Morocco,175739.41
2023,Argentina,173335.01
2023,Ukraine,165310.0
2023,Spain,162940.0
2023,Italy,160960.0
2023,Republic of Moldova,150341.0
2023,Poland,127100.0
2023,Algeria,97466.36
2023,South Africa,94288.0
2023,Pakistan,68659.0
2023,India,65111.0
2023,Mexico,64894.5
2023,Bulgaria,57740.0
2023,Libya,56975.33
2023,Afghanistan,53723.52
2023,Germany,49630.0
2023,Egypt,49284.0
2023,Republic of Korea,48527.0
2023,Azerbaijan,43712.9
2023,Albania,39837.26
2023,Hungary,37370.0
2023,Turkmenistan,34020.66
2023,Armenia,29825.5
2023,Georgia,25200.0
2023,Australia,24045.0
2023,Syrian Arab Republic,22026.0
2023,North Macedonia,21313.0
2023,Greece,21200.0
2023,Tunisia,20777.14
2023,Colombia,19874.99
2023,Portugal,18670.0
2023,Lebanon,17794.0
2023,Japan,17100.0
2023,Israel,16500.0
2023,Kyrgyzstan,12329.75
2023,Belarus,11614.49
2023,"China, Taiwan Province of",9351.0
2023,Iraq,8929.53
2023,Ecuador,8750.66
2023,Montenegro,8517.0
2023,Nepal,7875.78
2023,Kazakhstan,7861.34
2023,Jordan,7052.0
2023,Switzerland,6684.0
2023,Netherlands (Kingdom of the),6430.0
2023,Austria,6370.0
2023,Croatia,5620.0
2023,Czechia,5420.0
2023,Peru,5302.58
2023,United Kingdom of Great Britain and Northern Ireland,5070.0
2023,United Republic of Tanzania,4197.4
2023,Bolivia (Plurinational State of),4142.87
2023,Tajikistan,3510.61
2023,Canada,3261.0
2023,Madagascar,2372.27
2023,Uruguay,2136.61
2023,Norway,2123.0
2023,Paraguay,2002.84
2023,Cyprus,1540.0
2023,Eswatini,1435.32
2023,New Zealand,1271.52
2023,Slovakia,1190.0
2023,Kenya,1065.0
2023,Lithuania,650.0
2023,Cameroon,624.63
2023,Grenada,572.54
2023,Denmark,480.0
2023,Belgium,380.0
2023,Luxembourg,300.0
2023,Zimbabwe,275.75
2023,Bhutan,274.54
2023,Slovenia,270.0
2023,Sweden,220.0
2023,Malawi,149.14
2023,Latvia,100.0
2023,Malta,50.0
2023,Estonia,20.0
