year,country,tonnes
2024,Russian Federation,213818.13
2024,Mexico,175538.39
2024,Serbia,94026.0
2024,United States of America,82080.0
2024,Poland,76900.0
2024,Morocco,61600.2
2024,Ukraine,33600.0
2024,Portugal,33420.0
2024,Spain,30230.0
2024,United Kingdom of Great Britain and Northern Ireland,15708.37
2024,Bosnia and Herzegovina,12609.0
2024,Chile,11998.29
2024,Azerbaijan,11795.42
2024,Kazakhstan,10616.05
2024,France,7480.0
2024,Germany,6960.0
2024,Canada,6765.0
2024,Bulgaria,5120.0
2024,Republic of Moldova,5038.0
2024,Switzerland,4467.0
2024,Netherlands (Kingdom of the),3040.0
2024,Italy,2830.0
2024,Kyrgyzstan,2647.73
2024,Norway,2000.0
2024,Belgium,1690.0
2024,Finland,1040.0
2024,Georgia,800.0
2024,Lithuania,780.0
2024,Austria,740.0
2024,Uzbekistan,700.05
2024,Australia,649.07
2024,Montenegro,500.0
2024,North Macedonia,478.0
2024,Ireland,430.0
2024,Hungary,400.0
2024,Sweden,380.0
2024,Romania,330.0
2024,Latvia,300.0
2024,Croatia,200.0
2024,Denmark,200.0
2024,Slovenia,150.0
2024,Estonia,100.0
2024,Zimbabwe,98.61
2024,Czechia,60.0
2024,Slovakia,40.0
2024,New Zealand,7.89
2023,Russian Federation,220743.82
2023,Mexico,190411.55
2023,Serbia,98674.0
2023,Poland,96100.0
2023,United States of America,62640.0
2023,Morocco,61941.18
2023,Portugal,35660.0
2023,Ukraine,33540.0
2023,Spain,33070.0
2023,United Kingdom of Great Britain and Northern Ireland,15969.57
2023,Kazakhstan,12514.66
2023,Bosnia and Herzegovina,12080.0
2023,Chile,11854.32
2023,Azerbaijan,11794.61
2023,Republic of Moldova,7964.0
2023,Canada,6720.0
2023,Germany,6670.0
2023,France,6300.0
2023,Bulgaria,5660.0
2023,Switzerland,3966.0
2023,Netherlands (Kingdom of the),3210.0
2023,Italy,2750.0
2023,Kyrgyzstan,2657.85
2023,Norway,2035.0
2023,Belgium,1720.0
2023,Lithuania,1450.0
2023,Finland,1370.0
2023,Georgia,1200.0
2023,Uzbekistan,861.6
2023,Australia,647.84
2023,Denmark,630.0
2023,Austria,610.0
2023,Hungary,550.0
2023,Sweden,530.0
2023,Montenegro,500.0
2023,Romania,430.0
2023,Ireland,410.0
2023,North Macedonia,354.0
2023,Croatia,160.0
2023,Slovenia,140.0
2023,Latvia,100.0
2023,Zimbabwe,98.38
2023,Czechia,80.0
2023,Estonia,70.0
2023,Slovakia,40.0
2023,New Zealand,10.6
2023,Greece,10.0
