year,country,tonnes
2024,China,4123417.08
2024,"China, mainland",4115659.19
2024,United States of America,1466010.0
2024,Egypt,880847.26
2024,Mexico,696112.63
2024,TÃ¼rkiye,606254.0
2024,Spain,323540.0
2024,Russian Federation,253628.39
2024,Brazil,193804.5
2024,Poland,173400.0
2024,Republic of Korea,169266.92
2024,Japan,160250.28
2024,Greece,135710.0
2024,Italy,123850.0
2024,Germany,120350.0
2024,Colombia,110401.87
2024,United Kingdom of Great Britain and Northern Ireland,98703.09
2024,Netherlands (Kingdom of the),86400.0
2024,Morocco,82942.0
2024,Australia,80741.0
2024,Belarus,77930.78
2024,France,76210.0
2024,Iran (Islamic Republic of),65058.71
2024,Ukraine,54100.0
2024,Belgium,51450.0
2024,Argentina,49527.31
2024,Venezuela (Bolivarian Republic of),43667.95
2024,Peru,41523.66
2024,Serbia,28885.71
2024,Chile,27510.83
2024,Canada,26139.0
2024,Israel,21603.0
2024,India,21100.56
2024,Romania,18420.0
2024,South Africa,15065.41
2024,Guatemala,14331.14
2024,Austria,14330.0
2024,Sweden,13900.0
2024,Uzbekistan,12943.41
2024,Finland,11740.0
2024,Jordan,11195.0
2024,Republic of Moldova,10177.0
2024,Tunisia,10136.87
2024,Portugal,8800.0
2024,Switzerland,8765.0
2024,Kazakhstan,8466.82
2024,"China, Taiwan Province of",7757.88
2024,Norway,6800.0
2024,Hungary,6610.0
2024,Ireland,6560.0
2024,Albania,6506.3
2024,Bosnia and Herzegovina,6040.0
2024,North Macedonia,5014.0
2024,Denmark,4980.0
2024,Costa Rica,4770.91
2024,Bulgaria,4730.0
2024,Paraguay,4462.02
2024,Bolivia (Plurinational State of),3299.79
2024,Pakistan,2987.0
2024,Dominican Republic,2858.0
2024,Lithuania,2710.0
2024,Lebanon,2662.05
2024,Georgia,2500.0
2024,Philippines,2500.0
2024,Kyrgyzstan,2130.63
2024,Croatia,2040.0
2024,Cyprus,1710.0
2024,Slovenia,1680.0
2024,New Zealand,1492.74
2024,Estonia,1470.0
2024,Slovakia,1450.0
2024,Ecuador,1443.29
2024,Malta,1220.0
2024,Czechia,1150.0
2024,Latvia,500.0
2024,Bangladesh,359.0
2024,Zimbabwe,231.83
2024,Kuwait,142.3
2024,Malawi,133.54
2024,Kenya,110.0
2024,Luxembourg,20.0
2024,Iraq,17.24
2023,China,4228498.76
2023,"China, mainland",4221438.76
2023,United States of America,1304530.0
2023,Egypt,882948.0
2023,TÃ¼rkiye,676818.0
2023,Mexico,641552.22
2023,Spain,329280.0
2023,Russian Federation,264547.42
2023,Poland,194500.0
2023,Brazil,189203.23
2023,Japan,161800.0
2023,Republic of Korea,159475.0
2023,Morocco,137275.0
2023,Germany,130650.0
2023,Italy,119920.0
2023,Colombia,114895.2
2023,Greece,107740.0
2023,United Kingdom of Great Britain and Northern Ireland,106443.24
2023,Netherlands (Kingdom of the),79070.0
2023,Belarus,78473.56
2023,France,77050.0
2023,Australia,65824.0
2023,Iran (Islamic Republic of),64906.4
2023,Ukraine,53380.0
2023,Belgium,51450.0
2023,Argentina,47902.15
2023,Venezuela (Bolivarian Republic of),43665.0
2023,Peru,43280.06
2023,Chile,31121.13
2023,Serbia,23703.89
2023,Israel,23415.0
2023,Canada,22184.0
2023,Romania,20640.0
2023,Portugal,19290.0
2023,India,18869.0
2023,Sweden,15700.0
2023,Austria,14640.0
2023,Guatemala,14421.19
2023,Finland,13900.0
2023,South Africa,13273.7
2023,Republic of Moldova,11249.0
2023,Tunisia,10142.26
2023,Uzbekistan,10029.85
2023,Jordan,10004.0
2023,Switzerland,9662.0
2023,Kazakhstan,9009.79
2023,Hungary,7720.0
2023,"China, Taiwan Province of",7060.0
2023,Norway,6842.0
2023,Ireland,6480.0
2023,Albania,6370.0
2023,North Macedonia,6120.0
2023,Denmark,5290.0
2023,Bulgaria,5210.0
2023,Costa Rica,4762.03
2023,Paraguay,4431.0
2023,Bosnia and Herzegovina,3686.0
2023,Dominican Republic,3495.0
2023,Bolivia (Plurinational State of),3285.17
2023,Philippines,3111.93
2023,Lebanon,2695.04
2023,Slovakia,2690.0
2023,Croatia,2380.0
2023,Kyrgyzstan,2133.25
2023,Lithuania,2090.0
2023,New Zealand,2062.53
2023,Pakistan,2054.0
2023,Czechia,1900.0
2023,Cyprus,1690.0
2023,Slovenia,1640.0
2023,Ecuador,1443.36
2023,Estonia,1400.0
2023,Malta,1300.0
2023,Georgia,1200.0
2023,Latvia,790.0
2023,Kenya,760.0
2023,Zimbabwe,231.06
2023,Bangladesh,210.0
2023,Kuwait,191.0
2023,Malawi,132.86
2023,Luxembourg,20.0
2023,Iraq,19.91
