year,country,tonnes
2024,China,63640909.01
2024,"China, mainland",63510421.99
2024,India,3721254.0
2024,TÃ¼rkiye,3198000.0
2024,Algeria,2520724.26
2024,Brazil,1978702.0
2024,Russian Federation,1935890.93
2024,Uzbekistan,1730816.51
2024,United States of America,1677612.0
2024,Senegal,1362440.03
2024,Iran (Islamic Republic of),1280722.42
2024,Mexico,1269763.15
2024,Viet Nam,1235809.0
2024,Spain,1222710.0
2024,Afghanistan,1180436.59
2024,Pakistan,1149236.7
2024,Dominican Republic,1018376.74
2024,Kazakhstan,967260.47
2024,Italy,723590.0
2024,Egypt,712514.04
2024,Tajikistan,669818.57
2024,Turkmenistan,650527.71
2024,Niger,646396.67
2024,Saudi Arabia,608478.35
2024,Greece,509180.0
2024,Tunisia,504091.54
2024,Mali,488120.75
2024,Republic of Korea,442883.97
2024,Indonesia,421009.0
2024,Azerbaijan,339709.3
2024,Morocco,339454.0
2024,Japan,290385.6
2024,Iraq,285923.0
2024,Albania,278086.4
2024,Kyrgyzstan,235995.0
2024,Libya,233010.19
2024,Ukraine,210100.0
2024,Colombia,209816.75
2024,Syrian Arab Republic,207686.0
2024,Vanuatu,205000.0
2024,Australia,199531.0
2024,Serbia,180542.57
2024,Yemen,177426.18
2024,Peru,175769.0
2024,Sudan,173501.33
2024,Hungary,171150.0
2024,Thailand,170420.66
2024,Kenya,169744.0
2024,Venezuela (Bolivarian Republic of),158359.21
2024,Lao People's Democratic Republic,154900.0
2024,Malaysia,153748.57
2024,Zimbabwe,143730.0
2024,North Macedonia,136721.0
2024,"China, Taiwan Province of",130487.02
2024,Romania,130350.0
2024,Philippines,128947.55
2024,Argentina,125303.39
2024,Bulgaria,122930.0
2024,Armenia,122684.9
2024,Paraguay,119524.78
2024,Cameroon,112156.88
2024,United Republic of Tanzania,102931.37
2024,Oman,102323.0
2024,Guinea,99193.88
2024,Israel,92684.0
2024,Democratic People's Republic of Korea,91426.83
2024,South Africa,88590.29
2024,Ecuador,75293.57
2024,Honduras,68259.93
2024,Jordan,67025.91
2024,Lebanon,64421.24
2024,Costa Rica,63140.0
2024,Bolivia (Plurinational State of),60454.05
2024,Guatemala,59005.09
2024,El Salvador,48745.47
2024,Cuba,48717.85
2024,Chile,45417.57
2024,Canada,42565.0
2024,Panama,36785.0
2024,Montenegro,35668.8
2024,Georgia,32800.0
2024,Guyana,30777.2
2024,Portugal,30730.0
2024,Croatia,29130.0
2024,Republic of Moldova,28614.0
2024,France,22870.0
2024,Botswana,18743.44
2024,Jamaica,17909.0
2024,Bosnia and Herzegovina,14455.0
2024,Cyprus,12550.0
2024,Somalia,11415.0
2024,Uruguay,11100.74
2024,Poland,8600.0
2024,Fiji,8320.0
2024,Puerto Rico,6628.45
2024,Slovakia,3600.0
2024,Namibia,3502.73
2024,Belize,3292.0
2024,Malta,3260.0
2024,Malawi,3049.92
2024,Mauritania,2626.66
2024,Austria,2410.0
2024,New Zealand,2390.43
2024,United Arab Emirates,2324.9
2024,Czechia,1710.0
2024,French Polynesia,1203.93
2024,Cabo Verde,1080.0
2024,Solomon Islands,1069.15
2024,Suriname,1061.41
2024,Qatar,1057.72
2024,Kuwait,852.0
2024,Bahrain,850.0
2024,Grenada,760.0
2024,New Caledonia,749.02
2024,Slovenia,580.0
2024,Saint Lucia,522.43
2024,Trinidad and Tobago,491.0
2024,Tonga,444.14
2024,Brunei Darussalam,295.13
2024,Dominica,282.96
2024,Saint Kitts and Nevis,151.35
2024,Antigua and Barbuda,120.01
2024,Djibouti,70.29
2024,Cook Islands,64.04
2024,Bhutan,48.57
2023,China,63883158.22
2023,"China, mainland",63753500.22
2023,India,3626000.0
2023,TÃ¼rkiye,3147921.0
2023,Algeria,2490581.11
2023,Brazil,1782456.0
