year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,380,Italy,1118387847.843,930458085.0,1.2019755278315412
2024,exporter,842,United States,1085975401.0,897421775.0,1.2101059181453448
2024,exporter,156,China,1046122012.0,980935797.0,1.0664530902015803
2024,exporter,152,Chile,601650212.808,553922977.05,1.086162224235901
2024,exporter,710,South Africa,577010206.066,671161948.619,0.8597182948962929
2024,exporter,616,Poland,509934281.0,784142145.0,0.650308473089404
2024,exporter,251,France,470962766.394,334849172.0,1.4064922531568929
2024,exporter,528,Netherlands,170380088.604,121965325.0,1.3969551477356372
2024,exporter,392,Japan,133027291.667,34110117.0,3.8999365398541435
2024,exporter,724,Spain,104311026.994,107706696.53,0.9684729952231504
2024,exporter,56,Belgium,77983819.324,105316021.68,0.7404744129146067
2024,exporter,344,Hong Kong,64587312.566,37226626.0,1.734976265805018
2024,exporter,620,Portugal,58049410.11,69524673.275,0.8349468954767986
2024,exporter,32,Argentina,51584524.42,69284537.6,0.7445315536030943
2024,exporter,124,Canada,48737600.796,48814202.0,0.9984307598841828
2024,exporter,276,Germany,47757494.126,55960454.0,0.8534150585340141
2024,exporter,826,United Kingdom,9459774.088,9718518.0,0.9733761966587909
2024,exporter,372,Ireland,5784584.293,4330470.0,1.3357867143751139
2024,exporter,752,Sweden,1376561.226,1128016.115,1.2203382626320016
2024,exporter,484,Mexico,1368116.0,900219.0,1.519759080845883
2024,exporter,504,Morocco,204481.277,211416.53,0.9671962594410192
2024,exporter,604,Peru,929.6,582.6,1.5956059045657398
2024,importer,276,Germany,629965256.467,560261206.406,1.1244134865380775
2024,importer,826,United Kingdom,449193424.168,326307011.0,1.3765975263338732
2024,importer,484,Mexico,316500603.0,246259070.0,1.285234298172246
2024,importer,528,Netherlands,245757032.449,190611225.0,1.2893103879322951
2024,importer,344,Hong Kong,224028978.723,148821735.0,1.505351209102622
2024,importer,156,China,217848599.0,97537634.0,2.233482503789255
2024,importer,724,Spain,213162130.748,0.0,
2024,importer,124,Canada,187086978.236,163873794.64,1.1416528106095
2024,importer,842,United States,143169384.0,76824364.0,1.8635934818803055
2024,importer,251,France,105976292.967,157180461.378,0.6742332478089617
2024,importer,56,Belgium,100871176.921,97498657.266,1.034590421546001
2024,importer,752,Sweden,86551133.308,72305506.045,1.1970199510689283
2024,importer,372,Ireland,74141811.361,57868284.0,1.281216691357221
2024,importer,620,Portugal,50590120.305,53066828.0,0.9533285144723554
2024,importer,604,Peru,47296914.556,39283940.2,1.2039758312227549
2024,importer,380,Italy,25663188.752,25352505.0,1.012254558356265
2024,importer,392,Japan,17468742.122,8059879.0,2.1673702697025603
2024,importer,504,Morocco,6886419.028,9707885.8,0.7093634154616857
2024,importer,152,Chile,6667979.417,3456791.613,1.9289503572976878
2024,importer,616,Poland,3493093.0,4183538.0,0.8349614608496445
2024,importer,32,Argentina,2787687.31,2097044.6,1.329340973482395
2024,importer,710,South Africa,45344.238,48831.56,0.9285846694228077
2023,exporter,380,Italy,992831502.786,854302053.0,1.1621551175015143
2023,exporter,156,China,970385897.0,795982381.0,1.219104744229257
2023,exporter,842,United States,931226316.0,730115004.0,1.2754515533829518
2023,exporter,152,Chile,514711760.165,470316192.249,1.0943951508531002
2023,exporter,710,South Africa,486027125.959,607255459.69,0.8003668278373548
2023,exporter,616,Poland,433988014.0,816894776.0,0.5312655029146618
2023,exporter,251,France,424400733.69,311370498.0,1.3630088155943405
2023,exporter,528,Netherlands,140389117.135,116971947.0,1.2001947538327287
2023,exporter,392,Japan,118931147.929,33432720.0,3.5573279089765957
2023,exporter,724,Spain,93648288.938,92633666.05,1.0109530684821688
2023,exporter,56,Belgium,74315700.877,136479103.41,0.5445207289627813
2023,exporter,620,Portugal,52980536.152,64014471.0,0.8276337416269519
2023,exporter,344,Hong Kong,52329953.323,33379572.0,1.5677239157829825
2023,exporter,124,Canada,49812372.281,59084889.0,0.8430644979463362
2023,exporter,32,Argentina,49455685.85,72857261.0,0.6788024305497842
2023,exporter,276,Germany,42097672.815,65129326.0,0.6463704662781248
2023,exporter,826,United Kingdom,8447706.997,10402224.96,0.8121057782814955
2023,exporter,372,Ireland,3548591.696,3908996.0,0.9078013116411477
2023,exporter,752,Sweden,1472739.093,1458933.658,1.0094626886728526
2023,exporter,484,Mexico,717715.0,326520.0,2.198073624892809
2023,exporter,504,Morocco,166265.696,241666.56,0.6879962871156026
2023,exporter,604,Peru,44845.4,56230.6,0.7975266136231874
2023,importer,276,Germany,531144823.051,507940412.878,1.0456833313213323
2023,importer,826,United Kingdom,384336838.412,284975463.0,1.3486664232983454
2023,importer,484,Mexico,285524616.0,205964556.0,1.3862803462164626
2023,importer,344,Hong Kong,227846040.483,143045987.0,1.5928167246173779
2023,importer,842,United States,220333613.0,102164064.0,2.156664529320212
2023,importer,724,Spain,216817421.629,0.0,
2023,importer,124,Canada,212924858.979,168844548.112,1.2610703831417769
2023,importer,528,Netherlands,182704598.098,141787029.0,1.288584713189808
2023,importer,156,China,180991495.0,82371549.0,2.1972573928408217
2023,importer,251,France,96227554.337,144472355.185,0.6660620588193397
2023,importer,752,Sweden,87551728.375,80382432.658,1.0891898326528997
2023,importer,372,Ireland,73544879.118,52877554.0,1.39085251783772
2023,importer,56,Belgium,67977538.983,68666378.311,0.9899683171743796
2023,importer,620,Portugal,61433194.642,66120118.0,0.9291150182460352
2023,importer,604,Peru,44462939.53,42366363.17,1.0494868146125085
2023,importer,380,Italy,26123601.237,25535379.0,1.0230355788727474
2023,importer,392,Japan,10043364.269,4643411.0,2.162928129558206
2023,importer,152,Chile,6372082.517,3109449.482,2.0492638822038276
2023,importer,504,Morocco,4934490.059,6994158.025,0.7055159522221405
2023,importer,32,Argentina,2605021.35,2095026.2,1.243431394795922
2023,importer,616,Poland,1619672.0,1750651.0,0.9251826891824813
2023,importer,710,South Africa,46301.935,46402.0,0.997843519675876
