year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,484,Mexico,3828209596.0,1190396811.0,3.2159104935639817
2024,exporter,604,Peru,1246996817.057,570286590.581,2.1866143052505884
2024,exporter,528,Netherlands,1114807063.249,335830493.0,3.3195528294358905
2024,exporter,724,Spain,463149228.593,138977202.26,3.3325554196042573
2024,exporter,152,Chile,313301814.627,106817360.86,2.9330608068254795
2024,exporter,504,Morocco,219699408.177,73848321.8,2.975008812955855
2024,exporter,710,South Africa,204595759.894,82783799.08,2.4714468551544035
2024,exporter,842,United States,176611386.0,59968688.0,2.9450600286602904
2024,exporter,251,France,151499183.486,47482658.0,3.1906213735128306
2024,exporter,276,Germany,65989497.448,18687106.0,3.5312850180225874
2024,exporter,344,Hong Kong,38097518.722,15788127.0,2.413048661313657
2024,exporter,56,Belgium,37748992.221,10232891.3,3.688985948770901
2024,exporter,620,Portugal,32214120.097,10197418.0,3.1590467407533946
2024,exporter,826,United Kingdom,20804524.806,9941991.0,2.0925913940175564
2024,exporter,616,Poland,18093740.0,6363760.0,2.8432467597772386
2024,exporter,380,Italy,12825200.311,4127738.0,3.107077123354244
2024,exporter,752,Sweden,1729620.271,311738.634,5.548302591843653
2024,exporter,372,Ireland,953421.322,193852.22,4.9182894165462745
2024,exporter,156,China,161075.0,52888.0,3.0455869006201786
2024,exporter,124,Canada,57328.961,41818.0,1.3709158974604239
2024,importer,842,United States,3876537120.0,1217217623.0,3.184752707117189
2024,importer,528,Netherlands,1298500059.172,382157932.0,3.397810042503579
2024,importer,251,France,696377799.167,202218615.84,3.443687893294602
2024,importer,724,Spain,665253474.586,261775394.87,2.5413139952147556
2024,importer,276,Germany,585370535.16,163106498.644,3.58888542165106
2024,importer,826,United Kingdom,378600219.049,134299200.0,2.8190802257124394
2024,importer,124,Canada,307261944.091,112941208.0,2.7205477038194954
2024,importer,380,Italy,166964983.424,54563186.0,3.060029951770045
2024,importer,616,Poland,145196753.0,46195256.0,3.143109608484473
2024,importer,392,Japan,144247238.976,47869612.0,3.013336288917487
2024,importer,156,China,122431587.0,48983857.0,2.4994272500836345
2024,importer,152,Chile,114228329.437,63737877.38,1.792157726809446
2024,importer,56,Belgium,89145890.99,28083231.64,3.1743458919815395
2024,importer,344,Hong Kong,67564539.985,25154797.0,2.6859505161182575
2024,importer,32,Argentina,64456930.07,27659663.6,2.3303584238096082
2024,importer,752,Sweden,57640887.222,17434550.921,3.306129735327526
2024,importer,620,Portugal,35441547.852,13263763.0,2.6720582878327965
2024,importer,372,Ireland,29583211.428,10117371.0,2.924001840794412
2024,importer,504,Morocco,7507544.639,11545680.305,0.650247056966298
2024,importer,710,South Africa,2683984.482,4496816.05,0.5968633033143528
2024,importer,604,Peru,276489.32,168000.0,1.645769761904762
2023,exporter,484,Mexico,3137577204.0,1306923052.0,2.4007359876302803
2023,exporter,528,Netherlands,986167832.422,319895368.0,3.0827824691165895
2023,exporter,604,Peru,963426949.23,598492889.16,1.6097550475197697
2023,exporter,724,Spain,413888620.73,133639471.45,3.0970537090522146
2023,exporter,152,Chile,282069751.036,96053658.672,2.9365851851536435
2023,exporter,504,Morocco,152663081.407,47498587.25,3.214055201336541
2023,exporter,710,South Africa,144429901.827,70937556.16,2.0360146253310116
2023,exporter,842,United States,128417082.0,53822534.0,2.3859352664443483
2023,exporter,251,France,100357086.6,37575540.0,2.670808898554751
2023,exporter,276,Germany,59667487.422,17502380.64,3.4091069466079214
2023,exporter,620,Portugal,34592397.661,11146186.51,3.103518645589217
2023,exporter,344,Hong Kong,34012744.141,15715947.0,2.1642185571763513
2023,exporter,56,Belgium,30761970.995,8873915.72,3.4665610949705976
2023,exporter,616,Poland,19614032.0,8347247.277,2.3497605077597847
2023,exporter,826,United Kingdom,18679430.873,0.0,
2023,exporter,380,Italy,8458092.946,2949497.0,2.8676391079563737
2023,exporter,752,Sweden,1058513.551,330530.369,3.2024698795528828
2023,exporter,372,Ireland,492079.943,104800.23,4.69540899862529
2023,exporter,124,Canada,39027.085,28099.0,1.3889136624079148
2023,exporter,156,China,7376.0,3872.0,1.9049586776859504
2023,importer,842,United States,3086847184.0,1261581024.0,2.446808508749415
2023,importer,528,Netherlands,1149942363.441,373679198.0,3.077351829044013
2023,importer,251,France,600524452.077,0.0,
2023,importer,724,Spain,558518174.617,240565049.28,2.3216929320722977
2023,importer,276,Germany,532167246.996,158984432.727,3.347291542121049
2023,importer,826,United Kingdom,287398358.756,120498609.0,2.3850761526716044
2023,importer,124,Canada,242641299.517,110277990.337,2.200269507773121
2023,importer,392,Japan,160029915.171,61653936.0,2.595615552768602
2023,importer,156,China,151162714.0,65558030.0,2.305784874865825
2023,importer,380,Italy,132086028.37,44711461.0,2.954187257938183
2023,importer,616,Poland,122840913.0,42034248.0,2.9224006338831137
2023,importer,152,Chile,95109671.421,66550031.055,1.4291454100509287
2023,importer,56,Belgium,78481497.248,24843979.55,3.1589744746831427
2023,importer,344,Hong Kong,67049321.449,26542424.0,2.526118995348729
2023,importer,32,Argentina,61042019.68,23175265.0,2.63392973845175
2023,importer,752,Sweden,48530834.108,17041210.202,2.8478513868870827
2023,importer,372,Ireland,31932277.903,8946880.212,3.5690963940895113
2023,importer,620,Portugal,26524409.133,9037977.0,2.9347728073439443
2023,importer,504,Morocco,8562002.09,13605673.7,0.6292964449088618
2023,importer,710,South Africa,2239788.19,4104359.2,0.5457095933513811
