year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,152,Chile,3515064436.453,529516791.12,6.638249240440819
2024,exporter,344,Hong Kong,1026711249.22,168419621.0,6.096149861422619
2024,exporter,842,United States,505793621.0,84158982.0,6.009977889228746
2024,exporter,724,Spain,129214946.677,34141878.53,3.784646663875293
2024,exporter,32,Argentina,36812487.02,8096563.0,4.546680736011071
2024,exporter,380,Italy,25914642.813,4232282.0,6.123089816085034
2024,exporter,528,Netherlands,25750902.7,3834672.0,6.715281698147846
2024,exporter,56,Belgium,24174069.454,3025940.87,7.988943106479143
2024,exporter,251,France,19311855.98,2753703.0,7.013049693449148
2024,exporter,276,Germany,15543670.579,4938328.0,3.1475573471425955
2024,exporter,124,Canada,10576768.151,1205095.0,8.776709015471809
2024,exporter,710,South Africa,5652910.02,807943.46,6.996665360717197
2024,exporter,826,United Kingdom,3645453.129,424437.0,8.588914559757987
2024,exporter,616,Poland,2177466.0,599807.0,3.6302777393394874
2024,exporter,156,China,1037834.0,174093.0,5.961376965185274
2024,exporter,620,Portugal,1020577.856,319985.0,3.1894553057174555
2024,exporter,372,Ireland,192114.955,23337.0,8.232204439302395
2024,exporter,752,Sweden,109390.581,29500.945,3.7080365052712723
2024,exporter,392,Japan,59623.572,1933.0,30.845096740817382
2024,exporter,604,Peru,19374.231,0.0,
2024,exporter,484,Mexico,2024.0,212.0,9.547169811320755
2024,exporter,504,Morocco,562.744,375.0,1.5006506666666668
2024,importer,156,China,3685203694.0,451017903.0,8.17085900468124
2024,importer,344,Hong Kong,1117207797.624,175189336.0,6.377144997136128
2024,importer,276,Germany,168751376.483,40666482.263,4.1496428285004825
2024,importer,124,Canada,168225537.55,35189471.148,4.780564528590852
2024,importer,842,United States,140377643.0,20295405.0,6.916720459631133
2024,importer,826,United Kingdom,68611630.956,12220604.0,5.614422245905358
2024,importer,380,Italy,53608892.76,14885311.0,3.601462727920162
2024,importer,251,France,51709392.984,9007770.0,5.740532116605997
2024,importer,528,Netherlands,41443449.438,8630906.902,4.801749098741466
2024,importer,392,Japan,40175168.974,4753950.0,8.450902717529633
2024,importer,484,Mexico,32574744.0,9302577.0,3.501690338064388
2024,importer,616,Poland,27586879.0,8213379.0,3.3587734110406933
2024,importer,724,Spain,21442273.245,3967990.92,5.403811066432582
2024,importer,56,Belgium,20215770.703,4195437.03,4.818513675320256
2024,importer,620,Portugal,16743864.688,7230873.525,2.3156074615480153
2024,importer,752,Sweden,10198400.564,2392106.22,4.263356066186725
2024,importer,372,Ireland,3082639.033,777338.0,3.9656353259457275
2024,importer,710,South Africa,948759.783,147251.23,6.443136556482415
2024,importer,604,Peru,492261.679,224512.0,2.192585158031642
2024,importer,32,Argentina,167383.92,72688.0,2.302772397094431
2024,importer,504,Morocco,12904.582,8108.15,1.5915568902894004
2023,exporter,152,Chile,2447776115.75,376490669.552,6.501558507844825
2023,exporter,842,United States,457336272.0,81285815.0,5.626274055319492
2023,exporter,344,Hong Kong,418190137.815,72181877.0,5.793561420063931
2023,exporter,724,Spain,137817708.287,33400575.22,4.126207629037355
2023,exporter,124,Canada,52106075.644,8240023.0,6.3235352187730545
2023,exporter,380,Italy,36387683.096,5803475.0,6.269981880855867
2023,exporter,56,Belgium,31236221.357,4555501.83,6.856812382621741
2023,exporter,528,Netherlands,23344537.605,4563956.0,5.114978673107278
2023,exporter,32,Argentina,22145589.91,5271468.4,4.201028675425618
2023,exporter,276,Germany,18674652.546,5657678.0,3.30076270618441
2023,exporter,251,France,17406580.646,2523701.158,6.8972431980791615
2023,exporter,710,South Africa,7444990.684,855438.11,8.703131877068232
2023,exporter,616,Poland,2864717.0,798262.0,3.5886926848578535
2023,exporter,620,Portugal,2011311.011,1169759.0,1.7194234120019594
2023,exporter,826,United Kingdom,1156903.645,182428.196,6.341693172255018
2023,exporter,156,China,164439.0,16723.0,9.833104108114572
2023,exporter,372,Ireland,110061.252,8993.0,12.238546869787612
2023,exporter,392,Japan,103330.264,2737.0,37.75311070515163
2023,exporter,752,Sweden,103014.452,30904.807,3.3332824890315607
2023,exporter,504,Morocco,26479.784,4495.15,5.8907453588868
2023,exporter,604,Peru,23.62,4.41,5.3560090702947845
2023,importer,156,China,2656833077.0,347499892.0,7.645565187686447
2023,importer,344,Hong Kong,533081779.021,83831939.0,6.3589341410915
2023,importer,276,Germany,178221956.344,41394643.957,4.305435179709088
2023,importer,842,United States,140592371.0,22059442.0,6.373342127149001
2023,importer,124,Canada,132930350.942,31065513.0,4.2790328600721965
2023,importer,826,United Kingdom,59813931.003,11654265.0,5.132364074697117
2023,importer,380,Italy,53559678.763,12727240.0,4.208271295504759
2023,importer,251,France,51298178.862,8609791.0,5.958121267055147
2023,importer,528,Netherlands,34543981.696,7281391.0,4.744145960023298
2023,importer,392,Japan,33800157.151,3734409.0,9.05100570157152
2023,importer,484,Mexico,32332750.0,10029821.0,3.2236617183895904
2023,importer,724,Spain,26518842.416,5323568.14,4.981403772545683
2023,importer,56,Belgium,21732352.297,4241614.08,5.123604337196089
2023,importer,616,Poland,19202935.0,6248134.0,3.0733871904795897
2023,importer,620,Portugal,13594403.265,5131066.0,2.6494305988268327
2023,importer,752,Sweden,10202200.73,2221000.0,4.593516762719496
2023,importer,372,Ireland,2703772.735,414233.0,6.527178508230874
2023,importer,604,Peru,447890.9,241412.6,1.8552921429950218
2023,importer,710,South Africa,394963.391,63162.62,6.253119186632853
2023,importer,32,Argentina,367574.28,139868.5,2.6279990133589766
2023,importer,504,Morocco,12007.687,7615.9,1.5766602765267401
