year,role,country_code,country,value_usd,net_kg,usd_per_kg
2023,exporter,528,Netherlands,81723086.763,15914201.0,5.135230274080364
2023,exporter,842,United States,73857404.0,13011262.0,5.676421241844181
2023,exporter,251,France,42331304.516,15054782.694,2.811817704474134
2023,exporter,484,Mexico,38054391.0,9864942.0,3.857538239961269
2023,exporter,276,Germany,27152847.713,6734390.0,4.031968405898678
2023,exporter,710,South Africa,16899599.92,5247488.78,3.2205118731097127
2023,exporter,56,Belgium,10346537.234,2108144.17,4.907888834756496
2023,exporter,504,Morocco,9405045.926,2404047.74,3.912171031179273
2023,exporter,380,Italy,4426434.763,849265.0,5.212077223245983
2023,exporter,724,Spain,4024157.066,960258.02,4.190703938093638
2023,exporter,826,United Kingdom,3435326.691,1199809.481,2.8632268250929087
2023,exporter,604,Peru,2274544.0,623385.96,3.648693018366984
2023,exporter,752,Sweden,1148615.853,354348.912,3.241482657635477
2023,exporter,124,Canada,715372.854,330423.0,2.1650213635249362
2023,exporter,616,Poland,604176.0,170709.413,3.539207296085073
2023,exporter,344,Hong Kong,432738.201,163152.0,2.6523622205060313
2023,exporter,620,Portugal,108050.092,21797.436,4.957009255584005
2023,exporter,156,China,83112.0,28213.0,2.945876014603197
2023,exporter,372,Ireland,28570.361,9516.0,3.002349831862127
2023,exporter,392,Japan,2583.79,270.0,9.569592592592592
2023,exporter,152,Chile,918.0,600.0,1.53
2023,importer,504,Morocco,241142911.062,132465063.321,1.8204264959859122
2023,importer,251,France,111350899.48,47115978.025,2.363336263993429
2023,importer,528,Netherlands,87928962.051,19847036.0,4.430332169045292
2023,importer,276,Germany,79596129.487,26916922.273,2.9571036643681143
2023,importer,842,United States,78524152.0,0.0,
2023,importer,826,United Kingdom,76871630.497,24148222.418,3.1833246011391774
2023,importer,124,Canada,61730812.875,16515630.144,3.7377207128500833
2023,importer,724,Spain,42830374.798,13942204.64,3.0719944157985046
2023,importer,380,Italy,42559192.422,16557458.0,2.570394104094964
2023,importer,56,Belgium,18837142.375,6610697.264,2.8494940280478103
2023,importer,156,China,12784965.0,28460054.0,0.4492249030869724
2023,importer,752,Sweden,11956650.891,4465970.268,2.6772795548311072
2023,importer,616,Poland,10723313.0,4897677.111,2.189469162006585
2023,importer,484,Mexico,9170746.0,2790300.0,3.2866523312905422
2023,importer,710,South Africa,6859482.714,3014115.43,2.2757863370879594
2023,importer,392,Japan,6077623.192,2346551.0,2.590023908280706
2023,importer,620,Portugal,3389086.193,851523.366,3.980027240967102
2023,importer,372,Ireland,2622108.842,779768.322,3.3626767951725025
2023,importer,344,Hong Kong,2473038.482,664708.0,3.7204885182666674
2023,importer,32,Argentina,1021762.09,414983.2,2.462176998972488
2023,importer,152,Chile,359620.75,260031.06,1.3829915164749935
2023,importer,604,Peru,12811.28,4226.4,3.03125118303994
2022,exporter,842,United States,82345801.0,15787816.0,5.215781650862919
2022,exporter,528,Netherlands,62394556.102,12982422.0,4.806079797899036
2022,exporter,484,Mexico,34988416.0,7894826.0,4.43181597669157
2022,exporter,251,France,33597857.343,12209719.733,2.751730430977289
2022,exporter,276,Germany,26200393.255,6858650.0,3.820051067629927
2022,exporter,710,South Africa,11412135.86,3884379.25,2.937956138036727
2022,exporter,56,Belgium,7112040.991,1640058.3,4.33645620463614
2022,exporter,380,Italy,5605529.496,0.0,
2022,exporter,724,Spain,3884792.603,0.0,
2022,exporter,826,United Kingdom,3283959.871,1294254.182,2.5373376548996927
2022,exporter,604,Peru,3003112.621,492518.715,6.09745889757712
2022,exporter,504,Morocco,1684625.229,302467.53,5.569606856643422
2022,exporter,752,Sweden,1011444.09,318396.533,3.1766806016069276
2022,exporter,124,Canada,950627.679,378762.0,2.509828544046129
2022,exporter,616,Poland,668202.0,234852.351,2.845200387199871
2022,exporter,344,Hong Kong,480994.426,134385.0,3.5792270417085237
2022,exporter,156,China,120276.0,120883.0,0.994978615686242
2022,exporter,620,Portugal,97980.372,21591.467,4.537921022226048
2022,exporter,372,Ireland,79723.153,53097.0,1.5014624743394167
2022,exporter,392,Japan,4509.569,600.0,7.515948333333334
2022,importer,504,Morocco,210930816.405,109092165.9,1.9335102082247686
2022,importer,251,France,98826555.599,44755058.441,2.2081650441654936
2022,importer,842,United States,86383656.0,25252181.0,3.420839411851198
2022,importer,826,United Kingdom,71184406.293,24034902.0,2.961709862307739
2022,importer,276,Germany,70753277.252,26637116.776,2.656191278019571
2022,importer,528,Netherlands,63069082.19,16889776.0,3.734157409192401
2022,importer,124,Canada,56879680.466,15193600.519,3.743660391417456
2022,importer,380,Italy,38492317.19,15541382.0,2.4767628252107823
2022,importer,724,Spain,35081591.548,13112719.307,2.6753864493440576
2022,importer,56,Belgium,16804269.667,6700785.45,2.5078059568374926
2022,importer,484,Mexico,13744844.0,4717194.0,2.913775435142163
2022,importer,752,Sweden,9347305.541,3663984.174,2.5511315270762953
2022,importer,156,China,8983409.0,20425290.0,0.43981794138540997
2022,importer,616,Poland,8193329.0,4283562.137,1.9127372821859452
2022,importer,392,Japan,7331175.648,2304280.0,3.181547228635409
2022,importer,710,South Africa,5238240.743,3261634.33,1.606017172072137
2022,importer,372,Ireland,3057446.666,899476.31,3.3991408467444795
2022,importer,620,Portugal,2867631.74,822409.304,3.4868668509129614
2022,importer,344,Hong Kong,2146864.567,616485.0,3.482427904977412
2022,importer,32,Argentina,1086885.79,470882.66,2.308188180044685
2022,importer,152,Chile,315949.51,188371.162,1.677271120724944
2022,importer,604,Peru,51848.843,30288.487,1.711833377481021
