year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,604,Peru,1726329453.607,558016703.801,3.093687772871122
2024,exporter,152,Chile,1352157778.564,527066258.932,2.5654417364979722
2024,exporter,528,Netherlands,989192433.719,316463167.0,3.125774298147626
2024,exporter,380,Italy,980396743.619,379426077.0,2.5838939468016586
2024,exporter,156,China,927754183.0,593594884.0,1.5629416762291368
2024,exporter,842,United States,843743623.0,262604752.0,3.212979264746892
2024,exporter,710,South Africa,838276104.315,399934436.345,2.096033819883088
2024,exporter,724,Spain,467220856.66,166501742.07,2.806101911315576
2024,exporter,484,Mexico,390928259.0,218849604.0,1.786287257801024
2024,exporter,344,Hong Kong,161286696.044,62271977.0,2.5900365431468475
2024,exporter,276,Germany,74635264.679,24871844.698,3.000793289972641
2024,exporter,392,Japan,39188132.942,2270920.0,17.256500863967027
2024,exporter,251,France,38288232.465,12063934.996,3.1737764235048607
2024,exporter,620,Portugal,13819030.749,4533951.0,3.0479003299770993
2024,exporter,56,Belgium,12744826.58,4102452.88,3.1066357013221806
2024,exporter,504,Morocco,9316041.689,9252464.5,1.0068713788634367
2024,exporter,616,Poland,5735066.0,3109250.0,1.8445174881402266
2024,exporter,372,Ireland,5179646.183,1227372.0,4.220111085310729
2024,exporter,826,United Kingdom,5072681.265,1821196.0,2.7853571306987273
2024,exporter,32,Argentina,3390336.42,3131002.0,1.0828279317611422
2024,exporter,752,Sweden,801314.392,325374.482,2.462745040958682
2024,exporter,124,Canada,255971.148,483843.0,0.5290376175742958
2024,importer,842,United States,2544130574.0,894204133.81,2.8451339887683584
2024,importer,276,Germany,951531841.555,326222985.481,2.9168142157488144
2024,importer,826,United Kingdom,763706180.411,273469041.0,2.792660469420376
2024,importer,528,Netherlands,621459107.067,254757491.887,2.4394144504400046
2024,importer,124,Canada,598416765.288,189984365.0,3.14982111969056
2024,importer,484,Mexico,327973496.0,110196200.0,2.9762686553619817
2024,importer,156,China,325502472.0,109051665.0,2.9848464211894425
2024,importer,251,France,309462019.448,132125302.0,2.3421859005325114
2024,importer,616,Poland,275149200.0,123916622.0,2.2204381910927173
2024,importer,344,Hong Kong,212019546.656,72365329.0,2.9298498270629016
2024,importer,724,Spain,206218207.895,77401307.26,2.664272932785089
2024,importer,56,Belgium,131036131.883,41750044.88,3.1385866113349192
2024,importer,620,Portugal,96496369.297,37525381.0,2.571496057481735
2024,importer,392,Japan,92806775.745,26642685.0,3.4833867436784245
2024,importer,752,Sweden,67896632.675,23089576.834,2.9405750119690564
2024,importer,372,Ireland,66169562.977,25480803.834,2.5968396997235796
2024,importer,380,Italy,62822777.652,19865692.0,3.1623754990261603
2024,importer,710,South Africa,19180249.626,11221742.0,1.7092042951976616
2024,importer,32,Argentina,12882276.06,4623547.4,2.786232073667072
2024,importer,152,Chile,1840726.869,447333.257,4.114889381005714
2024,importer,604,Peru,155112.665,82792.6,1.873508803926921
2024,importer,504,Morocco,122230.233,153049.4,0.7986325526267989
2023,exporter,604,Peru,1745478602.34,647967138.52,2.6937764256483576
2023,exporter,152,Chile,923442602.617,506768817.095,1.822216702105981
2023,exporter,380,Italy,875770642.594,380932172.0,2.2990198963662225
2023,exporter,528,Netherlands,817656608.504,267052551.0,3.061781680954622
2023,exporter,156,China,813591368.0,483372953.0,1.6831545144397022
2023,exporter,842,United States,768430599.0,238025656.0,3.2283519848801507
2023,exporter,710,South Africa,597642130.204,0.0,
2023,exporter,484,Mexico,378629892.0,224727887.0,1.6848371470693355
2023,exporter,724,Spain,354717956.044,132138392.24,2.6844428029647416
2023,exporter,344,Hong Kong,236826982.119,100004780.0,2.368156623303406
2023,exporter,276,Germany,71199460.806,24330405.0,2.926357403668373
2023,exporter,392,Japan,36795837.953,2106611.0,17.46684031983124
2023,exporter,251,France,30568275.823,10449275.0,2.9253968168126496
2023,exporter,620,Portugal,12873646.903,4525003.0,2.8450029542521853
2023,exporter,56,Belgium,11638019.842,3844640.66,3.0270760966253736
2023,exporter,504,Morocco,7049510.957,6590542.35,1.069640491271557
2023,exporter,616,Poland,6714577.0,3522196.0,1.906360974800948
2023,exporter,372,Ireland,5112344.0,1499236.317,3.409965421748785
2023,exporter,826,United Kingdom,4482617.241,1657419.0,2.704576960322043
2023,exporter,32,Argentina,1460976.41,2285784.0,0.6391576850656054
2023,exporter,124,Canada,874202.12,2532336.0,0.34521569017697495
2023,exporter,752,Sweden,342784.595,114000.0,3.0068824122807016
2023,importer,842,United States,2720041783.0,817242932.0,3.328314845554394
2023,importer,276,Germany,966372437.345,354587714.455,2.725341002945663
2023,importer,528,Netherlands,759291835.788,331578878.361,2.2899282353001262
2023,importer,826,United Kingdom,662307758.815,258849463.0,2.5586599683809275
2023,importer,124,Canada,551697463.694,173587195.0,3.178215211634706
2023,importer,156,China,484496839.0,166704508.0,2.9063211595933565
2023,importer,344,Hong Kong,306894425.303,111432219.0,2.754090585802657
2023,importer,251,France,277396266.714,126415004.416,2.194330237897699
2023,importer,616,Poland,255407766.0,125384850.0,2.0369906412138308
2023,importer,484,Mexico,255357774.0,91905270.0,2.778488915815165
2023,importer,724,Spain,172653266.134,66909303.1,2.5804074790012272
2023,importer,56,Belgium,118507310.341,41104873.04,2.883047716159544
2023,importer,392,Japan,96725654.287,28883569.0,3.348812409124371
2023,importer,620,Portugal,80855932.037,34036770.213,2.3755465495406463
2023,importer,752,Sweden,63674995.311,22536067.425,2.825470571691813
2023,importer,372,Ireland,60495415.775,20507403.0,2.949930606766737
2023,importer,380,Italy,56268639.425,20037094.0,2.8082235590150946
2023,importer,710,South Africa,17487318.212,11013763.1,1.5877695982039055
2023,importer,32,Argentina,8632858.15,3737715.4,2.309661712071497
2023,importer,152,Chile,1509879.21,252911.732,5.969984856218533
2023,importer,504,Morocco,201362.752,254187.0,0.7921835184332795
2023,importer,604,Peru,17884.8,15360.0,1.164375
