year,role,country_code,country,value_usd,net_kg,usd_per_kg
2023,exporter,724,Spain,857800419.237,610213098.85,1.4057391112278643
2023,exporter,484,Mexico,825004004.0,710003949.0,1.1619710075725227
2023,exporter,710,South Africa,361553676.983,565295104.47,0.6395839520350692
2023,exporter,528,Netherlands,325414138.236,183233299.0,1.7759552440083504
2023,exporter,842,United States,187084492.0,109860900.0,1.7029215307720946
2023,exporter,32,Argentina,123130874.48,218446344.0,0.563666446530229
2023,exporter,380,Italy,80804910.214,46648970.0,1.7321906617445144
2023,exporter,152,Chile,77062184.433,67878902.29,1.1352891963951646
2023,exporter,156,China,62683088.0,53880380.77,1.1633750004027672
2023,exporter,620,Portugal,39569563.621,34641504.909,1.142258794037544
2023,exporter,604,Peru,36867342.36,35004232.23,1.0532252819532846
2023,exporter,276,Germany,29449694.586,16774179.985,1.7556562891500416
2023,exporter,251,France,29124649.511,17007920.417,1.712416850321625
2023,exporter,56,Belgium,5924199.885,0.0,
2023,exporter,616,Poland,4774022.0,3379363.0,1.4126987837648692
2023,exporter,504,Morocco,3800396.746,6092828.55,0.6237491691769335
2023,exporter,344,Hong Kong,2463012.279,2046886.0,1.2032972422499348
2023,exporter,826,United Kingdom,820692.436,541373.0,1.5159463733876644
2023,exporter,752,Sweden,696502.105,778897.179,0.89421572420408
2023,exporter,372,Ireland,355630.33,208241.0,1.7077824731921187
2023,exporter,124,Canada,91306.179,77241.0,1.1820947294830466
2023,exporter,392,Japan,2690.559,900.0,2.98951
2023,importer,842,United States,1087150443.0,885365677.0,1.2279112136848738
2023,importer,276,Germany,414613056.829,233540197.915,1.7753391515918122
2023,importer,528,Netherlands,295952135.273,236463230.0,1.2515778257490604
2023,importer,251,France,238814112.032,156423373.124,1.5267162909387408
2023,importer,826,United Kingdom,179715880.436,148755929.0,1.2081258316500447
2023,importer,616,Poland,167185147.0,138726818.0,1.2051393480386756
2023,importer,124,Canada,157606197.791,111971413.262,1.4075574577434329
2023,importer,380,Italy,112872277.493,93487433.0,1.2073524095265296
2023,importer,392,Japan,90294236.87,45325102.0,1.992146357883541
2023,importer,724,Spain,75729396.138,67931344.66,1.1147931270465743
2023,importer,56,Belgium,51916437.212,30834855.15,1.6836932412831522
2023,importer,620,Portugal,46053881.796,0.0,
2023,importer,752,Sweden,37875577.138,31007333.106,1.221503861958092
2023,importer,344,Hong Kong,31485440.833,25801789.0,1.220281308129448
2023,importer,372,Ireland,18205360.843,12553599.34,1.4502104416373702
2023,importer,156,China,15641820.0,15616813.0,1.001601287023159
2023,importer,152,Chile,12068280.06,13593053.203,0.8878270304523284
2023,importer,484,Mexico,6274697.0,6015012.0,1.0431728149503277
2023,importer,32,Argentina,1192957.69,1450214.0,0.822608035779547
2023,importer,710,South Africa,325046.701,2358396.78,0.13782528188492524
2023,importer,504,Morocco,5386.013,4846.76,1.111260512177207
2022,exporter,724,Spain,843414494.711,634770844.38,1.3286912941548041
2022,exporter,484,Mexico,765209778.0,708348562.0,1.0802729320709767
2022,exporter,710,South Africa,355982337.472,557100512.684,0.6389912221709284
2022,exporter,528,Netherlands,341151358.547,195734092.0,1.7429327464681013
2022,exporter,842,United States,200652089.0,125237359.0,1.6021743879156698
2022,exporter,32,Argentina,159030664.92,255476456.0,0.6224865782543969
2022,exporter,380,Italy,70158783.691,41482034.0,1.6913052935398492
2022,exporter,620,Portugal,67187409.884,63234571.0,1.062510725090552
2022,exporter,156,China,56650078.0,41723584.21,1.3577471608113314
2022,exporter,152,Chile,49993322.999,56325275.6,0.887582394696707
2022,exporter,251,France,40780707.44,22431225.726,1.8180329482722446
2022,exporter,604,Peru,35298784.798,31330255.715,1.1266676250299479
2022,exporter,276,Germany,33910123.453,21498698.0,1.5773105633187647
2022,exporter,56,Belgium,6244911.861,3616348.81,1.7268555078900145
2022,exporter,504,Morocco,4692245.771,8233692.3,0.5698835467776711
2022,exporter,616,Poland,4626229.0,3864580.0,1.197084547350553
2022,exporter,344,Hong Kong,3904402.664,3390334.0,1.151627734612578
2022,exporter,752,Sweden,981980.713,966057.895,1.0164822606206225
2022,exporter,826,United Kingdom,852725.881,804770.0,1.0595895485666713
2022,exporter,372,Ireland,470616.91,286203.0,1.6443465302599902
2022,exporter,124,Canada,127678.837,103536.0,1.2331830184670067
2022,exporter,392,Japan,2235.773,700.0,3.193961428571429
2022,importer,842,United States,972225835.0,813424856.0,1.195225137059249
2022,importer,276,Germany,391383820.282,226884165.958,1.7250380546805175
2022,importer,528,Netherlands,319081536.927,260765183.0,1.2236355070722766
2022,importer,251,France,253273467.593,171904715.216,1.4733363612205712
2022,importer,826,United Kingdom,172194832.003,146662586.0,1.1740883390873798
2022,importer,616,Poland,163562707.0,138724443.0,1.1790474948960508
2022,importer,124,Canada,152535605.907,110081721.161,1.3856578939559738
2022,importer,380,Italy,120212992.502,108110530.0,1.1119452702895825
2022,importer,392,Japan,91494674.545,45647214.0,2.004386829500701
2022,importer,724,Spain,83919801.574,73743950.73,1.1379889569689183
2022,importer,620,Portugal,60234051.055,58807032.101,1.0242661277574614
2022,importer,56,Belgium,52581703.289,33701270.54,1.560229108472063
2022,importer,752,Sweden,37144023.597,31057786.898,1.1959649191678863
2022,importer,344,Hong Kong,31045208.189,26819656.0,1.1575543022997759
2022,importer,372,Ireland,17440738.837,12301263.672,1.4178005855364613
2022,importer,156,China,15425546.0,14365712.0,1.0737752504017901
2022,importer,152,Chile,11802019.787,13013445.362,0.9069096967558314
2022,importer,484,Mexico,6304862.0,7932504.0,0.7948135922780499
2022,importer,32,Argentina,1758913.62,2149491.0,0.8182930842697178
2022,importer,710,South Africa,247135.557,2935856.35,0.0841783546391839
2022,importer,504,Morocco,4984.646,3386.2,1.4720471324788849
2022,importer,604,Peru,1877.687,979.0,1.917964249233912
