year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,156,China,907792699.0,930823939.0,0.9752571468834988
2024,exporter,710,South Africa,581278732.797,637183097.96,0.9122632641355634
2024,exporter,724,Spain,334786803.718,248641728.89,1.3464626602001746
2024,exporter,504,Morocco,245278261.366,250996156.6,0.9772191920726805
2024,exporter,152,Chile,180791765.28,136392258.43,1.3255280568052692
2024,exporter,528,Netherlands,103964261.342,65808810.0,1.5797924524391187
2024,exporter,842,United States,94195229.0,54791696.0,1.719151548074
2024,exporter,344,Hong Kong,33722828.245,20715601.0,1.6278952391967771
2024,exporter,251,France,26228676.259,15399793.0,1.70318368948206
2024,exporter,604,Peru,19977263.827,16809472.3,1.188452764635568
2024,exporter,380,Italy,11205912.384,7042623.0,1.5911560769332675
2024,exporter,616,Poland,10177021.0,9555419.0,1.0650523017358005
2024,exporter,620,Portugal,9874248.726,7689335.0,1.2841485936039982
2024,exporter,276,Germany,9530562.492,6845996.0,1.3921367310176636
2024,exporter,392,Japan,7366447.758,1501789.0,4.905115004837564
2024,exporter,56,Belgium,1941995.574,1582372.82,1.2272680302989531
2024,exporter,372,Ireland,587218.459,342245.0,1.7157838945784454
2024,exporter,484,Mexico,506311.0,1440817.0,0.3514054873033841
2024,exporter,32,Argentina,331169.74,7270157.0,0.045551937874243977
2024,exporter,752,Sweden,192001.287,121358.873,1.582095171566071
2024,exporter,826,United Kingdom,152652.588,83381.0,1.8307838476391503
2024,exporter,124,Canada,27875.154,8430.0,3.3066612099644126
2024,importer,842,United States,570089602.0,333480297.0,1.7095150961797303
2024,importer,826,United Kingdom,272949048.355,196396336.0,1.3897868662631263
2024,importer,276,Germany,228403500.926,154336455.004,1.4799063573157771
2024,importer,251,France,224751425.313,139547042.0,1.610578211417767
2024,importer,616,Poland,151587952.0,128970511.0,1.1753690888299264
2024,importer,124,Canada,150665387.834,87029532.421,1.7311984063658468
2024,importer,528,Netherlands,77488612.921,54900359.0,1.4114409146395563
2024,importer,156,China,75827069.0,42894799.0,1.767745059255319
2024,importer,344,Hong Kong,43267086.105,26680459.0,1.6216769773338606
2024,importer,380,Italy,36347112.996,26259937.0,1.3841279587228255
2024,importer,56,Belgium,32593090.587,17189718.92,1.8960804850088844
2024,importer,484,Mexico,26841940.0,23492266.0,1.1425862451923539
2024,importer,620,Portugal,26057631.274,24061607.0,1.0829547367305932
2024,importer,724,Spain,25704538.78,19969051.861,1.2872187903022843
2024,importer,372,Ireland,20608891.968,17126480.0,1.2033349507896542
2024,importer,752,Sweden,15933930.396,13876082.407,1.148301799358145
2024,importer,392,Japan,13122880.689,6390229.0,2.053585354922335
2024,importer,710,South Africa,4069616.035,2986868.22,1.3625027069322797
2024,importer,152,Chile,570406.726,231173.045,2.467444792276712
2024,importer,604,Peru,112863.571,33795.5,3.3396035270968025
2023,exporter,156,China,854279065.0,832454371.0,1.0262172856078378
2023,exporter,710,South Africa,570814558.206,609870824.94,0.9359597719109739
2023,exporter,724,Spain,342619223.274,216122785.81,1.5852989400905038
2023,exporter,504,Morocco,259592460.544,250547710.2,1.036099912215442
2023,exporter,152,Chile,224456112.09,175707402.35,1.2774425498755888
2023,exporter,528,Netherlands,100226813.951,56521613.0,1.7732475885109649
2023,exporter,842,United States,68966117.0,41825035.0,1.6489195286985414
2023,exporter,344,Hong Kong,49237804.409,31421026.0,1.56703362929651
2023,exporter,251,France,43436682.156,24539136.0,1.7700982689855096
2023,exporter,604,Peru,31857616.61,32607232.66,0.977010743051508
2023,exporter,276,Germany,13353957.426,9042737.0,1.4767605677351892
2023,exporter,380,Italy,13030923.912,8477621.0,1.537096776560311
2023,exporter,620,Portugal,12087961.442,9442784.0,1.2801268611036745
2023,exporter,616,Poland,9473990.0,9581191.0,0.9888113074877644
2023,exporter,392,Japan,6883730.22,1542644.0,4.462293452021335
2023,exporter,56,Belgium,2275219.338,1618583.1,1.4056858359635658
2023,exporter,484,Mexico,1015782.0,3314060.0,0.3065068224473908
2023,exporter,372,Ireland,328110.963,159394.0,2.058490049813669
2023,exporter,752,Sweden,295000.215,175006.427,1.6856536074529425
2023,exporter,32,Argentina,263345.02,4498190.0,0.058544663520215916
2023,exporter,826,United Kingdom,184719.468,111947.092,1.650060441051921
2023,exporter,124,Canada,47335.796,23339.0,2.028184412356999
2023,importer,842,United States,499784889.0,305885668.0,1.6338944294702948
2023,importer,251,France,277456692.522,155670090.0,1.782337843589607
2023,importer,276,Germany,248990466.363,138357798.029,1.7996128148180792
2023,importer,826,United Kingdom,247136011.593,187010564.0,1.3215082950768493
2023,importer,616,Poland,152985701.0,122554071.0,1.248311865543822
2023,importer,124,Canada,123970408.327,75599985.0,1.639820541326827
2023,importer,156,China,90776565.0,53420124.0,1.6992952880453815
2023,importer,528,Netherlands,75497410.204,49892896.0,1.513189577209549
2023,importer,344,Hong Kong,65572536.563,37232562.0,1.761161011777809
2023,importer,380,Italy,42033261.203,27091172.0,1.5515482756892172
2023,importer,56,Belgium,38762607.279,21238012.25,1.8251523175856534
2023,importer,724,Spain,30230575.532,0.0,
2023,importer,620,Portugal,26373199.123,22530045.0,1.1705790699929806
2023,importer,372,Ireland,25233437.114,18827855.0,1.3402183686883078
2023,importer,752,Sweden,17016140.203,13320000.0,1.2774880032282283
2023,importer,484,Mexico,12706700.0,13411674.0,0.9474357936227796
2023,importer,392,Japan,9513103.563,5094084.0,1.8674807017316557
2023,importer,710,South Africa,3007443.721,2915374.0,1.0315807580776943
2023,importer,152,Chile,733622.596,329484.64,2.226576012769518
2023,importer,32,Argentina,141709.74,98760.0,1.4348900364520047
2023,importer,604,Peru,37835.71,11026.69,3.4312844561695304
