year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,484,Mexico,635478217.0,442290850.0,1.4367880705648783
2024,exporter,528,Netherlands,323771375.96,138824751.0,2.332230914356187
2024,exporter,604,Peru,313267128.01,177863610.22,1.7612772372185574
2024,exporter,156,China,126210252.0,99350641.659,1.2703516544280602
2024,exporter,724,Spain,118602666.197,49085004.21,2.4162708775491413
2024,exporter,842,United States,56421486.0,22942640.0,2.4592412207139196
2024,exporter,276,Germany,43758502.386,9229243.884,4.741287903536779
2024,exporter,620,Portugal,39581299.593,16705362.0,2.3693769457375424
2024,exporter,251,France,30080439.693,12286163.767,2.448318308583392
2024,exporter,710,South Africa,29460884.209,16148193.01,1.8244074857636345
2024,exporter,344,Hong Kong,20322725.807,9007089.0,2.256303430220352
2024,exporter,56,Belgium,12167939.411,5603325.99,2.1715565777746226
2024,exporter,826,United Kingdom,8933226.66,1580139.0,5.653443564142142
2024,exporter,380,Italy,5737797.921,1143867.0,5.0161407934663735
2024,exporter,616,Poland,3862669.0,1378418.067,2.8022478030970266
2024,exporter,124,Canada,2694623.776,310474.0,8.679064192170681
2024,exporter,752,Sweden,502572.123,62771.958,8.006315861614514
2024,exporter,392,Japan,499173.171,14713.0,33.92735478828247
2024,exporter,372,Ireland,444428.664,576590.0,0.7707880192164276
2024,exporter,504,Morocco,298477.98,204688.7,1.4582044831981442
2024,exporter,152,Chile,450.0,50.0,9.0
2024,importer,842,United States,1004764321.0,575858398.0,1.7448114406069668
2024,importer,156,China,675637576.0,292628761.0,2.308855676698163
2024,importer,528,Netherlands,308593371.246,182651019.0,1.6895244983330753
2024,importer,826,United Kingdom,284731611.161,86695640.0,3.284266788514394
2024,importer,276,Germany,237748361.107,87058861.706,2.730892139503067
2024,importer,124,Canada,180905040.374,77733570.964,2.3272446914574503
2024,importer,724,Spain,170347692.628,76256377.305,2.233881265388024
2024,importer,251,France,146172178.78,57406844.27,2.546250027131129
2024,importer,620,Portugal,91951372.857,44683936.0,2.057817217735698
2024,importer,380,Italy,53161425.854,18984276.0,2.800287240556343
2024,importer,344,Hong Kong,40724055.675,16756499.0,2.4303439325243295
2024,importer,56,Belgium,37736268.053,15113019.408,2.496937708756233
2024,importer,616,Poland,36033285.0,12645244.86,2.8495521754570436
2024,importer,392,Japan,28963459.957,5942942.0,4.873589538144575
2024,importer,752,Sweden,17092562.117,6585674.827,2.595415438205935
2024,importer,152,Chile,12036570.519,7939424.816,1.5160506961087645
2024,importer,504,Morocco,11545100.855,15750302.25,0.7330082097313403
2024,importer,372,Ireland,9423102.541,3728696.0,2.527184447592402
2024,importer,32,Argentina,3970193.53,2718736.0,1.4603085882557187
2024,importer,484,Mexico,3943552.0,1060060.0,3.720121502556459
2024,importer,710,South Africa,2058435.444,2577787.05,0.7985281189150205
2024,importer,604,Peru,45924.657,15549.65,2.9534206236153224
2023,exporter,484,Mexico,575791970.0,463707156.0,1.2417146523397624
2023,exporter,528,Netherlands,353779597.497,164862767.0,2.145903553207984
2023,exporter,604,Peru,254730168.18,0.0,
2023,exporter,724,Spain,100242585.194,42818598.279,2.341099177063979
2023,exporter,156,China,69505527.0,51991719.748,1.3368576253466535
2023,exporter,344,Hong Kong,65984571.875,26055518.0,2.532460566510326
2023,exporter,842,United States,48232307.0,23007134.0,2.0964065754561174
2023,exporter,276,Germany,43755368.571,11698358.0,3.740300012275227
2023,exporter,620,Portugal,27358387.294,12913898.0,2.1185227956733126
2023,exporter,251,France,23383177.243,9408905.129,2.4852176658608967
2023,exporter,710,South Africa,17182641.757,9015713.7,1.9058548583901904
2023,exporter,56,Belgium,13179973.076,5670893.96,2.324143806772927
2023,exporter,826,United Kingdom,12823300.203,3181668.766,4.0303693269496055
2023,exporter,380,Italy,4428948.713,1048957.0,4.222240485548979
2023,exporter,616,Poland,3295987.0,1542349.276,2.1369913101317524
2023,exporter,124,Canada,2528440.729,389790.0,6.486674180969239
2023,exporter,752,Sweden,911955.937,147994.173,6.162107051336406
2023,exporter,392,Japan,394287.845,11133.0,35.416136261564716
2023,exporter,372,Ireland,232815.515,737518.0,0.3156743496429918
2023,exporter,504,Morocco,163485.483,75779.48,2.1573845980468596
2023,exporter,152,Chile,812.81,146.0,5.567191780821918
2023,importer,842,United States,889339766.0,589336838.0,1.5090517148361258
2023,importer,156,China,741370136.0,253297571.0,2.92687424152204
2023,importer,528,Netherlands,319392306.762,225913257.0,1.4137829315700585
2023,importer,276,Germany,256713530.281,115094506.277,2.230458590813735
2023,importer,826,United Kingdom,218316873.524,81702369.119,2.672099669545936
2023,importer,124,Canada,175332114.34,80454492.838,2.1792706430086115
2023,importer,724,Spain,159412786.287,85178001.193,1.8715253240774645
2023,importer,251,France,137802388.709,57717110.95,2.3875482753871275
2023,importer,344,Hong Kong,89567898.406,34928968.0,2.564286995424543
2023,importer,620,Portugal,70949994.458,37141588.755,1.9102573916806054
2023,importer,380,Italy,45089593.466,18753145.0,2.404375024349249
2023,importer,56,Belgium,36645330.41,17741690.044,2.065492651439537
2023,importer,392,Japan,31106459.526,6867354.0,4.529613520141819
2023,importer,616,Poland,29747739.0,12999181.0,2.28843178658717
2023,importer,752,Sweden,13250599.119,5386009.54,2.4601885720016754
2023,importer,152,Chile,11601889.949,12795570.514,0.9067114230120524
2023,importer,504,Morocco,10117765.074,14222752.22,0.7113788468994363
2023,importer,372,Ireland,9947463.7,2927732.0,3.3976688098500816
2023,importer,32,Argentina,3086051.56,2294388.0,1.3450434538534894
2023,importer,484,Mexico,3066581.0,936008.0,3.276233750138888
2023,importer,710,South Africa,2271792.102,3619340.8,0.6276811794015087
2023,importer,604,Peru,4000.0,5000.0,0.8
