year,role,country_code,country,value_usd,net_kg,usd_per_kg
2023,exporter,724,Spain,315412045.222,313043859.4,1.0075650288318674
2023,exporter,528,Netherlands,158369659.525,102054424.0,1.5518157206492098
2023,exporter,842,United States,140751355.0,159130791.0,0.8845010705690516
2023,exporter,156,China,129521797.0,112346488.0,1.1528780232097686
2023,exporter,484,Mexico,117038259.0,144958703.0,0.8073903572385026
2023,exporter,504,Morocco,83851085.797,56990738.12,1.4713107526426965
2023,exporter,251,France,60177310.891,34424441.0,1.748098419114489
2023,exporter,380,Italy,43090886.803,32804652.0,1.3135602475831782
2023,exporter,276,Germany,13340238.115,6486106.0,2.0567406877100067
2023,exporter,392,Japan,8155901.794,1128517.0,7.2270969723982885
2023,exporter,710,South Africa,6472395.805,1944038.12,3.3293564248626972
2023,exporter,620,Portugal,4686193.33,3600471.663,1.3015498436378057
2023,exporter,56,Belgium,4619171.989,3380839.89,1.366279427388086
2023,exporter,124,Canada,2540327.459,1572134.0,1.6158466511124367
2023,exporter,826,United Kingdom,1616928.628,505527.0,3.1985010256623285
2023,exporter,616,Poland,1082519.0,1555385.0,0.6959813808156823
2023,exporter,344,Hong Kong,292441.216,94424.0,3.0971068372447683
2023,exporter,372,Ireland,175087.665,98426.0,1.7788761607705281
2023,exporter,752,Sweden,155511.296,68248.175,2.278614717536403
2023,exporter,604,Peru,47323.79,311602.23,0.15187243685643714
2023,exporter,152,Chile,479.0,123.0,3.894308943089431
2023,importer,842,United States,512066735.0,598232828.0,0.8559656224683143
2023,importer,276,Germany,196119150.37,146423941.181,1.3393926484164904
2023,importer,251,France,179596633.932,139825296.0,1.2844359287607017
2023,importer,528,Netherlands,174086672.024,152596025.0,1.1408335965763197
2023,importer,826,United Kingdom,136769721.506,118311257.0,1.1560161304515597
2023,importer,124,Canada,118161176.698,132977003.667,0.8885835403082049
2023,importer,724,Spain,95832601.458,102413272.9,0.9357439591992572
2023,importer,56,Belgium,47445236.088,30934000.83,1.5337568634829575
2023,importer,380,Italy,42923364.775,33374764.0,1.286102420829103
2023,importer,620,Portugal,36681021.541,43986194.0,0.8339212422197747
2023,importer,344,Hong Kong,23959010.869,23127606.0,1.0359485918689553
2023,importer,616,Poland,21622797.0,17708804.0,1.2210196126175432
2023,importer,392,Japan,19769164.323,11336395.0,1.743866927978427
2023,importer,752,Sweden,19366905.495,15401974.401,1.2574300534964251
2023,importer,372,Ireland,13271467.254,9777244.0,1.3573832517629714
2023,importer,484,Mexico,4613534.0,10283600.0,0.448630246217278
2023,importer,32,Argentina,1103640.04,1033402.5,1.0679672634815573
2023,importer,156,China,666850.0,4652874.0,0.14332002113102568
2023,importer,152,Chile,609505.382,829102.075,0.7351391347078706
2023,importer,710,South Africa,328950.823,572991.93,0.5740932913313456
2023,importer,504,Morocco,66910.121,96361.3,0.6943671473921584
2022,exporter,724,Spain,323304210.261,337582016.46,0.9577056670591582
2022,exporter,528,Netherlands,162509270.956,116548085.0,1.394353849366122
2022,exporter,156,China,125014949.0,95346517.0,1.311164297695321
2022,exporter,842,United States,124559717.0,136030894.0,0.9156722663309116
2022,exporter,484,Mexico,89217113.0,120198173.0,0.7422501588272893
2022,exporter,504,Morocco,66566870.609,45183079.04,1.473269905976731
2022,exporter,251,France,55207763.432,33507621.638,1.647618086071215
2022,exporter,380,Italy,44048374.462,38724593.0,1.1374780481747089
2022,exporter,392,Japan,10071206.691,1308196.0,7.698545700338481
2022,exporter,276,Germany,8501493.604,6238502.974,1.3627457804270335
2022,exporter,710,South Africa,6497876.372,2106609.44,3.08451877629486
2022,exporter,56,Belgium,4550549.989,3013922.6,1.5098430162075165
2022,exporter,620,Portugal,3842649.319,3477925.149,1.1048683207299237
2022,exporter,826,United Kingdom,999811.567,566660.384,1.7643929154574534
2022,exporter,616,Poland,766956.0,854728.0,0.8973100214337193
2022,exporter,124,Canada,386199.65,589740.0,0.6548642622172484
2022,exporter,344,Hong Kong,327630.485,117996.0,2.7766236567341265
2022,exporter,372,Ireland,280751.189,182390.0,1.5392904709688031
2022,exporter,752,Sweden,191610.816,97553.71,1.9641571396925857
2022,exporter,604,Peru,15058.04,115127.536,0.13079442610497632
2022,importer,842,United States,372652890.0,553490321.0,0.6732780608100282
2022,importer,276,Germany,180677444.177,141946259.726,1.2728580839379853
2022,importer,528,Netherlands,173047583.514,164774082.0,1.0502111825693559
2022,importer,251,France,172000063.036,0.0,
2022,importer,826,United Kingdom,145229014.553,0.0,
2022,importer,124,Canada,107143695.475,122482658.0,0.8747662503780739
2022,importer,724,Spain,62466929.692,0.0,
2022,importer,56,Belgium,48359559.159,34044322.6,1.420488218467299
2022,importer,620,Portugal,36647734.143,46488033.0,0.7883261944638527
2022,importer,380,Italy,31102984.391,26900685.0,1.1562153302415905
2022,importer,344,Hong Kong,28493277.089,26319326.0,1.0825990410620698
2022,importer,752,Sweden,21692064.696,17322342.211,1.2522593325875497
2022,importer,392,Japan,19152315.767,11573820.0,1.6547964083595563
2022,importer,616,Poland,18569757.0,16021398.0,1.1590597150136337
2022,importer,372,Ireland,13400741.988,10533925.0,1.2721508827906027
2022,importer,484,Mexico,7085472.0,11243229.0,0.6301990291223277
2022,importer,156,China,3172737.0,24277115.0,0.13068838698502686
2022,importer,32,Argentina,1491793.1,1422370.5,1.0488076770433583
2022,importer,152,Chile,612724.872,0.0,
2022,importer,710,South Africa,389744.072,602589.59,0.6467819532030084
2022,importer,504,Morocco,63002.038,88229.8,0.7140675599400655
