year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,724,Spain,1192571951.709,1189776517.03,1.0023495460189265
2024,exporter,710,South Africa,758229495.5,1132606890.02,0.6694551323863224
2024,exporter,842,United States,521663911.0,340023357.0,1.534200225545094
2024,exporter,528,Netherlands,274054170.238,263388190.0,1.0404952865882102
2024,exporter,156,China,173290389.0,177399312.0,0.9768379992364344
2024,exporter,380,Italy,152705888.731,115086563.0,1.3268785230035935
2024,exporter,152,Chile,118677146.41,106486936.28,1.1144761090500968
2024,exporter,620,Portugal,113643731.877,140431881.0,0.8092445324220929
2024,exporter,344,Hong Kong,63106655.908,49389081.0,1.2777450932524943
2024,exporter,504,Morocco,49491795.636,64780945.29,0.7639869318739297
2024,exporter,251,France,47499761.015,43897924.006,1.0820502812048174
2024,exporter,484,Mexico,37323122.0,54783652.0,0.681282109487699
2024,exporter,276,Germany,23769023.024,19524672.861,1.2173839322797553
2024,exporter,32,Argentina,17935792.93,61384234.0,0.2921889182489432
2024,exporter,604,Peru,13355856.023,26105488.04,0.5116110452536095
2024,exporter,56,Belgium,9836999.117,8099859.71,1.2144653696724337
2024,exporter,616,Poland,8389938.0,8920414.0,0.9405323564578953
2024,exporter,752,Sweden,2340352.804,3597436.737,0.6505612120789325
2024,exporter,372,Ireland,1403115.767,995028.303,1.4101264886331581
2024,exporter,826,United Kingdom,485818.51,0.0,
2024,exporter,392,Japan,43682.112,8953.0,4.879047470121747
2024,exporter,124,Canada,42252.968,48909.0,0.8639098734384265
2024,importer,276,Germany,500400001.813,438311722.443,1.1416532485691715
2024,importer,251,France,467796589.238,441127564.998,1.0604564900407456
2024,importer,528,Netherlands,343090337.768,436192018.0,0.7865580377676695
2024,importer,842,United States,304394479.0,233715510.0,1.3024145423639193
2024,importer,124,Canada,224995866.647,185521728.601,1.2127736645387597
2024,importer,826,United Kingdom,206613804.093,228462780.819,0.9043652683921856
2024,importer,156,China,184544263.0,162284311.0,1.1371663832617807
2024,importer,344,Hong Kong,180782614.485,126018574.0,1.4345711806340549
2024,importer,724,Spain,148461047.943,218347664.88,0.6799296343498409
2024,importer,616,Poland,142610113.0,151680600.7,0.9402000805762896
2024,importer,380,Italy,126275120.816,150247546.0,0.8404471432498472
2024,importer,392,Japan,117550108.988,75397380.0,1.559074187829869
2024,importer,56,Belgium,98396874.281,89109634.949,1.1042226167497529
2024,importer,620,Portugal,90604994.945,131189258.0,0.6906433981431619
2024,importer,752,Sweden,60954872.971,61874449.788,0.9851380202951179
2024,importer,372,Ireland,31565978.733,35706868.039,0.884031013263969
2024,importer,484,Mexico,22472613.0,26251000.0,0.8560669307835892
2024,importer,604,Peru,3869340.432,2025667.0,1.910156226072696
2024,importer,152,Chile,3348386.455,1985524.5,1.686398961584206
2024,importer,32,Argentina,2278975.86,2426084.0,0.9393639544220233
2024,importer,710,South Africa,2044591.876,5285204.69,0.38685197564221485
2024,importer,504,Morocco,22557.773,25600.0,0.8811630078125
2023,exporter,724,Spain,1290865568.248,1241137667.94,1.0400663855368573
2023,exporter,710,South Africa,791432008.48,1231812749.3,0.6424937628951687
2023,exporter,842,United States,521534116.0,350569186.0,1.4876781440796683
2023,exporter,528,Netherlands,319536799.931,268399886.0,1.1905250955695263
2023,exporter,380,Italy,144189810.935,105381378.0,1.3682665160726974
2023,exporter,620,Portugal,137526719.049,140680892.212,0.9775792354355642
2023,exporter,152,Chile,102130385.33,95235890.48,1.0723938718402373
2023,exporter,156,China,84278017.0,70546459.0,1.1946456022689955
2023,exporter,344,Hong Kong,83521185.669,71354880.0,1.1705041851237084
2023,exporter,251,France,49644022.236,42555730.057,1.166564929552514
2023,exporter,504,Morocco,32085309.39,38382882.1,0.8359275706917277
2023,exporter,484,Mexico,29687678.0,58344129.0,0.50883745303662
2023,exporter,276,Germany,21405034.229,15218322.0,1.4065305116424793
2023,exporter,32,Argentina,13602549.58,33218947.0,0.4094816605716009
2023,exporter,56,Belgium,10215275.787,7814700.49,1.3071871148576804
2023,exporter,604,Peru,9093613.01,19670920.88,0.46228710213794527
2023,exporter,616,Poland,8471447.0,9067416.633,0.9342734918751804
2023,exporter,752,Sweden,4012191.424,5627063.21,0.7130169458323892
2023,exporter,826,United Kingdom,1039235.004,877487.396,1.184330406040385
2023,exporter,372,Ireland,1024072.754,603551.0,1.6967460148355316
2023,exporter,392,Japan,202688.751,50451.0,4.017536837723732
2023,exporter,124,Canada,46917.99,63334.0,0.7408025704992579
2023,importer,276,Germany,504032060.411,424931571.173,1.1861487698352173
2023,importer,251,France,484145322.049,421233322.92,1.1493519047659677
2023,importer,528,Netherlands,449824428.814,468361710.0,0.9604210148049891
2023,importer,842,United States,255728379.0,211974317.0,1.2064120909515657
2023,importer,156,China,228622527.0,214463751.0,1.0660194365433813
2023,importer,124,Canada,222891397.858,178608271.0,1.2479343571832684
2023,importer,344,Hong Kong,216515618.275,160839037.0,1.3461633588057358
2023,importer,826,United Kingdom,197422224.752,211451464.0,0.933652673844812
2023,importer,724,Spain,196346850.084,227833596.23,0.8617993717036628
2023,importer,380,Italy,182149480.195,189284996.0,0.9623027923195772
2023,importer,616,Poland,146423972.0,155890408.0,0.9392750578983666
2023,importer,620,Portugal,137785313.09,135394650.0,1.0176569981901058
2023,importer,56,Belgium,108905870.091,92016604.11,1.1835458517987685
2023,importer,392,Japan,104206716.996,69038968.0,1.5093898419223186
2023,importer,752,Sweden,62248532.609,64598738.615,0.9636183916839781
2023,importer,372,Ireland,31082954.377,34085950.0,0.9118993126786843
2023,importer,484,Mexico,23480317.0,29710201.0,0.7903116172118795
2023,importer,32,Argentina,3332823.35,3302924.0,1.0090523881263995
2023,importer,604,Peru,2922117.74,1603733.3,1.8220721238375484
2023,importer,152,Chile,2301265.976,1452727.066,1.5841007095272222
2023,importer,710,South Africa,683042.126,2846925.82,0.2399226987937466
