year,role,country_code,country,value_usd,net_kg,usd_per_kg
2023,exporter,156,China,536175366.0,478928714.0,1.1195306322769363
2023,exporter,528,Netherlands,501598041.038,355935788.0,1.4092374466093305
2023,exporter,56,Belgium,366731852.501,318472569.3,1.151533563179628
2023,exporter,32,Argentina,222680433.93,312245313.0,0.7131586117034846
2023,exporter,710,South Africa,195680541.06,240530860.84,0.8135361108201653
2023,exporter,842,United States,154504723.0,110894867.0,1.39325405385986
2023,exporter,724,Spain,128628281.274,121921243.43,1.0550112322948115
2023,exporter,152,Chile,121626343.833,104961684.9,1.158768973162701
2023,exporter,620,Portugal,93998015.769,68613280.0,1.369968259336968
2023,exporter,380,Italy,82449795.509,45082851.0,1.828850520323127
2023,exporter,616,Poland,55867748.0,109258999.0,0.5113331488603515
2023,exporter,344,Hong Kong,14594963.429,9437961.0,1.546410652576335
2023,exporter,251,France,14511539.972,9979518.487,1.4541322801198995
2023,exporter,276,Germany,12567945.461,9856130.0,1.275139985065132
2023,exporter,392,Japan,8479630.094,1641728.0,5.165063941164432
2023,exporter,826,United Kingdom,1105613.397,1227963.221,0.9003636086915019
2023,exporter,124,Canada,231017.855,261166.0,0.8845632854200011
2023,exporter,372,Ireland,216460.246,160793.0,1.346204411883602
2023,exporter,504,Morocco,193498.532,253311.8,0.7638749241053912
2023,exporter,752,Sweden,57492.055,30912.162,1.8598522807948534
2023,exporter,484,Mexico,22115.0,9362.0,2.3622089297158726
2023,exporter,604,Peru,819.94,400.0,2.04985
2023,importer,276,Germany,277727949.567,168773486.663,1.6455662264153836
2023,importer,380,Italy,165164485.611,120389430.0,1.3719184949293306
2023,importer,826,United Kingdom,158365943.554,108444271.0,1.4603440282612992
2023,importer,842,United States,138631283.0,73224906.0,1.8932258240113002
2023,importer,251,France,134725107.873,102086629.0,1.319713553015841
2023,importer,528,Netherlands,126913806.958,90980453.0,1.3949568591178592
2023,importer,484,Mexico,96753472.0,65963666.0,1.4667691756246537
2023,importer,124,Canada,85975615.741,56146816.0,1.5312643149880485
2023,importer,724,Spain,80999822.659,61517495.57,1.3166957124714431
2023,importer,344,Hong Kong,56559158.465,82101927.0,0.6888895368436359
2023,importer,616,Poland,50652406.0,38501501.0,1.3155956179474666
2023,importer,56,Belgium,44092554.947,0.0,
2023,importer,156,China,33534994.0,17545095.0,1.9113600695807005
2023,importer,752,Sweden,27929545.924,21683000.0,1.288084947839321
2023,importer,620,Portugal,25606909.458,21030079.573,1.2176325519412718
2023,importer,504,Morocco,20922888.13,27731158.703,0.7544902235814808
2023,importer,604,Peru,17454831.16,16541793.0,1.05519584001565
2023,importer,372,Ireland,16268276.761,10872631.891,1.496259316427914
2023,importer,152,Chile,1149422.858,869966.681,1.3212262987805161
2023,importer,32,Argentina,257693.82,324496.7,0.7941338694661609
2023,importer,710,South Africa,27165.494,42343.0,0.641558085161656
2022,exporter,156,China,495271109.0,444009828.0,1.1154507800669673
2022,exporter,528,Netherlands,439443824.346,369612791.0,1.1889302400955057
2022,exporter,56,Belgium,301369438.659,332481037.15,0.906425946100006
2022,exporter,710,South Africa,230080549.183,287415291.25,0.8005160344195849
2022,exporter,32,Argentina,207741864.17,272473338.0,0.7624300626801144
2022,exporter,842,United States,149009383.0,106549691.0,1.398496622575846
2022,exporter,152,Chile,123705159.998,115638442.493,1.069758095414406
2022,exporter,620,Portugal,117313006.428,118898387.0,0.9866660884810826
2022,exporter,724,Spain,84504943.43,96590633.62,0.8748772035439103
2022,exporter,380,Italy,83484965.624,54661369.0,1.5273120148893453
2022,exporter,616,Poland,51042675.0,108117242.0,0.4721048563188469
2022,exporter,251,France,15465369.238,13715406.0,1.1275910635091662
2022,exporter,276,Germany,10920013.696,15022285.0,0.7269209508407011
2022,exporter,392,Japan,10238942.897,1758504.0,5.822530342268201
2022,exporter,344,Hong Kong,5345264.997,3007840.0,1.7771108160673441
2022,exporter,826,United Kingdom,1127333.844,1132177.0,0.9957222625084241
2022,exporter,372,Ireland,489790.82,303096.0,1.6159593660094491
2022,exporter,504,Morocco,284185.21,412472.35,0.6889800249640977
2022,exporter,752,Sweden,180240.721,56277.839,3.2026944211557233
2022,exporter,484,Mexico,85485.0,39161.0,2.1829115701846225
2022,exporter,124,Canada,64914.671,80976.0,0.8016532182375025
2022,exporter,604,Peru,17.5,5.0,3.5
2022,importer,276,Germany,250279205.338,179956963.079,1.390772555036556
2022,importer,826,United Kingdom,145058799.706,113925841.0,1.2732738984652305
2022,importer,842,United States,137049736.0,72585127.0,1.8881242158603648
2022,importer,380,Italy,135169004.126,109779132.0,1.2312814071621552
2022,importer,251,France,128211189.175,113370564.0,1.1309036900883724
2022,importer,528,Netherlands,115652060.921,98083050.0,1.1791238233415458
2022,importer,124,Canada,88080805.937,57255579.0,1.5383794466037974
2022,importer,484,Mexico,87718184.0,61218852.0,1.4328622823570751
2022,importer,724,Spain,65198036.797,68267057.01,0.9550439062789766
2022,importer,344,Hong Kong,50914095.507,77668806.0,0.6555282375140413
2022,importer,616,Poland,44434228.0,46243080.043,0.9608838329687814
2022,importer,504,Morocco,36954319.069,48115908.05,0.7680270531442251
2022,importer,56,Belgium,32157264.455,44278387.9,0.7262519251519544
2022,importer,156,China,26729397.0,12183404.0,2.193918628980866
2022,importer,752,Sweden,24270604.467,24009000.0,1.0108961000874672
2022,importer,604,Peru,18369291.003,17497661.2,1.0498140747518874
2022,importer,620,Portugal,17525962.156,16394658.0,1.0690044376650003
2022,importer,372,Ireland,14044105.208,10877915.0,1.2910659081266953
2022,importer,152,Chile,1165517.898,926109.56,1.2585097361482802
2022,importer,32,Argentina,681859.9,891444.8,0.7648930141271787
2022,importer,710,South Africa,132045.569,172124.51,0.7671514591385038
2022,importer,392,Japan,3627.428,150.0,24.182853333333334
