year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,528,Netherlands,165281440.197,139337703.0,1.186193231540497
2024,exporter,842,United States,116935575.0,119732072.0,0.9766437099660314
2024,exporter,724,Spain,57317140.819,52339843.27,1.09509576716392
2024,exporter,380,Italy,27873044.879,26746628.0,1.0421143509753827
2024,exporter,156,China,23663528.0,17699479.244,1.3369618209542393
2024,exporter,484,Mexico,18861501.0,15709750.0,1.200623880074476
2024,exporter,276,Germany,18214077.324,8879675.764,2.0512097297340013
2024,exporter,620,Portugal,14984665.942,15322054.0,0.9779802330679686
2024,exporter,251,France,13628228.559,11186432.615,1.2182819159636085
2024,exporter,604,Peru,9056142.714,766127.324,11.82067579409294
2024,exporter,710,South Africa,4838550.644,3104336.45,1.5586424738207743
2024,exporter,56,Belgium,4486388.519,2775814.46,1.6162422177885767
2024,exporter,616,Poland,3478609.0,2798451.609,1.2430477585578288
2024,exporter,826,United Kingdom,1778921.385,287624.0,6.184885075654327
2024,exporter,344,Hong Kong,1120351.559,934490.0,1.1988909019893204
2024,exporter,372,Ireland,786991.256,633385.0,1.242516409450808
2024,exporter,752,Sweden,359115.271,187640.433,1.9138480190993805
2024,exporter,124,Canada,186143.796,104908.0,1.774352728104625
2024,exporter,504,Morocco,17436.691,16833.7,1.0358204672769502
2024,exporter,392,Japan,1592.164,343.0,4.641877551020408
2024,importer,842,United States,1001008574.0,1323226387.0,0.7564907893572712
2024,importer,156,China,203595753.0,230248592.0,0.8842432052744106
2024,importer,724,Spain,173681751.735,185794557.38,0.9348053795772606
2024,importer,528,Netherlands,164869400.686,168958740.0,0.9757968169388573
2024,importer,251,France,136743764.998,143440416.241,0.9533140559788346
2024,importer,392,Japan,135728077.63,157371924.0,0.8624669139204271
2024,importer,276,Germany,134341608.271,112876548.728,1.1901640312792041
2024,importer,380,Italy,129328162.156,144062321.0,0.8977237160853462
2024,importer,124,Canada,124009394.267,133296025.113,0.9303307743938547
2024,importer,826,United Kingdom,93571610.077,112508195.0,0.8316870613469535
2024,importer,620,Portugal,63051008.65,71380531.0,0.8833082041656428
2024,importer,616,Poland,21923227.0,19656665.0,1.1153075559867354
2024,importer,56,Belgium,21718822.558,17391679.73,1.2488053422773095
2024,importer,372,Ireland,13815956.626,11007958.0,1.2550880577487669
2024,importer,152,Chile,13077000.819,24904262.424,0.5250908698423375
2024,importer,504,Morocco,10478029.195,0.0,
2024,importer,32,Argentina,8849952.94,11166682.6,0.7925319682678184
2024,importer,344,Hong Kong,8453054.668,8089353.0,1.0449605386240408
2024,importer,752,Sweden,7286491.439,7017377.117,1.0383497021056565
2024,importer,484,Mexico,379766.0,130700.0,2.9056312165263964
2024,importer,710,South Africa,177519.386,503630.35,0.3524795239206692
2024,importer,604,Peru,3758.057,600.0,6.263428333333333
2023,exporter,528,Netherlands,144239730.945,126102817.0,1.143826397986018
2023,exporter,842,United States,113219748.0,119336904.0,0.9487404499784912
2023,exporter,724,Spain,53812303.573,36922917.44,1.457422850197181
2023,exporter,380,Italy,26608954.607,26046048.0,1.0216119776405235
2023,exporter,484,Mexico,21145874.0,27282295.0,0.7750768034727283
2023,exporter,620,Portugal,20323364.954,21137500.884,0.961483813319849
2023,exporter,251,France,18506342.123,0.0,
2023,exporter,276,Germany,13126092.349,7770852.323,1.6891444854960989
2023,exporter,156,China,12031096.0,6738087.56,1.7855357166062118
2023,exporter,616,Poland,4310035.0,3805857.838,1.1324739870643588
2023,exporter,56,Belgium,4074115.83,0.0,
2023,exporter,710,South Africa,3953915.152,3201435.81,1.2350443321866884
2023,exporter,604,Peru,2603841.14,247171.1,10.534569535030592
2023,exporter,124,Canada,1285392.908,431877.0,2.976293963327522
2023,exporter,826,United Kingdom,1273964.483,323913.0,3.9330452405429854
2023,exporter,344,Hong Kong,1105814.337,931827.0,1.1867163507818512
2023,exporter,372,Ireland,695307.624,556140.0,1.2502384723271118
2023,exporter,752,Sweden,178225.37,47249.321,3.7720197079657503
2023,exporter,504,Morocco,170118.34,50668.56,3.3574733523115716
2023,exporter,392,Japan,9203.419,1002.0,9.185048902195609
2023,exporter,152,Chile,501.11,62.0,8.08241935483871
2023,importer,842,United States,932386533.0,1275085126.0,0.7312347340486505
2023,importer,156,China,186703346.0,213735023.0,0.8735271523563081
2023,importer,724,Spain,162011228.386,180812116.22,0.8960197567118547
2023,importer,528,Netherlands,160056728.353,168926007.0,0.9474960735501194
2023,importer,276,Germany,149645478.518,134018585.536,1.116602431815715
2023,importer,392,Japan,136812508.118,164180044.0,0.8333077808043468
2023,importer,251,France,133748635.933,142724482.437,0.9371106740011333
2023,importer,380,Italy,122073079.799,146016739.0,0.8360211345289665
2023,importer,124,Canada,116090570.654,131534851.882,0.8825841135864503
2023,importer,826,United Kingdom,83886202.337,110275837.0,0.7606943154464563
2023,importer,620,Portugal,60772553.572,68506797.691,0.8871025302644371
2023,importer,56,Belgium,28282944.427,24936629.34,1.1341927588277656
2023,importer,616,Poland,22639219.0,21263848.995,1.0646811405274466
2023,importer,152,Chile,13848735.658,0.0,
2023,importer,372,Ireland,11372397.332,10096215.0,1.1264020558199286
2023,importer,344,Hong Kong,10096499.402,9718334.0,1.0389125751389077
2023,importer,504,Morocco,7266139.879,11467996.902,0.6336014860391875
2023,importer,32,Argentina,7097565.82,9288161.0,0.7641518940078666
2023,importer,752,Sweden,6865399.575,6205403.622,1.1063582634109597
2023,importer,484,Mexico,452895.0,72678.0,6.231528110294724
2023,importer,710,South Africa,171649.815,548505.72,0.3129407930331155
2023,importer,604,Peru,61054.4,1343.24,45.45308358893422
