year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,152,Chile,313262757.085,169008026.12,1.8535377536601454
2024,exporter,344,Hong Kong,200324137.436,88120269.0,2.273303743954753
2024,exporter,724,Spain,133072591.376,77105538.11,1.7258499796234676
2024,exporter,710,South Africa,102961616.507,68986519.43,1.4924889291084502
2024,exporter,380,Italy,73095205.815,42572312.0,1.716965848953658
2024,exporter,156,China,68128129.0,67210700.0,1.0136500438174278
2024,exporter,842,United States,60381697.0,23535405.0,2.565568640097759
2024,exporter,528,Netherlands,58354547.674,24945019.0,2.3393266476966805
2024,exporter,251,France,18979354.114,7880791.921,2.4083054475052927
2024,exporter,276,Germany,5875240.22,3564102.0,1.648448955725734
2024,exporter,620,Portugal,4668960.052,2964335.0,1.5750446734259118
2024,exporter,616,Poland,4325728.0,2985842.0,1.4487464507499057
2024,exporter,56,Belgium,2061212.637,969336.07,2.126416937110367
2024,exporter,826,United Kingdom,1313630.31,430426.0,3.051930668686371
2024,exporter,32,Argentina,1202160.46,1855163.0,0.648007997140952
2024,exporter,504,Morocco,435926.827,529106.83,0.8238918915486312
2024,exporter,392,Japan,177787.252,18457.0,9.63251080890719
2024,exporter,124,Canada,119954.86,36025.0,3.3297671061762664
2024,exporter,372,Ireland,62835.433,25766.0,2.4386956842350385
2024,exporter,752,Sweden,54695.29,34000.0,1.608685
2024,exporter,484,Mexico,17756.0,6703.0,2.6489631508279876
2024,exporter,604,Peru,15491.136,4449.884,3.481244904361552
2024,importer,156,China,317825198.0,109020810.0,2.9152709285502465
2024,importer,344,Hong Kong,198382038.076,86782407.0,2.2859706815460883
2024,importer,276,Germany,82846293.721,44526230.527,1.8606177244391555
2024,importer,842,United States,77970701.0,29606494.0,2.6335675206932643
2024,importer,826,United Kingdom,67343152.126,33899145.0,1.9865737653855282
2024,importer,528,Netherlands,51507358.012,27411309.0,1.8790550284191099
2024,importer,124,Canada,40800003.393,15222877.0,2.68017690696706
2024,importer,616,Poland,34744133.0,29660691.0,1.1713864993907257
2024,importer,380,Italy,23221419.613,13059928.0,1.7780664344397612
2024,importer,56,Belgium,19081361.693,9557851.24,1.996407059898957
2024,importer,251,France,13948169.4,9264578.509,1.505537395624654
2024,importer,620,Portugal,10853956.314,9149003.0,1.1863540009769369
2024,importer,484,Mexico,10676001.0,5329878.0,2.0030479121660947
2024,importer,724,Spain,9433296.471,5269118.71,1.7902987179045737
2024,importer,752,Sweden,6827259.182,3425927.126,1.9928209010012665
2024,importer,372,Ireland,4475803.394,2301151.556,1.9450276459757005
2024,importer,32,Argentina,2576849.04,1406960.1,1.8315011491797102
2024,importer,604,Peru,1462349.92,1107748.0,1.3201106388817672
2024,importer,392,Japan,1170663.422,208295.0,5.620218545812429
2024,importer,710,South Africa,679496.852,361222.23,1.8811047481767664
2024,importer,504,Morocco,624828.904,622429.06,1.003855610469087
2024,importer,152,Chile,216523.79,34980.795,6.189790426432562
2023,exporter,152,Chile,293988581.63,137286937.79,2.141416993943718
2023,exporter,724,Spain,143859952.794,88689585.69,1.6220613917043094
2023,exporter,344,Hong Kong,136940890.534,67405093.0,2.0316104383091647
2023,exporter,710,South Africa,91389691.753,77860885.81,1.1737561267413996
2023,exporter,156,China,64963035.0,64340908.0,1.0096692294115588
2023,exporter,842,United States,57462827.0,22388026.0,2.5666768030374807
2023,exporter,380,Italy,56053062.575,33510268.0,1.6727130494748654
2023,exporter,528,Netherlands,47531135.854,24111386.0,1.9713149569253299
2023,exporter,251,France,16277696.025,7777583.0,2.0928990439574866
2023,exporter,620,Portugal,8614155.69,6437397.0,1.33814268251593
2023,exporter,276,Germany,8195761.402,5137984.303,1.5951316544923277
2023,exporter,616,Poland,8116012.0,6861277.0,1.182871934772492
2023,exporter,56,Belgium,2232857.261,1132117.26,1.9722844442809748
2023,exporter,826,United Kingdom,1391061.368,543102.485,2.5613238871481134
2023,exporter,32,Argentina,629767.68,1196478.0,0.5263512408920181
2023,exporter,504,Morocco,408159.227,436345.12,0.9354045875429982
2023,exporter,392,Japan,239965.088,31554.0,7.6049023261710085
2023,exporter,484,Mexico,134556.0,46749.0,2.8782647757171276
2023,exporter,372,Ireland,58070.613,23832.0,2.436665533736153
2023,exporter,752,Sweden,39207.696,21000.0,1.867033142857143
2023,exporter,604,Peru,4280.84,1491.79,2.869599608523988
2023,exporter,124,Canada,3707.658,3079.0,1.2041760311789542
2023,importer,156,China,281448967.0,89609833.0,3.1408268219850384
2023,importer,344,Hong Kong,144074418.003,67545333.0,2.133003297252232
2023,importer,276,Germany,78220370.316,44223147.849,1.768765321344459
2023,importer,826,United Kingdom,61821273.314,34950394.0,1.7688290814117862
2023,importer,842,United States,59390905.0,23887873.0,2.486236635635161
2023,importer,528,Netherlands,49463774.842,29539792.937,1.6744794030036771
2023,importer,124,Canada,39588303.382,15626134.292,2.5334675001652673
2023,importer,616,Poland,26598044.0,25627866.0,1.037856370873798
2023,importer,380,Italy,23728310.114,15056933.0,1.5759059374176667
2023,importer,56,Belgium,18345690.288,9957505.76,1.8423981597576298
2023,importer,251,France,17142158.724,12091990.845,1.4176456915767701
2023,importer,484,Mexico,16761308.0,8710670.0,1.924227183442835
2023,importer,724,Spain,9714598.22,5957647.1,1.6306098795277755
2023,importer,620,Portugal,8643067.732,8020631.0,1.0776044593000227
2023,importer,752,Sweden,7385184.299,4082458.803,1.8090039986620288
2023,importer,372,Ireland,5013204.642,2286766.0,2.192268313417289
2023,importer,32,Argentina,1750441.8,955645.0,1.8316862433225727
2023,importer,604,Peru,1673149.43,1349696.0,1.239649098760017
2023,importer,392,Japan,1444630.689,199907.0,7.226513773904866
2023,importer,504,Morocco,755297.953,768595.1,0.9826994122132707
2023,importer,710,South Africa,448992.92,256293.6,1.7518694185106456
2023,importer,152,Chile,119316.4,16825.0,7.09161367013373
