year,role,country_code,country,value_usd,net_kg,usd_per_kg
2023,exporter,484,Mexico,597376595.0,118105718.0,5.057981993725316
2023,exporter,724,Spain,519872598.78,59677928.61,8.711304344649907
2023,exporter,842,United States,393537958.0,44338932.0,8.875675174133649
2023,exporter,504,Morocco,382643625.19,53803616.353,7.111856992651098
2023,exporter,620,Portugal,256677885.575,33072586.557,7.761046603736915
2023,exporter,528,Netherlands,213892500.407,21810228.0,9.806981403724896
2023,exporter,251,France,61536641.342,6419156.367,9.586406347468246
2023,exporter,616,Poland,45900979.0,8634865.941,5.315772047143587
2023,exporter,56,Belgium,37871476.399,3190976.07,11.868304734419397
2023,exporter,276,Germany,31606121.045,3672832.0,8.605381636023646
2023,exporter,710,South Africa,23700991.642,1796870.64,13.190149092758286
2023,exporter,380,Italy,11910935.062,1038023.0,11.47463501483108
2023,exporter,826,United Kingdom,4388999.643,0.0,
2023,exporter,372,Ireland,1660531.251,389765.0,4.260339566148833
2023,exporter,124,Canada,1244704.97,345320.0,3.604497191011236
2023,exporter,152,Chile,585715.35,130464.0,4.489478706769684
2023,exporter,156,China,442993.0,113260.0,3.911292601094826
2023,exporter,344,Hong Kong,272324.31,41388.0,6.5797890692954475
2023,exporter,752,Sweden,213380.347,32780.943,6.509280315700497
2023,exporter,604,Peru,18328.84,5684.62,3.224285880146782
2023,importer,842,United States,2029889593.0,245325165.0,8.274281984076113
2023,importer,124,Canada,367280813.863,42345180.0,8.673497523519796
2023,importer,276,Germany,358744891.818,40196794.688,8.924713888321463
2023,importer,724,Spain,287898973.034,44610914.46,6.453554618167313
2023,importer,826,United Kingdom,257352391.276,28911615.0,8.901349553665542
2023,importer,251,France,184535175.968,25703616.483,7.179346769745374
2023,importer,528,Netherlands,180268870.772,21291304.511,8.466783736941313
2023,importer,56,Belgium,52577754.682,5399737.49,9.737094586425902
2023,importer,380,Italy,50329675.297,6261285.0,8.038234211827124
2023,importer,616,Poland,41320272.0,4946620.0,8.353233521070953
2023,importer,372,Ireland,27895256.627,2736906.0,10.192259663649391
2023,importer,752,Sweden,20094792.607,1925686.426,10.435132291367152
2023,importer,392,Japan,9300599.256,423336.0,21.96978111004025
2023,importer,620,Portugal,6833425.213,1080383.0,6.325002534286453
2023,importer,344,Hong Kong,3998796.725,239788.0,16.676383826546783
2023,importer,484,Mexico,284479.0,61049.0,4.659847008141002
2023,importer,710,South Africa,50606.485,29566.01,1.7116440466603375
2023,importer,152,Chile,526.81,3.6,146.33611111111108
2022,exporter,484,Mexico,573184758.0,111179884.0,5.155471811789262
2022,exporter,724,Spain,524110931.905,70821013.265,7.400500328114021
2022,exporter,842,United States,402567111.0,49805409.0,8.08279901887765
2022,exporter,504,Morocco,333286259.085,56323021.75,5.917407282662351
2022,exporter,620,Portugal,219430613.787,30520476.442,7.1896195396555465
2022,exporter,528,Netherlands,199711555.134,23944263.0,8.34068499556658
2022,exporter,251,France,60252149.448,7352920.117,8.194315794169535
2022,exporter,616,Poland,53176766.0,11670273.097,4.556599966256985
2022,exporter,56,Belgium,35008053.72,3584168.08,9.767414066139443
2022,exporter,276,Germany,34917364.897,4691295.276,7.443011544302547
2022,exporter,710,South Africa,25462852.372,2060424.43,12.358061766914695
2022,exporter,380,Italy,14054620.951,1606922.0,8.746299416524261
2022,exporter,152,Chile,1456704.55,297156.0,4.902154255677153
2022,exporter,826,United Kingdom,1277466.472,335260.757,3.810366842308359
2022,exporter,372,Ireland,805643.279,149786.0,5.37862870361716
2022,exporter,124,Canada,604412.517,151458.0,3.9906278770352177
2022,exporter,156,China,123015.0,36179.0,3.4001768982006135
2022,exporter,752,Sweden,71186.681,5207.957,13.668830407009887
2022,exporter,604,Peru,29979.43,10613.335,2.8246945941120303
2022,exporter,344,Hong Kong,26902.538,3358.0,8.01147647409172
2022,importer,842,United States,1912084831.0,490839172.0,3.8955424507154044
2022,importer,124,Canada,372721982.53,46262154.095,8.056736436539682
2022,importer,276,Germany,349383556.237,46506317.725,7.512604164943054
2022,importer,528,Netherlands,240371818.289,30449127.0,7.894210506889081
2022,importer,724,Spain,239980221.043,44519770.6,5.390419083673356
2022,importer,826,United Kingdom,235757698.454,30357381.0,7.7660750264984975
2022,importer,251,France,181738654.666,28887891.891,6.29117054826076
2022,importer,380,Italy,49421080.172,7779241.0,6.352943709032796
2022,importer,56,Belgium,48250096.345,5826280.8,8.281457417054119
2022,importer,616,Poland,37586797.0,5368410.0,7.001476601079276
2022,importer,752,Sweden,22831249.329,2536010.358,9.002821797228638
2022,importer,372,Ireland,16205542.279,1970712.0,8.223191556655665
2022,importer,392,Japan,9909181.592,466862.0,21.22507634375897
2022,importer,344,Hong Kong,3513812.309,308584.0,11.386890794726881
2022,importer,620,Portugal,3289146.833,595619.0,5.5222328921676445
2022,importer,484,Mexico,1199545.0,269506.0,4.4509027628327384
2022,importer,710,South Africa,387663.96,315900.35,1.2271716698003028
2022,importer,504,Morocco,17050.841,1728.5,9.86453051778999
2022,importer,152,Chile,69.69,1.7,40.99411764705882
