year,role,country_code,country,value_usd,net_kg,usd_per_kg
2024,exporter,724,Spain,561645365.15,764251309.02,0.7348961768481603
2024,exporter,484,Mexico,292147226.0,538465290.0,0.5425553539393412
2024,exporter,380,Italy,181622804.001,290632742.0,0.6249220330481553
2024,exporter,842,United States,165264841.0,244893184.0,0.6748445926530973
2024,exporter,528,Netherlands,135132902.537,140715015.0,0.9603303708349816
2024,exporter,504,Morocco,94035204.795,113683088.85,0.8271696850098387
2024,exporter,156,China,72290944.0,77095904.0,0.9376755475881053
2024,exporter,251,France,52540024.737,51659567.0,1.017043459481571
2024,exporter,276,Germany,27494502.623,28073787.128,0.9793656444583411
2024,exporter,620,Portugal,5562439.054,6025939.0,0.9230825360163785
2024,exporter,710,South Africa,3980119.572,3105591.21,1.2815980284797368
2024,exporter,56,Belgium,3440416.208,3508682.6,0.9805435829390781
2024,exporter,616,Poland,2640794.0,3343294.0,0.7898778868983702
2024,exporter,604,Peru,2280457.202,17555197.0,0.1299021140007714
2024,exporter,124,Canada,716926.522,1394943.0,0.5139468221999035
2024,exporter,826,United Kingdom,563610.959,290051.0,1.943144340133287
2024,exporter,392,Japan,318981.157,108422.0,2.942033507959639
2024,exporter,372,Ireland,237472.108,196846.0,1.2063852351584488
2024,exporter,752,Sweden,198152.142,125419.262,1.5799179395585983
2024,exporter,344,Hong Kong,172505.347,188589.0,0.9147158476899502
2024,importer,842,United States,491690507.0,808447314.0,0.6081911566595916
2024,importer,276,Germany,374951884.711,482324087.209,0.7773857757772035
2024,importer,251,France,169767214.481,201279460.565,0.8434403292042627
2024,importer,826,United Kingdom,167951843.581,193144767.0,0.8695645561083205
2024,importer,124,Canada,157837893.15,246161640.0,0.6411961390491224
2024,importer,528,Netherlands,142556103.691,186958381.0,0.7625018088437555
2024,importer,616,Poland,131823078.0,204672146.0,0.6440694573066137
2024,importer,724,Spain,60173963.018,78675166.0,0.76484062350755
2024,importer,752,Sweden,43343651.881,48756512.717,0.8889817885988246
2024,importer,156,China,36510637.0,216191365.0,0.16888110679166118
2024,importer,56,Belgium,28441252.698,27072365.05,1.0505640214835976
2024,importer,620,Portugal,26390805.226,51904444.0,0.5084498203275234
2024,importer,380,Italy,22918599.867,27071699.0,0.8465888996106229
2024,importer,372,Ireland,10931427.854,10315127.0,1.0597472870668485
