origin,reporter_code,year,dest,value_usd,net_kg,fob_usd_kg
Portugal,620,2024,United Kingdom,1303220.132,172889.0,7.5379
Poland,616,2024,United Kingdom,36560948.0,5473543.0,6.6796
Peru,604,2024,United Kingdom,107713454.447,16196544.2,6.6504
Netherlands,528,2024,United Kingdom,18720959.592,2968600.14,6.3063
Morocco,504,2024,United Kingdom,86186503.307,14722607.2,5.854
Spain,724,2024,United Kingdom,37304.35,6600.0,5.6522
Chile,152,2024,United Kingdom,39022373.81,6922986.24,5.6366
South Africa,710,2024,United Kingdom,48037217.151,9453372.4,5.0815
Argentina,32,2024,United Kingdom,1307240.11,346002.0,3.7781
Netherlands,528,2024,World,703222545.896,90957868.68,7.7313
Portugal,620,2024,World,689974.342,91432.0,7.5463
Poland,616,2024,World,205371320.0,30175277.0,6.8059
Peru,604,2024,World,1225738589.729,180374972.17,6.7955
Spain,724,2024,World,185553087.853,27809137.0,6.6724
Morocco,504,2024,World,426822958.471,68469578.77,6.2338
South Africa,710,2024,World,154406989.841,26340117.08,5.862
Chile,152,2024,World,467692119.713,89514708.868,5.2248
Argentina,32,2024,World,18518611.18,5121181.9,3.6161
Portugal,620,2025,United Kingdom,344030.095,41055.0,8.3797
Poland,616,2025,United Kingdom,33696544.0,4614190.0,7.3028
Spain,724,2025,United Kingdom,117656.277,17640.0,6.6699
Netherlands,528,2025,United Kingdom,25904554.77,4126187.141,6.2781
South Africa,710,2025,United Kingdom,54618083.136,10266227.35,5.3202
Chile,152,2025,United Kingdom,35695329.575,6726753.07,5.3065
Argentina,32,2025,United Kingdom,319286.45,71137.5,4.4883
Portugal,620,2025,World,4115130.499,462128.0,8.9047
Netherlands,528,2025,World,951860005.466,118353756.852,8.0425
Poland,616,2025,World,197088962.0,26257077.332,7.5061
Spain,724,2025,World,3351298.496,493441.4,6.7917
South Africa,710,2025,World,176472848.382,29480514.93,5.9861
Chile,152,2025,World,497401240.083,102085507.466,4.8724
Argentina,32,2025,World,16128745.91,3725474.51,4.3293
