year,partner_code,destination,value_usd,net_kg,cif_usd_kg
2023,842,United States,957304001.56,112766548.0,8.489255178406276
2023,528,Netherlands,356183633.04,45591416.0,7.81251525594204
2023,156,China,129313272.77,16537508.5,7.81939267151397
2023,344,Hong Kong,82005334.36,9522318.0,8.611908818840119
2023,826,United Kingdom,81605651.68,12890825.4,6.330521836095927
2023,124,Canada,15724417.43,1730774.86,9.08518941048173
2023,490,"Other Asia, nes",10417018.2,1289112.2,8.080769230172518
2023,724,Spain,10157321.14,1453675.1,6.987339289226321
2023,764,Thailand,5551160.54,746895.2,7.432315189600898
2023,76,Brazil,4463428.0,721181.7,6.189047780885178
2023,643,Russia,2763694.93,249109.7,11.094288700921723
2023,702,Singapore,2297480.91,362428.0,6.339137456267176
2023,170,Colombia,2227811.79,380909.9,5.848658147241644
2023,682,Saudi Arabia,2183958.6,309903.3,7.047226021794541
2023,276,Germany,1816046.04,221567.0,8.196374189297142
2023,699,India,1577737.98,257852.0,6.118773482462808
2023,152,Chile,1371729.91,199745.1,6.867402053917718
2023,784,United Arab Emirates,1298317.02,149671.08,8.674468173811535
2023,188,Costa Rica,1213919.75,155534.44,7.804829271253364
2023,376,Israel,1066767.65,185220.0,5.759462531044163
2023,591,M49-591,836155.02,112772.1,7.414555727879502
2023,372,Ireland,751176.0,198000.0,3.7938181818181818
2023,458,Malaysia,700578.37,111540.0,6.280960821230052
2023,616,Poland,685172.76,84005.2,8.156313656773628
2023,56,Belgium,543755.93,79069.5,6.876936492579314
2023,222,M49-222,539694.23,70778.3,7.625136941689755
2023,858,M49-858,293881.48,46230.55,6.356867482649459
2023,320,M49-320,272456.27,32363.75,8.41856305279827
2023,414,M49-414,193917.95,31824.0,6.093449912016089
2023,380,Italy,181647.74,23040.0,7.884016493055555
2023,251,M49-251,172397.62,22720.33,7.587813205177917
2023,40,M49-40,74853.8,12297.6,6.08686247723133
2023,484,Mexico,39748.4,18696.0,2.1260376551133935
2023,620,M49-620,32044.56,4327.2,7.405379922351637
2023,804,M49-804,22299.79,1800.0,12.388772222222222
2023,48,M49-48,17512.5,1440.0,12.161458333333334
2023,410,South Korea,16110.8,1690.0,9.533017751479289
2023,116,M49-116,14446.6,2250.0,6.420711111111111
2023,757,M49-757,13514.0,1787.04,7.562225803563435
2023,462,M49-462,13218.83,1482.0,8.919588394062078
2023,50,M49-50,7409.2,1440.0,5.145277777777777
2023,634,Qatar,7243.09,2113.5,3.427059380175065
2023,899,M49-899,1295.97,522.73,2.4792340213877146
2023,392,Japan,12.0,12.0,1.0
2024,842,United States,1225738589.729,180374972.17,6.795502585434995
2024,528,Netherlands,461876318.694,72181968.0,6.398777028273876
2024,344,Hong Kong,194160188.755,25921866.7,7.490208595008322
2024,826,United Kingdom,107713454.447,16196544.2,6.6503973388965285
2024,156,China,104341267.027,14511091.0,7.19044950010995
2024,724,Spain,21646889.653,3298829.97,6.561990114634493
2024,490,"Other Asia, nes",16767734.942,2671706.0,6.276040455798654
2024,124,Canada,13711091.861,1862281.5,7.362523797288433
2024,764,Thailand,8709793.294,1039150.8,8.381645179891118
2024,76,Brazil,6839634.909,1036010.92,6.601894610338663
2024,682,Saudi Arabia,6252279.48,899538.52,6.950541128577796
2024,702,Singapore,5789485.06,746511.0,7.755391494566054
2024,170,Colombia,5371147.7,905794.9,5.929761472492283
2024,699,India,4937509.516,637126.0,7.749659433141953
2024,643,Russia,4298366.86,489932.3,8.773389425436944
2024,376,Israel,4079104.67,540012.0,7.553729676377562
2024,218,Ecuador,2690226.544,280148.4,9.602862425771484
2024,188,Costa Rica,2681041.112,289620.2,9.25709295138944
2024,152,Chile,2353732.95,347247.6,6.778255486862977
2024,276,Germany,1843142.728,195637.1,9.421233130116935
2024,591,M49-591,1540309.224,167151.66,9.215039946357697
2024,784,United Arab Emirates,1485891.441,231068.42,6.4305258200146955
2024,458,Malaysia,1264211.5,197802.68,6.391275891711882
2024,372,Ireland,1092695.48,96600.0,11.31154741200828
2024,222,M49-222,972424.21,107947.4,9.00831525354015
2024,56,Belgium,755678.038,118542.9,6.374722045774146
2024,320,M49-320,594950.9,64944.36,9.160932527474287
2024,616,Poland,592706.59,70439.6,8.414394601900067
2024,858,M49-858,350593.92,44529.5,7.87329568039165
2024,380,Italy,338421.38,38548.0,8.779220193006122
2024,251,M49-251,314983.11,39885.0,7.897282437006393
2024,484,Mexico,244352.68,19256.0,12.68969048608226
2024,757,M49-757,238427.2,23776.0,10.02806191117093
2024,620,M49-620,233844.0,24600.0,9.505853658536585
2024,208,M49-208,68918.03,5760.0,11.964935763888889
2024,40,M49-40,18628.05,3888.0,4.79116512345679
2024,422,M49-422,8415.0,1147.5,7.333333333333333
2024,116,M49-116,8384.34,1102.5,7.6048435374149665
2024,392,Japan,4020.6,600.0,6.701
2024,462,M49-462,2504.0,382.5,6.54640522875817
2024,533,M49-533,48.0,45.0,1.0666666666666667
2024,752,Sweden,30.0,10.2,2.9411764705882355
2024,410,South Korea,0.5,0.5,1.0
