player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Chile,2024,United States,39871457.332,5.278261760025902,44.7
Chile,2024,Netherlands,19822357.15,4.108797392796447,22.2
Chile,2024,Germany,7424698.86,4.252254375876465,8.3
Chile,2024,United Kingdom,6922986.24,5.636638938343463,7.8
Chile,2024,China,4825875.68,5.682140565834055,5.4
Chile,2024,South Korea,4809217.586,8.6880206754696,5.4
Chile,2024,Canada,1159848.47,5.475134626853454,1.3
Chile,2024,Belgium,963865.33,4.529170574067646,1.1
Chile,2024,Spain,705247.28,4.901222220949225,0.8
Chile,2024,Argentina,410789.0,6.046549323375261,0.5
Chile,2024,"Other Asia, nes",406298.18,9.874407854841978,0.5
Chile,2024,Brazil,367376.4,6.399725921425546,0.4
Chile,2024,Ireland,355813.8,5.853638672811454,0.4
Chile,2024,Japan,303892.11,9.987137507452893,0.3
Chile,2024,Israel,264787.4,7.889757669738061,0.3
Chile,2024,Singapore,225115.5,7.0692484524610695,0.3
Chile,2024,M49-858,114867.0,6.794490584763248,0.1
Chile,2024,Italy,95917.5,5.5088680376365105,0.1
Chile,2024,Hong Kong,80550.0,5.934286157666046,0.1
Chile,2024,M49-251,80181.0,4.041042142153378,0.1
Chile,2024,M49-620,68889.6,2.9999999999999996,0.1
Morocco,2024,Spain,20594986.68,5.0401707219263905,30.2
Morocco,2024,Netherlands,14781349.5,6.803072377999046,21.6
Morocco,2024,United Kingdom,14722607.2,5.854024503689809,21.6
Morocco,2024,Germany,4269656.3,6.551302987783818,6.3
Morocco,2024,M49-251,3919505.5,7.091066133725288,5.7
Morocco,2024,Russia,1656078.6,8.163471119667872,2.4
Morocco,2024,M49-579,1289053.0,5.956813805949019,1.9
Morocco,2024,Poland,1102100.0,7.774195237274295,1.6
Morocco,2024,United Arab Emirates,968355.1,7.071836749762562,1.4
Morocco,2024,Canada,918872.2,5.578691593890859,1.3
Morocco,2024,Hong Kong,857326.2,14.695821511112108,1.3
Morocco,2024,Saudi Arabia,506579.66,6.283124381661909,0.7
Morocco,2024,Belgium,476120.2,7.6194448733744125,0.7
Morocco,2024,M49-440,456824.0,7.732108464091204,0.7
Morocco,2024,United States,356574.9,5.441440914657762,0.5
Morocco,2024,Singapore,350702.3,11.192377794499778,0.5
Morocco,2024,Malaysia,242467.7,12.49813658891473,0.4
Morocco,2024,M49-757,212210.0,2.9381178596673108,0.3
Morocco,2024,Qatar,145126.93,9.303584365768643,0.2
Morocco,2024,M49-414,121294.7,6.204324080112322,0.2
Morocco,2024,Italy,105795.0,5.784216068812325,0.2
Morocco,2024,M49-428,82358.0,10.046861847057967,0.1
Morocco,2024,M49-48,63703.8,8.176235232435113,0.1
Morocco,2024,M49-620,50446.4,6.819230767705921,0.1
Morocco,2024,M49-40,50370.6,5.101318884428615,0.1
Netherlands,2024,Germany,27643838.0,7.26306928690582,30.5
Netherlands,2024,Poland,11178740.0,6.799404765385007,12.3
Netherlands,2024,Belgium,9784730.0,7.154003170859083,10.8
Netherlands,2024,Spain,4232843.0,8.142732630763769,4.7
Netherlands,2024,M49-757,3318012.0,11.866945158727574,3.7
Netherlands,2024,United Kingdom,2968600.14,6.30632577953055,3.3
Netherlands,2024,M49-208,2652515.0,8.917375932275595,2.9
Netherlands,2024,M49-579,2569770.0,10.142014042501858,2.8
Netherlands,2024,Ireland,2482819.0,6.949804156485029,2.7
Netherlands,2024,Sweden,2400527.0,4.471948520887288,2.6
Netherlands,2024,M49-246,2355577.0,7.3992950975493486,2.6
Netherlands,2024,M49-251,2337926.0,7.896225100794465,2.6
Netherlands,2024,Italy,2316010.0,7.392565399544907,2.6
Netherlands,2024,M49-40,2176710.0,10.28706430714243,2.4
Netherlands,2024,Russia,1826410.0,10.699683549148329,2.0
Netherlands,2024,M49-642,1594973.0,7.438846371067096,1.8
Netherlands,2024,M49-440,1157433.0,7.24953067520971,1.3
Netherlands,2024,M49-203,1082618.0,8.425669896491653,1.2
Netherlands,2024,M49-620,915122.0,8.891409837158324,1.0
Netherlands,2024,M49-428,585033.0,7.768648182239293,0.6
Netherlands,2024,M49-100,530338.0,8.228189975072501,0.6
Netherlands,2024,M49-352,470112.0,9.347952853788033,0.5
Netherlands,2024,M49-191,436131.0,7.046570262146006,0.5
Netherlands,2024,M49-300,413671.0,9.622463837203961,0.5
Netherlands,2024,M49-703,411536.0,7.680733610182341,0.5
Netherlands,2024,M49-348,344509.0,8.90441244786058,0.4
Netherlands,2024,M49-792,322288.0,9.482684269969717,0.4
Netherlands,2024,United Arab Emirates,299602.0,9.814426529195398,0.3
Netherlands,2024,M49-233,239230.0,8.68850679680642,0.3
Netherlands,2024,M49-688,217280.0,8.66572387242268,0.2
Netherlands,2024,India,209963.0,11.678360530188653,0.2
Netherlands,2024,M49-568,169924.0,7.362988559591347,0.2
Netherlands,2024,Qatar,136664.0,10.072805340104196,0.2
Netherlands,2024,M49-196,124780.0,9.861945007212693,0.1
Netherlands,2024,M49-268,121059.0,11.499578230449616,0.1
Netherlands,2024,M49-470,115766.0,9.287934350327383,0.1
Netherlands,2024,M49-442,90890.14,10.372223158639649,0.1
Netherlands,2024,Singapore,89150.0,9.86153619742008,0.1
Netherlands,2024,M49-414,87380.0,10.44728781185626,0.1
Netherlands,2024,Saudi Arabia,86745.0,9.680333183468788,0.1
Netherlands,2024,M49-804,84470.0,10.465518349709956,0.1
Netherlands,2024,M49-498,81517.0,8.549341069960867,0.1
Peru,2024,United States,180374972.17,6.795502585434995,55.4
Peru,2024,Netherlands,72181968.0,6.398777028273876,22.2
Peru,2024,Hong Kong,25921866.7,7.490208595008322,8.0
Peru,2024,United Kingdom,16196544.2,6.6503973388965285,5.0
Peru,2024,China,14511091.0,7.19044950010995,4.5
Peru,2024,Spain,3298829.97,6.561990114634493,1.0
Peru,2024,"Other Asia, nes",2671706.0,6.276040455798654,0.8
Peru,2024,Canada,1862281.5,7.362523797288433,0.6
Peru,2024,Thailand,1039150.8,8.381645179891118,0.3
Peru,2024,Brazil,1036010.92,6.601894610338663,0.3
Peru,2024,Colombia,905794.9,5.929761472492283,0.3
Peru,2024,Saudi Arabia,899538.52,6.950541128577796,0.3
Peru,2024,Singapore,746511.0,7.755391494566054,0.2
Peru,2024,India,637126.0,7.749659433141953,0.2
Peru,2024,Israel,540012.0,7.553729676377562,0.2
Peru,2024,Russia,489932.3,8.773389425436944,0.2
Peru,2024,Chile,347247.6,6.778255486862977,0.1
Peru,2024,Costa Rica,289620.2,9.25709295138944,0.1
Peru,2024,Ecuador,280148.4,9.602862425771484,0.1
Peru,2024,United Arab Emirates,231068.42,6.4305258200146955,0.1
Peru,2024,Malaysia,197802.68,6.391275891711882,0.1
Peru,2024,Germany,195637.1,9.421233130116935,0.1
Peru,2024,M49-591,167151.66,9.215039946357697,0.1
Peru,2024,Belgium,118542.9,6.374722045774146,0.0
Peru,2024,M49-222,107947.4,9.00831525354015,0.0
Peru,2024,Ireland,96600.0,11.31154741200828,0.0
Peru,2024,Poland,70439.6,8.414394601900067,0.0
Peru,2024,M49-320,64944.36,9.160932527474287,0.0
South Africa,2024,United Kingdom,9453372.4,5.081489982453246,36.4
South Africa,2024,Netherlands,7773063.9,4.963327158162175,29.9
South Africa,2024,United Arab Emirates,1879233.18,7.095655422069549,7.2
South Africa,2024,Germany,1536382.2,8.298181644515278,5.9
South Africa,2024,Singapore,1003039.26,6.803142452270512,3.9
South Africa,2024,Hong Kong,856221.6,9.359234809072792,3.3
South Africa,2024,Spain,770331.3,6.576416201704383,3.0
South Africa,2024,Malaysia,638468.4,6.806724235686528,2.5
South Africa,2024,Ireland,441597.0,7.581997153513272,1.7
South Africa,2024,Saudi Arabia,411327.3,7.997660556447385,1.6
South Africa,2024,Qatar,238380.06,8.121303686222749,0.9
South Africa,2024,M49-251,236648.1,7.596026509403624,0.9
South Africa,2024,M49-414,227759.42,9.314628567283846,0.9
South Africa,2024,M49-620,195840.0,3.598358997140523,0.8
South Africa,2024,M49-480,86824.72,6.356495327597947,0.3
South Africa,2024,Thailand,72908.87,7.192662525149546,0.3
South Africa,2024,Italy,65705.4,8.426078541489742,0.3
South Africa,2024,M49-48,60437.67,7.632204964221818,0.2
South Africa,2024,M49-894,52768.8,1.5283350388866148,0.2
Spain,2024,Germany,26449607.0,6.629566443236756,31.7
Spain,2024,Netherlands,13491981.0,6.344023721423859,16.2
Spain,2024,Poland,9948904.0,6.476062453612981,11.9
Spain,2024,United Kingdom,6362603.0,6.984248875971046,7.6
Spain,2024,M49-251,4788756.0,6.2542869145974445,5.7
Spain,2024,Italy,4785373.0,6.3148733684918605,5.7
Spain,2024,M49-757,2297061.0,8.888946210396677,2.8
Spain,2024,M49-620,1906992.4,4.8286025057047945,2.3
Spain,2024,M49-40,1816947.8,7.600913932144885,2.2
Spain,2024,Belgium,1659629.1,6.466369920845567,2.0
Spain,2024,Ireland,1281171.0,6.774796223142734,1.5
Spain,2024,M49-203,1230785.0,7.133372983096154,1.5
Spain,2024,M49-100,1057323.1,2.409563826799963,1.3
Spain,2024,M49-348,936697.25,7.872882146285793,1.1
Spain,2024,M49-642,839107.9,6.590150733892506,1.0
Spain,2024,M49-703,771379.0,7.54132202587833,0.9
Spain,2024,M49-246,648696.0,6.208924810697152,0.8
Spain,2024,M49-191,573394.0,6.837253764427253,0.7
Spain,2024,M49-440,434437.6,6.452950140595565,0.5
Spain,2024,Sweden,423954.0,7.069797272817334,0.5
Spain,2024,M49-208,419219.8,6.735124941617739,0.5
Spain,2024,M49-705,326714.2,7.758187923879647,0.4
Spain,2024,M49-233,234473.0,5.299024233067347,0.3
Spain,2024,Saudi Arabia,139648.8,9.071562741677695,0.2
Spain,2024,M49-428,126254.5,6.5584204206582735,0.2
Spain,2024,M49-300,120079.0,5.61225867970253,0.1
Spain,2024,Hong Kong,112580.5,13.365329279937466,0.1
Spain,2024,M49-579,98062.0,9.360557249495217,0.1
Spain,2024,M49-352,82513.5,10.472529816333086,0.1
Spain,2024,Singapore,82385.0,12.272072986587364,0.1
Spain,2024,United Arab Emirates,59129.2,9.359971722938921,0.1
