player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Chile,2024,Netherlands,25547353.5,2.8449484382012407,23.9
Chile,2024,Spain,16712778.78,2.9478823818309405,15.7
Chile,2024,Argentina,16473127.62,2.5540455771689095,15.4
Chile,2024,United Kingdom,12970852.0,2.825907312796415,12.1
Chile,2024,China,7503235.99,2.9152067040343748,7.0
Chile,2024,Germany,7254390.0,2.988986540563714,6.8
Chile,2024,United States,5901336.78,3.9495909111630123,5.5
Chile,2024,Italy,3936560.0,3.3591541218729044,3.7
Chile,2024,M49-251,2474405.39,2.943198179826144,2.3
Chile,2024,South Korea,1723748.8,3.366615234191896,1.6
Chile,2024,M49-858,1699320.0,2.9954818280253277,1.6
Chile,2024,M49-757,796330.8,3.463635639862228,0.7
Chile,2024,Costa Rica,733440.0,3.569028959424084,0.7
Chile,2024,Brazil,733064.2,2.7366239546277122,0.7
Chile,2024,Australia,730266.6,3.4265781428316724,0.7
Chile,2024,Belgium,602112.0,2.881426013764881,0.6
Chile,2024,Hong Kong,327190.4,3.2478131998982853,0.3
Chile,2024,M49-40,264000.0,3.182075568181818,0.2
Chile,2024,Japan,209304.0,0.8314007376829874,0.2
Chile,2024,Poland,110400.0,2.8221461050724637,0.1
Chile,2024,M49-208,68064.0,2.9532792665726375,0.1
Colombia,2024,Netherlands,60203614.5,2.0135030859318257,43.5
Colombia,2024,United States,30207518.44,2.3921655611509407,21.8
Colombia,2024,Spain,11545733.0,1.780884701733532,8.3
Colombia,2024,United Kingdom,11506603.0,2.0345302883918044,8.3
Colombia,2024,Belgium,9867956.0,2.063895051822282,7.1
Colombia,2024,China,5126400.0,5.977528089887641,3.7
Colombia,2024,Germany,3826475.84,1.9596164077701326,2.8
Colombia,2024,M49-251,2905997.0,2.181260211211505,2.1
Colombia,2024,Italy,833856.0,2.557838307813339,0.6
Colombia,2024,Canada,497917.0,2.299669884739826,0.4
Colombia,2024,M49-591,311236.0,2.376063887210991,0.2
Colombia,2024,Costa Rica,213800.0,2.4518260523854067,0.2
Colombia,2024,United Arab Emirates,179752.56,3.046891293231095,0.1
Colombia,2024,Russia,168720.0,2.405931721194879,0.1
Colombia,2024,M49-604,168000.0,1.4785714285714286,0.1
Colombia,2024,M49-642,143360.0,1.6126883370535714,0.1
Colombia,2024,Argentina,127488.0,1.3867944433985944,0.1
Colombia,2024,Saudi Arabia,123552.6,2.3730594904518396,0.1
Colombia,2024,Chile,120000.0,2.3603872499999996,0.1
Colombia,2024,M49-533,110460.56,2.146556834403157,0.1
Colombia,2024,Hong Kong,96204.0,2.5016901584133717,0.1
