player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Colombia,2024,Belgium,398224786.22,0.5009984755438611,18.6
Colombia,2024,United States,347943940.61,0.5269561916455757,16.2
Colombia,2024,United Kingdom,311601190.85,0.520882370209337,14.5
Colombia,2024,Germany,300768435.79,0.4989134135231258,14.0
Colombia,2024,Italy,298534839.19,0.479398777336384,13.9
Colombia,2024,Netherlands,134881741.55,0.514901208954623,6.3
Colombia,2024,M49-251,92294791.52,0.5802327242745366,4.3
Colombia,2024,M49-705,49730702.8,0.4765104914222125,2.3
Colombia,2024,Poland,42328081.0,0.43666509332185416,2.0
Colombia,2024,Spain,40956733.76,0.4729119983907623,1.9
Colombia,2024,M49-620,33197889.26,0.4504614279203123,1.5
Colombia,2024,Sweden,31566715.52,0.4426440812680406,1.5
Colombia,2024,M49-757,18943404.42,0.5629098948413834,0.9
Colombia,2024,M49-300,7476780.08,0.44606185073187277,0.3
Colombia,2024,M49-499,6244932.8,0.42040559667831817,0.3
Colombia,2024,M49-191,6196505.4,0.3944712611724666,0.3
Colombia,2024,Argentina,5456266.0,0.5225719933742233,0.3
Colombia,2024,M49-208,5196095.98,0.6576276714580626,0.2
Colombia,2024,Ireland,4454523.56,0.5169811269333594,0.2
Colombia,2024,M49-792,4076189.0,0.39297576486271857,0.2
Colombia,2024,M49-531,1931153.2,0.5487990336551238,0.1
Colombia,2024,Canada,1645076.94,0.8396635904458062,0.1
Colombia,2024,South Korea,787518.0,0.5923785107134059,0.0
Colombia,2024,M49-858,500256.0,0.5181347150259067,0.0
Colombia,2024,M49-246,319618.0,0.801466250336339,0.0
Colombia,2024,M49-440,120528.0,0.5591688238417629,0.0
Colombia,2024,Chile,117547.2,0.5016538037486219,0.0
Colombia,2024,M49-434,108780.0,0.4942084942084942,0.0
Costa Rica,2024,United States,735089272.3,0.5512949067968599,33.0
Costa Rica,2024,Netherlands,224100000.0,0.4879621227576974,10.1
Costa Rica,2024,Spain,204460000.0,0.5348678062212657,9.2
Costa Rica,2024,Italy,183575000.0,0.548205824159063,8.2
Costa Rica,2024,United Kingdom,178222000.0,0.5440086630157893,8.0
Costa Rica,2024,Belgium,172709000.0,0.5738276779438246,7.8
Costa Rica,2024,M49-792,89681900.0,0.48461137353245193,4.0
Costa Rica,2024,M49-620,49109200.0,0.4677506043674098,2.2
Costa Rica,2024,M49-246,44968100.0,0.5027476829129983,2.0
Costa Rica,2024,M49-251,43028500.0,0.5778265180055079,1.9
