player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Chile,2024,China,480364297.059,6.7549793343497715,90.8
Chile,2024,United States,18861901.62,4.771066684685635,3.6
Chile,2024,"Other Asia, nes",4974035.89,7.614427534217088,0.9
Chile,2024,South Korea,4754912.94,7.24651914299823,0.9
Chile,2024,Brazil,4541131.66,4.002683650444964,0.9
Chile,2024,United Kingdom,2713925.56,5.62691080591024,0.5
Chile,2024,Ecuador,2566501.5,2.184411589473063,0.5
Chile,2024,M49-704,1989118.0,5.758130831856129,0.4
Chile,2024,Thailand,1484599.25,8.16621891395944,0.3
Chile,2024,Spain,1093482.0,6.648183975593563,0.2
Chile,2024,Hong Kong,962744.29,5.96718612062607,0.2
Chile,2024,Canada,815554.3,5.767042304847145,0.2
Chile,2024,Mexico,786842.0,6.093015383012092,0.1
Chile,2024,Netherlands,610143.55,6.928049423779043,0.1
Chile,2024,India,597856.5,8.087132681504675,0.1
Chile,2024,M49-68,592201.0,1.8799104695871842,0.1
Chile,2024,M49-604,286704.0,2.1289172107818515,0.1
Chile,2024,Japan,213568.0,9.83421098198232,0.0
Chile,2024,Philippines,141631.88,7.992283545201829,0.0
Chile,2024,Saudi Arabia,112260.0,5.243871191876002,0.0
Chile,2024,Germany,107761.0,8.904579950074702,0.0
Chile,2024,Colombia,92971.5,6.2155117428459254,0.0
Chile,2024,Italy,77740.0,10.467044378698224,0.0
Chile,2024,M49-862,75399.0,9.268495868645472,0.0
Chile,2024,M49-251,70738.0,8.92964843507026,0.0
Chile,2024,Russia,61588.0,10.819710657920373,0.0
Chile,2024,M49-660,60840.0,3.701330046022354,0.0
Chile,2024,United Arab Emirates,53701.0,8.34728481778738,0.0
Chile,2024,M49-591,53685.0,5.274531619633044,0.0
Chile,2024,Singapore,51388.7,8.775337476916132,0.0
Greece,2024,Italy,6890611.0,3.0538123842718736,24.8
Greece,2024,Germany,6551692.0,3.9844016904335553,23.6
Greece,2024,M49-642,2910337.0,0.7939479397059516,10.5
Greece,2024,M49-100,2750260.0,0.7300076218248457,9.9
Greece,2024,Poland,1727881.0,3.1882421717699305,6.2
Greece,2024,Netherlands,1407180.0,3.885936455179863,5.1
Greece,2024,M49-428,817408.375,2.19470450862459,2.9
Greece,2024,M49-191,701379.0,2.6341706951591077,2.5
Greece,2024,M49-440,655768.0,3.0718624544046067,2.4
Greece,2024,United Kingdom,655290.0,4.244537241526652,2.4
Greece,2024,M49-196,631207.0,3.5410510577354177,2.3
Greece,2024,M49-40,465066.0,3.6698149681980623,1.7
Greece,2024,Spain,324858.0,3.85028416107961,1.2
Greece,2024,M49-203,274163.0,3.599136214587672,1.0
Greece,2024,M49-8,246921.0,0.8824398410827755,0.9
Greece,2024,M49-246,246720.0,4.283453108787289,0.9
Greece,2024,M49-208,214879.0,3.3508263348209923,0.8
Greece,2024,Sweden,115818.0,4.312391484915989,0.4
Greece,2024,M49-499,83801.0,2.111598334148757,0.3
Greece,2024,M49-251,57828.0,3.787152417514007,0.2
Greece,2024,M49-348,54234.0,3.4808249068849797,0.2
Italy,2024,Germany,1671591.0,6.160355323760418,40.8
Italy,2024,M49-757,751827.0,7.781028257830592,18.4
Italy,2024,M49-40,449471.0,6.080943275539467,11.0
Italy,2024,United Kingdom,267421.0,5.987295739676391,6.5
Italy,2024,M49-440,202740.0,4.1578699861892074,5.0
Italy,2024,Netherlands,167470.0,5.782252600465755,4.1
Italy,2024,M49-705,153481.0,4.3801919781601635,3.7
Italy,2024,Spain,141267.0,4.78854916576412,3.5
Italy,2024,Belgium,82479.0,6.672468264649184,2.0
Italy,2024,Poland,78018.0,5.2644550488348845,1.9
Italy,2024,M49-251,72807.0,5.461853516832172,1.8
Italy,2024,M49-208,54429.0,3.7606601076631945,1.3
Portugal,2024,Spain,275370.0,2.8088697098449362,100.0
Spain,2024,Germany,8390650.0,4.000060987289423,24.7
Spain,2024,United Kingdom,5627668.0,4.297367085265158,16.6
Spain,2024,Italy,5619817.4,3.294109874459622,16.6
Spain,2024,M49-251,5169573.53,3.175436980388593,15.2
Spain,2024,Netherlands,2252490.0,3.4538294482994374,6.6
Spain,2024,M49-620,1984720.0,3.541243262525696,5.8
Spain,2024,Belgium,1291900.0,3.206225217896122,3.8
Spain,2024,Poland,774125.0,3.8983976709187793,2.3
Spain,2024,M49-203,524439.0,3.778347479878499,1.5
Spain,2024,M49-757,330556.0,6.783996185215214,1.0
Spain,2024,M49-208,286979.0,2.85044755539604,0.8
Spain,2024,Sweden,280893.0,4.630507894465152,0.8
Spain,2024,M49-233,258237.0,3.5408064181352787,0.8
Spain,2024,M49-40,247848.0,4.61992735063426,0.7
Spain,2024,M49-703,171953.0,5.548540630288509,0.5
Spain,2024,M49-246,136249.0,5.005989335701546,0.4
Spain,2024,Ireland,109441.0,3.4361417476083003,0.3
Spain,2024,Hong Kong,101545.0,4.694216544389187,0.3
Spain,2024,United Arab Emirates,83289.7,12.778709036051277,0.2
Spain,2024,M49-642,67604.4,2.990767509215377,0.2
Spain,2024,M49-710,63750.0,4.564672533333334,0.2
Spain,2024,M49-300,54534.1,3.059030973280938,0.2
Spain,2024,Singapore,53471.5,8.938637629391359,0.2
Spain,2024,M49-428,52542.0,1.2178181454836132,0.2
Turkey,2024,Germany,31459939.0,3.617936067835351,47.5
Turkey,2024,Russia,16702236.0,2.4715967371075345,25.2
Turkey,2024,Poland,3010440.0,2.9589956949814646,4.5
Turkey,2024,M49-368,2591129.0,1.4293020532748466,3.9
Turkey,2024,Netherlands,1726220.0,3.763511024087312,2.6
Turkey,2024,Italy,1093232.0,3.198992528575819,1.7
Turkey,2024,Spain,1010599.0,2.8908765989279623,1.5
Turkey,2024,M49-100,943800.0,1.2789785971604153,1.4
Turkey,2024,M49-579,931548.0,6.414105338640629,1.4
Turkey,2024,M49-208,788712.0,3.55232454939192,1.2
Turkey,2024,M49-642,734635.0,1.375502120100458,1.1
Turkey,2024,Sweden,718968.0,2.714760601306317,1.1
Turkey,2024,M49-428,521080.0,2.889416212481769,0.8
Turkey,2024,Singapore,430339.0,4.647924078459075,0.6
Turkey,2024,M49-440,419816.0,3.3356613373477906,0.6
Turkey,2024,M49-40,405434.0,3.2560490733386938,0.6
Turkey,2024,M49-196,403991.0,1.502216633538866,0.6
Turkey,2024,M49-760,393818.0,0.5159946980584941,0.6
Turkey,2024,United Arab Emirates,371409.0,4.201605238429871,0.6
Turkey,2024,M49-268,354473.0,0.789239236838913,0.5
Turkey,2024,United Kingdom,247641.0,3.3859942416643447,0.4
Turkey,2024,M49-112,241988.0,2.633072714349472,0.4
Turkey,2024,Hong Kong,219537.0,5.9136546459139,0.3
Turkey,2024,Malaysia,210129.0,4.769474941583503,0.3
Turkey,2024,Saudi Arabia,140619.0,2.6395295088145985,0.2
Turkey,2024,M49-246,97812.0,6.012309328098802,0.1
Turkey,2024,India,82780.0,4.7295723604735445,0.1
