player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Chile,2024,United States,20076280.1,2.2017205363656984,13.9
Chile,2024,Brazil,18856139.4,2.002119842198452,13.0
Chile,2024,Netherlands,13665682.4,1.9150518081702235,9.4
Chile,2024,Italy,13285206.4,1.8192603006905486,9.2
Chile,2024,India,11945999.0,1.9409391808922802,8.3
Chile,2024,United Kingdom,11410173.8,1.993251717164904,7.9
Chile,2024,Spain,9694233.7,1.7536242684143257,6.7
Chile,2024,Mexico,7898172.2,2.147683439973618,5.5
Chile,2024,Colombia,4184759.0,2.0413017191671017,2.9
Chile,2024,Argentina,3731731.4,2.0551268255802118,2.6
Chile,2024,M49-251,3649749.8,1.8979317047979565,2.5
Chile,2024,Ecuador,2436083.39,1.474402089330776,1.7
Chile,2024,Germany,2328720.0,2.155236194132399,1.6
Chile,2024,M49-604,2185434.0,1.5351193950492215,1.5
Chile,2024,Russia,2122535.0,2.07655524643881,1.5
Chile,2024,Saudi Arabia,2093536.8,2.043587015045544,1.4
Chile,2024,Canada,1977530.4,2.0739795656238713,1.4
Chile,2024,M49-620,1419644.0,1.7746963182318947,1.0
Chile,2024,M49-68,1247040.0,0.8837120300872466,0.9
Chile,2024,Poland,1152000.0,2.4052490972222222,0.8
Chile,2024,Japan,1130779.8,2.207345046312288,0.8
Chile,2024,M49-858,935070.0,2.1966328403221147,0.6
Chile,2024,Ireland,720400.0,2.1888494308717377,0.5
Chile,2024,United Arab Emirates,695040.0,1.9982691931399632,0.5
Chile,2024,Belgium,528000.0,1.709650643939394,0.4
Chile,2024,M49-320,514440.0,2.2013521499105826,0.4
Chile,2024,M49-400,428480.0,2.209862840739358,0.3
Chile,2024,M49-591,419635.2,2.1348533917078454,0.3
Chile,2024,M49-214,361040.0,2.5348792100598274,0.2
Chile,2024,Costa Rica,354210.4,2.318969459959391,0.2
Chile,2024,Sweden,343105.0,2.6894257443056793,0.2
Chile,2024,M49-862,312308.8,2.306722929357098,0.2
Chile,2024,Malaysia,293795.0,2.2137002671931105,0.2
Chile,2024,M49-222,254000.0,2.064482086614173,0.2
Chile,2024,M49-300,240640.0,1.928498171542553,0.2
Chile,2024,M49-340,239360.0,2.26525455381016,0.2
Chile,2024,M49-792,235200.0,2.2588096088435377,0.2
Chile,2024,M49-422,210080.0,2.0898674790555978,0.1
Chile,2024,M49-440,192000.0,1.94118234375,0.1
Chile,2024,M49-360,162400.0,2.3027642241379307,0.1
Chile,2024,M49-818,153600.0,1.6378645833333334,0.1
Chile,2024,M49-642,144000.0,2.1063194444444444,0.1
Chile,2024,M49-804,140400.0,2.308383190883191,0.1
Chile,2024,South Korea,120000.0,1.7764625833333334,0.1
Chile,2024,M49-434,120000.0,2.2538164999999997,0.1
