player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Argentina,2024,United States,94334912.0,0.5862309846645111,56.9
Argentina,2024,Russia,24210330.0,0.5730441369448496,14.6
Argentina,2024,Netherlands,8922284.0,0.5857682819780227,5.4
Argentina,2024,M49-300,7255410.0,0.49281790415703597,4.4
Argentina,2024,Spain,6088640.0,0.5466729400982814,3.7
Argentina,2024,M49-804,5103604.0,0.5818956212119906,3.1
Argentina,2024,Italy,4202836.0,0.7331406126720148,2.5
Argentina,2024,Canada,3502009.0,0.6027093248475375,2.1
Argentina,2024,M49-8,2884314.0,0.5355554977717405,1.7
Argentina,2024,Mexico,1320005.0,0.5665686796640922,0.8
Argentina,2024,Poland,1072356.0,0.5495082789670594,0.6
Argentina,2024,M49-642,1070400.0,0.654295216741405,0.6
Argentina,2024,M49-251,860016.0,0.7181045701475322,0.5
Argentina,2024,M49-191,788142.0,0.49961458721905444,0.5
Argentina,2024,M49-688,609849.0,0.6127352016646744,0.4
Argentina,2024,Brazil,571800.0,0.7102783840503673,0.3
Argentina,2024,United Kingdom,549360.0,0.6250984782292122,0.3
Argentina,2024,M49-620,435840.0,0.3431442731277533,0.3
Argentina,2024,M49-100,383607.0,0.4780501919933682,0.2
Argentina,2024,Germany,275820.0,0.5299108113987383,0.2
Argentina,2024,M49-579,275700.0,0.8148033369604643,0.2
Argentina,2024,M49-858,247266.0,0.4731746378394118,0.1
Argentina,2024,M49-807,231336.0,0.4462807345160286,0.1
Argentina,2024,M49-860,212412.0,0.5514970905598554,0.1
Argentina,2024,M49-498,189996.0,0.5374565780332218,0.1
Argentina,2024,M49-899,120240.0,0.44580838323353295,0.1
Argentina,2024,M49-196,103032.0,0.5550314465408805,0.1
Brazil,2024,Netherlands,133329620.0,1.1563116807803098,76.0
Brazil,2024,United Kingdom,26901262.0,0.9941808677972059,15.3
Brazil,2024,Chile,3669965.0,0.5411264140121227,2.1
Brazil,2024,Spain,2273659.0,0.9711460689575702,1.3
Brazil,2024,Argentina,2023165.0,0.8040995173404047,1.2
Brazil,2024,Canada,1910391.0,0.9363072795045622,1.1
Brazil,2024,Russia,1282501.0,1.6251581870111602,0.7
Brazil,2024,Germany,1049233.0,0.9516341937396174,0.6
Brazil,2024,M49-620,803692.0,1.053170866451327,0.5
Brazil,2024,M49-858,643803.0,0.7540536468453859,0.4
