player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Egypt,2024,Russia,70791089.707,1.4608903801176234,48.5
Egypt,2024,Saudi Arabia,13180979.354,1.460890380133737,9.0
Egypt,2024,M49-760,7851042.875,1.4608903801203608,5.4
Egypt,2024,United Arab Emirates,5039519.447,1.4608903800108703,3.5
Egypt,2024,Brazil,4306168.063,1.4608903800232378,2.9
Egypt,2024,M49-804,4013917.574,1.4608903800075892,2.7
Egypt,2024,M49-368,3766684.123,1.4608903800559014,2.6
Egypt,2024,Netherlands,3732057.258,1.4608903803158104,2.6
Egypt,2024,United Kingdom,3675001.083,1.460890380096794,2.5
Egypt,2024,M49-112,3335034.089,1.4608903801222886,2.3
Egypt,2024,M49-705,2938696.892,1.4608903802522548,2.0
Egypt,2024,M49-440,2089451.632,1.4608903806393543,1.4
Egypt,2024,M49-414,1901496.586,1.4608903799525412,1.3
Egypt,2024,Poland,1898062.113,1.4608903802506912,1.3
Egypt,2024,M49-512,1470713.268,1.460890380027496,1.0
Egypt,2024,M49-251,1407372.892,1.4608903800031414,1.0
Egypt,2024,M49-642,1373287.735,1.4608903799756137,0.9
Egypt,2024,Canada,1154058.766,1.460890380689678,0.8
Egypt,2024,M49-899,999511.681,1.46089038052973,0.7
Egypt,2024,M49-348,982719.092,1.460890380259347,0.7
Egypt,2024,M49-48,649870.574,1.4608903803051714,0.4
Egypt,2024,M49-428,646904.657,1.460890379708613,0.4
Egypt,2024,Qatar,644361.687,1.4608903803431752,0.4
Egypt,2024,Malaysia,637283.771,1.4608903793974066,0.4
Egypt,2024,Spain,583373.199,1.460890381081768,0.4
Egypt,2024,M49-704,581795.959,1.460890380642881,0.4
Egypt,2024,M49-324,511199.729,1.4608903793061283,0.4
Egypt,2024,M49-480,411024.508,1.460890380775056,0.3
Egypt,2024,Australia,341277.632,1.4608903814710015,0.2
Egypt,2024,M49-191,339221.455,1.4608903791182664,0.2
Egypt,2024,M49-404,311606.46,1.4608903807706681,0.2
Egypt,2024,M49-384,277483.204,1.4608903823959016,0.2
Egypt,2024,M49-620,267034.421,1.4608903771248278,0.2
Egypt,2024,M49-70,255799.904,1.4608903840714498,0.2
Egypt,2024,M49-498,245383.739,1.4608903811674334,0.2
Egypt,2024,M49-554,232158.418,1.4608903821872183,0.2
Egypt,2024,Italy,226184.223,1.4608903822615427,0.2
Egypt,2024,M49-690,211133.706,1.4608903800513975,0.1
Egypt,2024,Costa Rica,210952.775,1.460890381745393,0.1
Egypt,2024,M49-860,208576.567,1.46089037892737,0.1
Egypt,2024,M49-688,208015.264,1.4608903796598312,0.1
Egypt,2024,M49-686,202375.831,1.4608903767762662,0.1
Egypt,2024,M49-462,181213.432,1.4608903825628115,0.1
Egypt,2024,M49-566,156173.251,1.4608903800049602,0.1
Egypt,2024,M49-246,151238.841,1.4608903740541097,0.1
Egypt,2024,M49-398,128470.091,1.4608903795358874,0.1
Egypt,2024,M49-470,126817.404,1.4608903837836011,0.1
Egypt,2024,M49-24,118948.008,1.460890374893878,0.1
Egypt,2024,M49-116,118897.189,1.4608903832032565,0.1
Egypt,2024,M49-31,117357.881,1.4608903853674728,0.1
Egypt,2024,Singapore,110477.673,1.4608903828016,0.1
Egypt,2024,Sweden,108551.302,1.4608903815819734,0.1
Egypt,2024,M49-275,108030.693,1.4608903786260077,0.1
Egypt,2024,M49-51,104672.604,1.4608903777725832,0.1
Egypt,2024,M49-360,99813.102,1.4608903748928672,0.1
Egypt,2024,India,72117.252,1.4608903844533623,0.0
Egypt,2024,M49-800,65897.278,1.4608903876120647,0.0
Egypt,2024,M49-268,59041.829,1.4608903799372477,0.0
Egypt,2024,M49-288,53946.827,1.4608903689553419,0.0
Egypt,2024,Germany,52314.621,1.4608903694437547,0.0
Morocco,2024,United States,69337889.0,1.1804533794791474,27.7
Morocco,2024,United Kingdom,38499909.0,0.9761614776544018,15.4
Morocco,2024,Canada,34059097.0,1.4467027176615985,13.6
Morocco,2024,Netherlands,23262310.0,1.0981097072044865,9.3
Morocco,2024,Russia,20055450.0,0.42732290539479295,8.0
Morocco,2024,M49-686,11954782.0,0.2976096543625806,4.8
Morocco,2024,M49-251,11124442.0,1.0838761737442653,4.4
Morocco,2024,Saudi Arabia,7291981.0,0.5344565128460976,2.9
Morocco,2024,Ireland,4456280.0,0.7790323482815263,1.8
Morocco,2024,M49-384,4212810.0,0.3384055191190678,1.7
Morocco,2024,M49-478,4091177.0,0.25091549644515504,1.6
Morocco,2024,United Arab Emirates,3110294.0,0.7827286787036852,1.2
Morocco,2024,Sweden,2587060.0,1.1955551637766422,1.0
Morocco,2024,Germany,2260382.0,1.1273541728787435,0.9
Morocco,2024,Spain,1966372.0,1.2037049317219732,0.8
Morocco,2024,M49-466,1887247.0,0.28559576356459965,0.8
Morocco,2024,M49-710,1866240.0,0.402318960048011,0.7
Morocco,2024,M49-579,1223412.0,0.4023189595982384,0.5
Morocco,2024,M49-324,873946.0,0.4471514338414502,0.3
Morocco,2024,M49-854,872739.0,0.30892008721966135,0.3
Morocco,2024,Qatar,861451.0,1.2498148101284927,0.3
Morocco,2024,M49-266,788080.0,0.4154603860014212,0.3
Morocco,2024,M49-566,483730.0,0.8178923304322658,0.2
Morocco,2024,Italy,429760.0,1.120267423678332,0.2
Morocco,2024,Singapore,427890.0,0.4667180607165393,0.2
Morocco,2024,M49-270,427720.0,0.2942688721593566,0.2
Morocco,2024,M49-120,386620.0,0.4434949459417516,0.2
Morocco,2024,M49-470,322520.0,1.1558320073173758,0.1
Morocco,2024,M49-288,314950.0,0.5324508461660581,0.1
Morocco,2024,M49-480,262964.0,0.4023189600097352,0.1
Morocco,2024,M49-112,210600.0,0.4023189601139601,0.1
Morocco,2024,Brazil,192410.0,0.4023503248271919,0.1
Morocco,2024,M49-148,121160.0,0.5048022119511391,0.0
Morocco,2024,M49-496,117900.0,0.4407030534351145,0.0
Morocco,2024,M49-620,90360.0,1.1688681053563523,0.0
Morocco,2024,M49-768,78500.0,0.32441770700636946,0.0
Morocco,2024,M49-440,73320.0,1.1079314238952538,0.0
Morocco,2024,Hong Kong,72150.0,0.4023189604989605,0.0
Morocco,2024,Malaysia,67100.0,0.40351962742175856,0.0
Peru,2024,United States,4085826.0,1.2494199997748312,24.3
Peru,2024,United Kingdom,3311790.0,1.063015257609933,19.7
Peru,2024,Canada,3106989.0,1.051039923218267,18.5
Peru,2024,Netherlands,2263816.0,1.0480210224682571,13.5
