player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Brazil,2024,Netherlands,124478004.0,1.235624753430333,48.1
Brazil,2024,Spain,41961940.0,1.3829619173946677,16.2
Brazil,2024,United States,36850027.0,1.2282120987319765,14.2
Brazil,2024,United Kingdom,19871952.0,1.3893999945249464,7.7
Brazil,2024,M49-620,11416735.0,1.8372055583316946,4.4
Brazil,2024,Canada,8768769.0,1.2148562700192012,3.4
Brazil,2024,Chile,4028239.0,1.2616897855365583,1.6
Brazil,2024,South Korea,3161221.0,5.007117186681981,1.2
Brazil,2024,Argentina,2734429.0,1.287522916118868,1.1
Brazil,2024,M49-251,1264609.0,2.890161306775454,0.5
Brazil,2024,Germany,1102103.0,1.6541031101448775,0.4
Brazil,2024,M49-288,903973.0,1.0773651425429742,0.3
Brazil,2024,United Arab Emirates,403735.0,1.8183338080671727,0.2
Brazil,2024,Belgium,395940.0,1.025935747840582,0.2
Brazil,2024,M49-858,333818.0,1.176713059211906,0.1
Brazil,2024,Italy,305108.0,2.229885810925967,0.1
Brazil,2024,Ireland,203916.0,2.819793444359442,0.1
Brazil,2024,M49-792,179196.0,1.6894573539587938,0.1
Brazil,2024,M49-757,98158.0,3.5767639927463883,0.0
Brazil,2024,M49-710,88944.0,1.4389053786652275,0.0
Brazil,2024,M49-504,66868.0,0.8437219596817611,0.0
Brazil,2024,Japan,57435.0,3.424758422564638,0.0
Côte d'Ivoire,2024,Belgium,15577200.0,0.9921998169760933,24.4
Côte d'Ivoire,2024,M49-288,11116300.0,0.24985155141548895,17.4
Côte d'Ivoire,2024,M49-251,9937650.0,0.7172579499177371,15.5
Côte d'Ivoire,2024,Netherlands,7499200.0,0.8619785251760187,11.7
Côte d'Ivoire,2024,M49-854,5137530.0,0.058373235776725395,8.0
Côte d'Ivoire,2024,United Kingdom,4483570.0,0.7407155046090503,7.0
Côte d'Ivoire,2024,M49-686,2650994.0,0.07622666554507479,4.1
Côte d'Ivoire,2024,Spain,1941170.0,0.5887393278280625,3.0
Côte d'Ivoire,2024,Germany,1283010.0,1.4691545732301385,2.0
Côte d'Ivoire,2024,M49-478,1237000.0,0.08462615844785773,1.9
Côte d'Ivoire,2024,M49-504,1211820.0,0.42258176461850766,1.9
Côte d'Ivoire,2024,M49-466,1112000.0,0.13738269964028776,1.7
Côte d'Ivoire,2024,M49-757,528360.0,4.3507730827466125,0.8
Côte d'Ivoire,2024,M49-792,69282.0,6.3586119194018655,0.1
Côte d'Ivoire,2024,Canada,64691.0,0.26201187182142804,0.1
Côte d'Ivoire,2024,Russia,62720.0,0.3299131218112245,0.1
Côte d'Ivoire,2024,M49-566,50000.0,0.13196665999999999,0.1
Israel,2024,M49-251,5732200.0,2.747810613725969,35.8
Israel,2024,United Kingdom,2445870.0,2.156287946620221,15.3
Israel,2024,M49-705,2099080.0,1.9899193932579988,13.1
Israel,2024,Netherlands,2079920.0,2.369321896996038,13.0
Israel,2024,Germany,987759.0,2.144247736543023,6.2
Israel,2024,Russia,775337.0,1.9643071335432205,4.8
Israel,2024,Italy,473556.0,2.4305467568777503,3.0
Israel,2024,M49-757,408397.0,2.5122613535358975,2.6
Israel,2024,M49-196,359049.0,2.1055621934610596,2.2
Israel,2024,Spain,266433.0,2.6085357294329157,1.7
Israel,2024,United States,159242.0,5.4068650230466835,1.0
Israel,2024,Canada,78678.0,6.253336383741326,0.5
Israel,2024,M49-620,63572.0,2.26514817844334,0.4
Israel,2024,Belgium,63265.0,3.635501462103849,0.4
Pakistan,2024,M49-398,45216875.0,0.6024613041480642,33.4
Pakistan,2024,United Arab Emirates,43812242.0,0.635995961220154,32.3
