player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Chile,2024,China,46488705.39,1.183918807767858,39.7
Chile,2024,United States,30488561.87,1.861464436138063,26.1
Chile,2024,Mexico,11190282.71,1.8252399451666756,9.6
Chile,2024,Brazil,5909350.47,1.2534238386439789,5.1
Chile,2024,"Other Asia, nes",5273998.35,1.2804163050221662,4.5
Chile,2024,Netherlands,4731591.5,1.3952280242282116,4.0
Chile,2024,Canada,2110099.21,1.985078824800849,1.8
Chile,2024,M49-604,2078996.0,1.1495016681128776,1.8
Chile,2024,Russia,1725432.0,1.3546209586932432,1.5
Chile,2024,M49-320,929194.5,1.7185889498915456,0.8
Chile,2024,Spain,917369.6,1.6406113304822834,0.8
Chile,2024,Ecuador,746041.0,1.3423019914455103,0.6
Chile,2024,Colombia,687919.0,1.5080479387834904,0.6
Chile,2024,United Kingdom,579717.0,1.3118667901752061,0.5
Chile,2024,Germany,423326.0,1.7449077543075548,0.4
Chile,2024,Costa Rica,363980.0,1.9689964833232594,0.3
Chile,2024,M49-642,360342.0,1.304973330891209,0.3
Chile,2024,Belgium,347714.1,1.0287792183290814,0.3
Chile,2024,Italy,339208.0,1.5082609785146577,0.3
Chile,2024,M49-222,253008.0,1.6287508300132802,0.2
Chile,2024,M49-660,200003.9,1.446842536570537,0.2
Chile,2024,Argentina,154801.4,1.0772069244851792,0.1
Chile,2024,M49-591,124871.0,1.9195021261942324,0.1
Chile,2024,Poland,124782.5,2.0213268687516277,0.1
Chile,2024,Hong Kong,90504.0,1.1792050075134801,0.1
Chile,2024,M49-214,79668.0,1.9720398403374002,0.1
Chile,2024,M49-340,79320.0,1.4356365355521936,0.1
Chile,2024,M49-251,64972.0,1.8972492766114635,0.1
Chile,2024,M49-68,63164.0,1.2945411943512126,0.1
Chile,2024,M49-858,53606.0,1.3392150132447862,0.0
Greece,2024,M49-642,40181415.0,0.6648294310939522,31.9
Greece,2024,M49-100,17706120.0,0.45230878843021505,14.1
Greece,2024,M49-804,13898994.0,0.9591740646841059,11.0
Greece,2024,Poland,12895064.0,1.1424461079836439,10.2
Greece,2024,M49-348,5068455.0,1.1783679689372797,4.0
Greece,2024,Germany,4847483.0,1.3838901774384769,3.9
Greece,2024,Italy,4378343.0,1.161301272193613,3.5
Greece,2024,M49-203,3174830.0,1.3911805372256152,2.5
Greece,2024,M49-191,3111535.0,1.2099145077911706,2.5
Greece,2024,M49-196,3081047.0,1.332386507898127,2.4
Greece,2024,Spain,2766914.0,1.1451158825319472,2.2
Greece,2024,M49-498,2635097.0,1.1516272569852266,2.1
Greece,2024,M49-8,1626348.0,0.4315404655092268,1.3
Greece,2024,M49-428,1277433.0,1.075526577910544,1.0
Greece,2024,M49-688,1258672.0,1.010463806297431,1.0
Greece,2024,M49-440,1060279.0,1.098642519563247,0.8
Greece,2024,M49-703,1000114.0,1.1877371049700334,0.8
Greece,2024,M49-818,900810.0,0.7054800135433665,0.7
Greece,2024,M49-70,798324.0,0.7712111949534274,0.6
Greece,2024,M49-112,727906.0,1.0114278011171771,0.6
Greece,2024,M49-499,534948.0,0.8177521684350628,0.4
Greece,2024,M49-807,529970.0,0.605779323357926,0.4
Greece,2024,M49-620,503752.0,1.1785943003700234,0.4
Greece,2024,Netherlands,482026.0,1.0982919427582745,0.4
Greece,2024,M49-208,339810.0,1.2130809040346076,0.3
Greece,2024,M49-705,321790.0,1.243881487926909,0.3
Greece,2024,Sweden,260292.0,1.542844997157039,0.2
Greece,2024,M49-40,224809.0,1.202713432291412,0.2
Greece,2024,M49-792,186292.0,0.7155986676829923,0.1
Greece,2024,Belgium,76691.0,0.9491205486954141,0.1
Italy,2024,Germany,45504925.0,1.4605336563679645,39.3
Italy,2024,M49-40,12745801.0,1.8385091510529625,11.0
Italy,2024,M49-757,7493275.0,2.0771698994098045,6.5
Italy,2024,Poland,7018111.0,1.0560920475609463,6.1
Italy,2024,M49-191,6167311.0,1.335115399077491,5.3
Italy,2024,M49-203,6077451.0,1.5048575744995722,5.3
Italy,2024,Sweden,5538222.0,1.2115694481008525,4.8
Italy,2024,M49-208,4997618.0,1.1371873604585223,4.3
Italy,2024,United Kingdom,3385582.0,1.68422089200616,2.9
Italy,2024,M49-705,2558054.0,1.5061975118586237,2.2
Italy,2024,M49-579,1923761.0,1.4283852022158678,1.7
Italy,2024,M49-470,1571625.0,1.9243593389008191,1.4
Italy,2024,M49-251,1480972.0,1.7589548539742816,1.3
Italy,2024,M49-703,1203549.0,1.4327552787630582,1.0
Italy,2024,Netherlands,1102788.0,1.2781974649706016,1.0
Italy,2024,M49-246,1027106.0,0.8714234119944777,0.9
Italy,2024,M49-440,999165.0,1.4513148338862951,0.9
Italy,2024,M49-642,936840.0,1.2129445380214336,0.8
Italy,2024,M49-348,893066.0,1.3774327776446533,0.8
Italy,2024,Spain,868256.0,1.3167838644362952,0.8
Italy,2024,M49-70,553518.0,0.6326895873304933,0.5
Italy,2024,Belgium,548016.0,1.6904847358471284,0.5
Italy,2024,M49-818,266112.0,1.2559561951358826,0.2
Italy,2024,M49-428,211157.0,1.3420150077904118,0.2
Italy,2024,Ireland,151989.0,1.4899974142865602,0.1
Italy,2024,M49-8,141720.0,0.38517988992379343,0.1
Italy,2024,M49-300,124898.0,1.8855473506381206,0.1
Italy,2024,M49-688,124883.0,2.406000120112425,0.1
Italy,2024,M49-442,60407.0,2.0493323290347143,0.1
Italy,2024,M49-498,56000.0,1.0190998571428571,0.0
South Africa,2024,Netherlands,10114484.5,1.8580173298006437,35.6
South Africa,2024,United Kingdom,9010435.4,2.429163153203451,31.7
South Africa,2024,United Arab Emirates,4417613.9,1.8331522718633242,15.6
South Africa,2024,Philippines,723987.0,0.7911887492454974,2.5
South Africa,2024,Canada,660063.0,1.6608383290685889,2.3
South Africa,2024,M49-72,511941.82,1.699995569809085,1.8
South Africa,2024,Saudi Arabia,402235.72,1.7451656133373736,1.4
South Africa,2024,M49-748,387803.79,0.7941457947071637,1.4
South Africa,2024,Russia,352596.8,1.9549350532960028,1.2
South Africa,2024,M49-251,297092.3,1.856008203511165,1.0
South Africa,2024,M49-516,269629.19,1.2721539867400855,0.9
South Africa,2024,Germany,236849.2,3.0688587126323417,0.8
South Africa,2024,M49-426,225613.02,0.5053763342204276,0.8
South Africa,2024,M49-480,150222.94,2.2190628808090165,0.5
South Africa,2024,Qatar,142189.5,1.3674773453736035,0.5
South Africa,2024,M49-894,114610.23,1.2216080711119768,0.4
South Africa,2024,M49-512,94394.16,1.6386313729578184,0.3
South Africa,2024,M49-716,85612.0,0.9231394197075177,0.3
South Africa,2024,M49-508,82352.25,1.734204517787917,0.3
South Africa,2024,M49-24,65262.75,0.6477051304151296,0.2
South Africa,2024,Hong Kong,60112.5,2.4712424370971093,0.2
Spain,2024,Germany,226404463.2,1.7115284146571543,38.8
Spain,2024,Italy,91209188.25,1.2882037406028555,15.6
Spain,2024,Poland,59456865.0,1.35774026133063,10.2
Spain,2024,United Kingdom,44561988.0,1.886223277224526,7.6
Spain,2024,Netherlands,30975147.0,1.4758216095633057,5.3
Spain,2024,M49-620,30115746.0,1.0382547569301455,5.2
Spain,2024,Belgium,17372130.0,1.8856640212224984,3.0
Spain,2024,M49-203,14678530.0,1.597819784883091,2.5
Spain,2024,M49-757,11083940.0,2.0869925925257626,1.9
Spain,2024,M49-348,8142290.0,1.5217173123285954,1.4
Spain,2024,Sweden,6122062.0,1.4274098586391315,1.0
Spain,2024,M49-40,5290650.0,2.0717178301342933,0.9
Spain,2024,M49-703,4702620.0,1.6363013870991063,0.8
Spain,2024,M49-579,4693482.0,1.8162470894742964,0.8
Spain,2024,Brazil,4297640.0,1.8079988982325184,0.7
Spain,2024,M49-208,3935858.0,1.8891879303064287,0.7
Spain,2024,M49-246,3923759.0,1.3642444479897975,0.7
Spain,2024,M49-191,3847609.0,1.3907594217603714,0.7
Spain,2024,Ireland,1965970.62,1.5129620756997884,0.3
Spain,2024,M49-440,1555467.0,1.2192360680104433,0.3
Spain,2024,M49-804,1048799.0,1.072159726506223,0.2
Spain,2024,M49-710,990365.0,1.9612218808217172,0.2
Spain,2024,M49-233,901396.0,1.441945708656351,0.2
Spain,2024,M49-705,851632.1,1.5926974640810276,0.1
Spain,2024,M49-818,565987.0,1.3887738587635403,0.1
Spain,2024,M49-642,564200.0,1.777516323998582,0.1
Spain,2024,M49-428,549396.1,1.3659286241747985,0.1
Spain,2024,M49-504,522217.0,0.7318719325491128,0.1
Spain,2024,M49-470,490810.0,1.6769626922841834,0.1
Spain,2024,M49-300,439798.8,2.5739270207194744,0.1
Spain,2024,Malaysia,374795.0,3.4361073653597303,0.1
Spain,2024,Singapore,354243.1,3.022950281882696,0.1
Spain,2024,Colombia,335956.0,1.8671777197013895,0.1
Spain,2024,M49-251,314703.0,2.099279711346889,0.1
Spain,2024,United Arab Emirates,236703.8,4.82723445081997,0.0
Spain,2024,M49-688,164671.8,2.70479200445978,0.0
Spain,2024,M49-100,134960.8,2.319852846159774,0.0
Spain,2024,Hong Kong,130258.7,4.088529042589862,0.0
Spain,2024,M49-858,120990.0,1.868998561864617,0.0
Spain,2024,M49-442,118053.6,3.179768435693617,0.0
Spain,2024,Canada,112691.0,1.6363251901216602,0.0
Spain,2024,Costa Rica,109386.2,2.137180384728604,0.0
Spain,2024,Argentina,99576.0,1.7344813710130955,0.0
