player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Chile,2024,China,102170934.57,1.9167216941803493,60.5
Chile,2024,United States,24640179.01,2.0954330302976154,14.6
Chile,2024,Brazil,18756293.87,1.4392073102019487,11.1
Chile,2024,Netherlands,4076431.4,1.574787960371417,2.4
Chile,2024,Mexico,3731458.29,1.9075165784581234,2.2
Chile,2024,"Other Asia, nes",2685493.5,1.5252906812099898,1.6
Chile,2024,United Kingdom,2243945.0,1.2721889663071064,1.3
Chile,2024,Canada,1627098.17,2.187339052812038,1.0
Chile,2024,Italy,1520097.6,1.6506960145190674,0.9
Chile,2024,M49-604,1128942.0,1.2588987122456246,0.7
Chile,2024,Russia,1125090.0,1.8488042467713692,0.7
Chile,2024,Colombia,761564.0,1.8296117332226838,0.5
Chile,2024,Ecuador,668724.38,1.223441606839577,0.4
Chile,2024,Spain,563032.2,1.7658301248134656,0.3
Chile,2024,M49-222,385378.0,1.6491123779769474,0.2
Chile,2024,Argentina,322956.4,1.4908930741115518,0.2
Chile,2024,Costa Rica,258948.0,1.775727983996787,0.2
Chile,2024,M49-591,250211.0,1.7566876356355237,0.1
Chile,2024,M49-660,201664.05,1.4232315576326076,0.1
Chile,2024,M49-642,193668.0,1.4729405477414959,0.1
Chile,2024,Germany,184560.0,1.6718955353272646,0.1
Chile,2024,Hong Kong,183192.0,2.023894547796847,0.1
Chile,2024,M49-862,177269.4,2.0158177327841127,0.1
Chile,2024,M49-320,159744.0,1.8090904822716345,0.1
Chile,2024,M49-208,158300.0,1.268531206569804,0.1
Chile,2024,India,124144.0,1.61338228186622,0.1
Chile,2024,Belgium,114120.0,1.9648034525061338,0.1
Chile,2024,Saudi Arabia,110088.0,1.1682157910035607,0.1
Chile,2024,M49-214,86868.0,2.028456623843072,0.1
Chile,2024,M49-620,86688.0,1.3824754291251384,0.1
Chile,2024,M49-858,78181.2,1.3238481885670723,0.0
Chile,2024,M49-340,67635.0,1.785941302580025,0.0
South Africa,2024,Netherlands,31907555.4,1.5002753561308555,46.5
South Africa,2024,United Kingdom,9097051.0,1.6014147474824534,13.2
South Africa,2024,United Arab Emirates,7994983.0,1.4040354439778044,11.6
South Africa,2024,United States,5561583.0,1.831844716872876,8.1
South Africa,2024,Russia,2439746.0,1.631498822828278,3.6
South Africa,2024,Spain,1104294.0,1.704324168201584,1.6
South Africa,2024,M49-716,925918.5,0.33251695370596873,1.3
South Africa,2024,Saudi Arabia,918115.0,1.673104650288907,1.3
South Africa,2024,Malaysia,891847.8,1.7472880619316433,1.3
South Africa,2024,India,886304.0,1.3949650661624002,1.3
South Africa,2024,Philippines,876418.0,0.6773242950281715,1.3
South Africa,2024,Canada,731382.0,1.4981807017399937,1.1
South Africa,2024,M49-516,731291.65,0.3944124208173305,1.1
South Africa,2024,M49-72,635560.67,1.0345917361437738,0.9
South Africa,2024,M49-894,430091.2,0.3902165726710986,0.6
South Africa,2024,M49-512,352571.7,1.3742522471315763,0.5
South Africa,2024,Germany,350389.5,2.1343561322471136,0.5
South Africa,2024,M49-480,345987.36,1.5585976955921164,0.5
South Africa,2024,Qatar,342006.0,1.5268382396800055,0.5
South Africa,2024,Italy,308732.9,2.099635769300907,0.4
South Africa,2024,M49-748,288012.55,0.6374545102288078,0.4
South Africa,2024,M49-251,283455.5,1.661951643203254,0.4
South Africa,2024,M49-508,254814.03,0.6164762317051381,0.4
South Africa,2024,Singapore,166697.0,1.581810320521665,0.2
South Africa,2024,Hong Kong,129188.6,2.265052628482699,0.2
South Africa,2024,M49-360,128272.9,1.177505116045556,0.2
South Africa,2024,M49-566,116856.7,1.4704697719514586,0.2
South Africa,2024,M49-414,115346.0,1.829160274305134,0.2
South Africa,2024,M49-686,110931.3,1.3415383485093926,0.2
South Africa,2024,M49-620,105525.0,1.5697525704809288,0.2
South Africa,2024,Belgium,96348.0,1.8822201187362477,0.1
South Africa,2024,M49-24,52072.47,0.6454045294951439,0.1
Spain,2024,Brazil,13380116.0,1.7169659581426648,21.5
