player,year,destination,net_kg,cif_usd_kg,pct_tonnage
Belgium,2024,Netherlands,11557104.22,5.110144731912783,33.8
Belgium,2024,M49-251,8803422.63,6.272110006832649,25.8
Belgium,2024,Germany,2987708.18,5.434603128475552,8.7
Belgium,2024,United Kingdom,1558782.01,7.119717059090258,4.6
Belgium,2024,Sweden,1455605.68,5.64360333424915,4.3
Belgium,2024,M49-579,1375695.2,5.865878043334018,4.0
Belgium,2024,M49-442,1216308.65,6.3161900460051825,3.6
Belgium,2024,M49-246,1021269.91,5.820943655335934,3.0
Belgium,2024,M49-757,818275.73,6.539844360286721,2.4
Belgium,2024,M49-208,591488.68,6.646141885589425,1.7
Belgium,2024,Spain,567476.84,7.19565800253628,1.7
Belgium,2024,Ireland,498687.55,7.289745647349728,1.5
Belgium,2024,Italy,367360.47,8.416048980446917,1.1
Belgium,2024,M49-440,288877.93,7.017414843702321,0.8
Belgium,2024,M49-203,270698.09,6.939892638326335,0.8
Belgium,2024,M49-352,203007.9,6.740661856016441,0.6
Belgium,2024,M49-233,193098.94,6.706535038462666,0.6
Belgium,2024,M49-40,169528.51,6.866262860447484,0.5
Belgium,2024,M49-428,136153.41,6.628220446333294,0.4
Belgium,2024,M49-703,65916.31,5.929519112947919,0.2
Egypt,2024,United Kingdom,10252894.93,4.675046000203183,34.5
Egypt,2024,M49-760,2718603.624,4.675046000747919,9.1
Egypt,2024,M49-368,2238703.106,4.6750459996011635,7.5
Egypt,2024,Germany,2210914.008,4.675046000703615,7.4
Egypt,2024,United Arab Emirates,1815577.865,4.675046001400772,6.1
Egypt,2024,Saudi Arabia,1639239.336,4.6750459995062,5.5
Egypt,2024,Russia,1612068.995,4.675045998884185,5.4
Egypt,2024,Belgium,1345919.417,4.675045998686264,4.5
Egypt,2024,M49-398,995590.618,4.67504600068459,3.3
Egypt,2024,M49-414,705210.735,4.6750460002569305,2.4
Egypt,2024,Malaysia,637451.787,4.675046003126194,2.1
Egypt,2024,M49-434,632933.346,4.675045999235439,2.1
Egypt,2024,Netherlands,610589.331,4.675046002400589,2.1
Egypt,2024,M49-251,522992.514,4.675046000754038,1.8
Egypt,2024,M49-512,415770.285,4.675046005271878,1.4
Egypt,2024,M49-710,300213.239,4.675045992891739,1.0
Egypt,2024,Singapore,270916.87,4.675046005809826,0.9
Egypt,2024,Italy,179862.978,4.675045989731139,0.6
Egypt,2024,Qatar,142475.454,4.675045990729042,0.5
Egypt,2024,Ireland,129041.722,4.67504599791376,0.4
Egypt,2024,M49-729,106635.259,4.675046008937813,0.4
Egypt,2024,M49-705,103244.082,4.6750459847180394,0.3
Egypt,2024,M49-48,82078.42,4.67504601087594,0.3
Egypt,2024,Poland,65210.692,4.67504597252242,0.2
Morocco,2024,United Kingdom,9945701.4,4.307231583586453,48.9
Morocco,2024,Spain,5509700.1,4.160346348796734,27.1
Morocco,2024,M49-251,1847281.3,3.9468873847204535,9.1
Morocco,2024,Netherlands,822580.6,5.022840851097145,4.0
Morocco,2024,United Arab Emirates,736363.25,5.480576766969291,3.6
Morocco,2024,Germany,588641.6,3.7084555287971495,2.9
Morocco,2024,Qatar,455294.0,6.663472540819778,2.2
Morocco,2024,Russia,142063.4,6.619902839154913,0.7
Morocco,2024,M49-48,81948.0,5.340413371894372,0.4
Morocco,2024,Belgium,74410.3,8.013589046140117,0.4
Morocco,2024,M49-414,63714.0,4.747220987538061,0.3
Morocco,2024,Saudi Arabia,62774.5,5.920894168810584,0.3
Netherlands,2024,Belgium,16915600.0,5.19795549073045,28.7
Netherlands,2024,Germany,14279400.0,5.824763657996835,24.2
Netherlands,2024,United Kingdom,8967970.0,8.841643371019305,15.2
Netherlands,2024,M49-579,5400030.0,6.368610467904808,9.2
