year,production_kt,value_gbp_m,yield_t_ha
1990,34.1,17.8,
1991,36.0,18.0,
1992,30.8,15.0,
1993,30.7,11.8,
1994,32.5,13.4,
1995,29.7,13.4,
1996,35.8,16.0,
1997,33.0,14.6,
1998,26.3,10.7,
1999,22.7,9.7,
2000,26.6,7.5,
2001,38.5,13.6,
2002,34.2,13.8,
2003,29.6,10.2,
2004,22.7,7.9,
2005,23.4,8.2,
2006,28.4,11.1,
2007,20.6,8.0,
2008,19.8,10.0,
2009,20.5,10.5,
2010,31.4,15.3,19.9
2011,32.2,15.6,20.4
2012,25.6,14.9,17.4
2013,21.7,12.9,15.0
2014,25.9,12.5,17.9
2015,26.5,12.9,17.8
2016,20.1,10.9,13.2
2017,26.6,14.6,17.3
2018,26.6,15.7,17.1
2019,27.4,22.8,18.1
2020,25.0,19.9,17.0
2021,19.3,22.1,13.0
2022,17.9,15.1,12.1
2023,15.5,14.0,10.7
2024,19.5,18.0,13.8
2025,22.2,20.7,16.0
