year,production_kt,value_gbp_m,yield_t_ha
1990,7.2,5.1,
1991,21.5,9.8,
1992,21.1,7.5,
1993,11.8,6.7,
1994,11.0,7.8,
1995,14.4,8.5,
1996,19.6,9.2,
1997,12.1,7.3,
1998,6.4,5.7,
1999,9.3,6.3,
2000,5.3,5.4,
2001,14.8,10.2,
2002,12.6,7.5,
2003,15.1,11.4,
2004,13.6,9.5,
2005,13.5,9.5,
2006,13.2,10.0,
2007,13.0,9.4,
2008,2.5,3.7,
2009,13.0,10.2,
2010,13.2,12.6,15.2
2011,12.9,12.3,15.2
2012,5.6,8.6,6.7
2013,12.4,12.7,15.0
2014,11.7,13.5,15.5
2015,11.5,11.2,15.7
2016,9.2,13.0,13.0
2017,8.0,9.1,12.5
2018,8.7,10.0,14.0
2019,7.4,9.1,12.6
2020,8.3,11.2,15.6
2021,3.6,7.4,8.0
2022,6.3,10.7,15.0
2023,5.1,9.3,13.0
2024,4.5,7.6,14.0
2025,3.3,5.4,11.0
