year,production_kt,value_gbp_m,yield_t_ha
1990,28.4,24.0,
1991,27.1,29.1,
1992,19.7,27.9,
1993,15.2,33.3,
1994,12.5,27.7,
1995,12.2,31.2,
1996,13.2,37.6,
1997,10.1,24.3,
1998,12.8,34.8,
1999,11.0,37.3,
2000,9.8,26.2,
2001,7.7,26.0,
2002,7.3,31.4,
2003,8.5,39.6,
2004,10.0,40.7,
2005,12.2,73.3,
2006,12.2,70.4,
2007,14.8,90.7,
2008,15.5,104.3,
2009,15.6,110.6,
2010,15.9,102.9,9.0
2011,15.5,111.3,9.03
2012,15.6,96.6,9.64
2013,14.6,94.7,9.41
2014,17.8,108.7,12.15
2015,17.2,123.9,11.21
2016,16.1,113.4,10.63
2017,16.5,128.3,10.91
2018,15.8,130.0,11.06
2019,17.3,154.4,12.17
2020,15.0,133.3,10.75
2021,15.7,147.6,10.78
2022,17.5,138.3,12.27
2023,16.1,174.6,11.61
2024,15.8,185.4,11.87
2025,17.4,213.4,13.26
