year,production_kt,value_gbp_m,yield_t_ha
1990,50.8,69.3,
1991,44.3,63.0,
1992,40.9,72.4,
1993,48.2,80.3,
1994,38.3,64.5,
1995,41.6,65.6,
1996,40.1,77.6,
1997,32.8,68.6,
1998,34.9,74.9,
1999,42.0,88.4,
2000,37.3,83.9,
2001,36.6,80.7,
2002,41.4,94.0,
2003,47.1,109.0,
2004,52.5,100.4,
2005,68.6,136.8,
2006,67.5,127.6,
2007,83.1,155.1,
2008,94.0,194.8,
2009,98.5,221.3,
2010,95.7,238.9,21.43
2011,101.9,245.2,22.16
2012,94.8,223.4,20.4
2013,93.9,214.4,20.38
2014,104.4,244.0,23.02
2015,115.5,284.1,25.6
2016,120.3,260.7,25.91
2017,127.4,282.3,26.99
2018,140.7,295.2,29.33
2019,143.5,357.4,30.06
2020,123.3,429.1,25.25
2021,114.6,352.4,23.22
2022,122.1,390.9,25.4
2023,106.5,421.2,22.79
2024,98.5,389.3,21.74
2025,92.9,410.9,20.99
