producer,net_kg,n,top_region,top_cultivar
HORTIFRUT,1524351.0,109,6,
S&A,1421077.0,114,8,LEGACY
AGROBERRIES,660124.8,43,6,DUKE
SAN RAFAEL,566566.6,54,6,
LAS MORAS,411600.0,21,7,LEGACY
ANGUS,385695.8,32,7,BLUE RIBBON
DOLE,367752.0,80,7,LEGACY
PATAGONIA,333900.0,18,7,CARGO
PATRON,305680.0,21,14,DUKE
AGUADA,285432.0,15,14,LEGACY
LAFRUT,229834.4,33,14,DRAPER
REINA SUR,202776.0,30,7,LEGACY
LA FRUT F-,194600.7,26,14,DRAPER
CUATRO VIENTOS,190400.0,10,10,BLUE RIBBON
AGUA SANTA,176400.0,16,7,LEGACY
ANGUS SOFT,176120.0,16,7,DUKE
DEL CURTO,162550.0,26,7,LEGACY
COMERCIALIZADORA S&A,154028.0,28,8,BLUE RIBBON
AGRICOLA CATO,147968.0,8,16,SUZIBLUE
SOUTH PACIFIC TRADING S.A.,137199.0,7,14,
EXP REINA SUR SPA,114184.0,14,8,LEGACY
PRIZE,106166.4,32,16,CRUNCH
LA AGUADA,95200.0,5,7,BLUE RIBBON
ZURGROUP,94584.0,9,10,LEGACY
FRUSAN,91664.0,15,6,DUKE
EXPORTADORA NOBLE COSECHA,89600.0,5,7,
AGRICOLA PATRON,87472.0,16,13,
COLLIPULLI,79960.6,12,5,DUKE
ALIBRESVARIOS~ CATEGORIA 1,78336.0,4,6,
ZURGROUP FARMS,76160.0,4,7,LEGACY
LA FRUT,72582.3,9,14,DUKE
S &A - F,71946.0,18,8,CARGO
NICEBLUE,58085.0,3,6,TOP SHELF
NOBLE COSECHA,56000.0,3,7,
VOLCAN FOODS,51124.1,3,8,
GREENVIC,45767.4,5,7,DUKE
POR,40320.0,2,7,
TALAGANTE,40320.0,2,6,
SAN RAFAEL F,39367.0,2,6,
SOUTH PACIFIC,39200.0,2,7,
CUATRO VIENTOS CHILE LTDA.,38080.0,6,10,
EL TORREON,37517.0,2,6,LEGACY
NAN,34776.0,5,6,LEGACY
GLOBAL GROWERS,33792.0,2,6,
MARANELLO,23940.0,2,9,DUKE
IEDADES~ VINA PORTAL DEL SUR,20160.0,1,7,
SOUTH ACIFIC,19600.0,1,7,
ZUAGRO,19600.0,1,6,
E RIBBON-DUKE-LEGACY-SYZIBLUE,19600.0,1,7,
SOUTHPACIFIC,19600.0,1,7,DUKE
SIN_CODIGO,19600.0,1,7,
DOLE CHILE,19600.0,1,5,
AGROBERRIES F,19584.0,1,8,
IBBON - DUKE - VALOR~ 5600 CAJ,19040.0,1,7,
"BERTY, BLUE RIBBON, CARGO~ 544",19040.0,1,14,DRAPER
CUATRO VIENTOS CHILE LTDA,19040.0,2,10,
N - CRUNCH - DRAPER - GRANDE,19040.0,1,14,
TRUCAO,19040.0,1,6,
IBBON - CARGO - VALOR~ 5600 CA,19040.0,1,7,
WHM,17952.0,1,7,
ARIOS~ CATEGORIA 1,17276.4,1,6,
BBON,13720.0,1,6,
ANGUST SOFT,10499.2,1,7,
EL PATRON,7392.0,2,16,
LIBRES VARIOS~ CATEGORIA 1,4183.2,1,7,EUREKA
CALIBRES VARIOS~ CATEGORIA 1,3843.0,2,7,SUZIBLUE
SOUTH PACIFIC TRADING,2940.0,1,4,
ALIBRES VARIOS~ CATEGORIA 1,2835.0,1,7,LEGACY
EXP. REINA SUR SPA,1960.0,1,8,BRIGITTA
VALLE MAULE,1800.0,1,7,
REINASUR,1456.0,2,8,
ES~CALIBRES VARIOS~ CATEGORIA,478.8,1,7,
