iso_week,net_kg
2018-W01,873160.75
2018-W02,863950.72
2018-W03,764255.4
2018-W04,787500.65
2018-W05,906156.16
2018-W06,1217140.81
2018-W07,737314.79
2018-W08,695864.14
2018-W09,555910.1000000001
2018-W10,396175.6
2018-W11,255228.1
2018-W12,60496.5
2018-W13,65136.56
2018-W14,7000.0
2018-W15,5818.0
2018-W18,3402.0
2018-W19,2677.5
2018-W20,2409.0
2018-W21,6.0
2018-W36,39.0
2018-W45,532.5
2018-W46,2268.0
2018-W47,52893.0
2018-W48,12600.0
2018-W49,168594.45
2018-W50,288905.15
2018-W51,532281.05
2018-W52,563429.2
2019-W01,582782.65
2019-W02,1379521.045
2019-W03,1124371.25
2019-W04,1452587.2
2019-W05,833896.02
2019-W06,937422.69
2019-W07,796504.2
2019-W08,463237.1
2019-W09,447661.62
2019-W10,298321.3
2019-W11,246682.4
2019-W12,308059.0
2019-W13,32487.0
2019-W14,19056.0
2019-W15,51058.0
2019-W16,13336.0
2019-W17,22708.0
2019-W19,12452.0
2019-W27,6.0
2019-W47,33133.2
2019-W48,107102.7
2019-W49,13001.4
2019-W50,283618.2
2019-W51,534302.4
2019-W52,532777.6
2020-W01,849044.15
2020-W02,980553.73
2020-W03,1145046.8
2020-W04,841738.97
2020-W05,653135.5
2020-W06,815506.95
2020-W07,651755.84
2020-W08,698255.0
2020-W09,107500.25
2020-W10,344874.57
2020-W11,425699.06
2020-W12,187620.6
2020-W13,285718.1
2020-W14,39872.7
2020-W15,30.0
2020-W41,14.0
2020-W44,6.0
2020-W46,55103.4
2020-W47,43853.2
2020-W49,227662.2
2020-W50,253549.46
2020-W51,167168.0
2020-W52,462035.6
2020-W53,610043.62
2021-W01,1070399.64
2021-W02,771860.83
2021-W03,713966.79
2021-W04,1179251.03
2021-W05,896817.42
2021-W06,892522.27
2021-W07,579264.19
2021-W08,922684.59
2021-W09,551833.29
2021-W10,376857.54
2021-W11,381856.99
2021-W12,79715.6
2021-W13,57120.0
2021-W14,19682.9
2021-W49,68475.5
2021-W50,240783.0
2021-W51,300822.8
2021-W52,288198.2
2022-W01,604557.1
2022-W02,643224.75
2022-W03,648260.55
2022-W04,712518.47
2022-W05,1100200.96
2022-W06,617269.29
2022-W07,687749.61
2022-W08,436443.14
2022-W09,532294.53
2022-W10,187239.94
2022-W11,155458.35
2022-W12,157322.23
2022-W13,41334.48
2022-W14,3024.0
2022-W16,6048.0
2022-W21,7896.0
2022-W42,15.0
2022-W44,12064.8
2022-W45,26937.3
2022-W46,103104.24
2022-W47,13797.0
2022-W48,17920.0
2022-W49,144942.57
2022-W50,122989.81
2022-W51,162392.7
2022-W52,387203.95
2023-W01,467796.69
2023-W02,473722.2
2023-W03,938846.78
2023-W04,348420.39
2023-W05,737715.8799999999
2023-W06,1155704.68
2023-W07,258289.23
2023-W08,765045.0
2023-W09,241062.31
2023-W10,60603.09
2023-W12,51053.52
2023-W16,15.0
2023-W17,15.0
2023-W18,10.0
2023-W48,56002.4
2023-W49,54607.5
2023-W50,63013.6
2023-W51,442964.0
2023-W52,265850.05
2024-W01,447889.54
2024-W02,1094983.07
2024-W03,464560.11
2024-W04,416511.85
2024-W05,890913.26
2024-W06,687709.91
2024-W07,410228.42
2024-W08,524947.69
2024-W09,533336.34
2024-W10,159566.4
2024-W11,130763.0
2024-W12,20284.25
2024-W14,110560.0
2024-W49,157248.0
2024-W50,148318.0
2024-W51,281065.4
2024-W52,323865.4
2025-W01,161171.45
2025-W02,496905.75
2025-W03,806857.25
2025-W04,645031.41
2025-W05,971447.35
2025-W06,644006.0
2025-W07,668925.7
2025-W08,500154.2
2025-W09,222578.0
2025-W10,113848.0
2025-W11,76160.0
2025-W12,51380.0
2025-W48,56895.8
2025-W49,99576.9
2025-W50,241734.1
2025-W51,211799.28
2025-W52,447827.6
2026-W01,437106.28
2026-W02,1263976.71
2026-W03,857006.88
2026-W04,1085719.8
2026-W05,811199.75
2026-W11,57120.0
2026-W12,34456.0
2026-W13,1800.0
