year,month,partner,flow,value_eur,net_kg,intra_eu
2019,1,DE,export,16328024.0,3235810.0,True
2019,1,GB,export,4960803.0,775175.0,False
2019,1,BE,export,3133169.0,377813.0,True
2019,1,AT,export,2631681.0,362986.0,True
2019,1,NO,export,2571752.0,277466.0,False
2019,1,ES,export,2180409.0,273773.0,True
2019,1,IE,export,1973113.0,260538.0,True
2019,1,DK,export,1863519.0,239682.0,True
2019,1,PL,export,1563257.0,222257.0,True
2019,1,RU,export,1562616.0,204512.0,False
2019,1,NL,export,1553325.0,256939.0,True
2019,1,IT,export,1206344.0,230271.0,True
2019,1,SE,export,1154441.0,158279.0,True
2019,1,FR,export,913427.0,175211.0,True
2019,1,CH,export,792719.0,93040.0,False
2019,1,FI,export,736036.0,80893.0,True
2019,1,CN,export,701282.0,200000.0,False
2019,1,CZ,export,654605.0,85862.0,True
2019,1,LB,export,470965.0,55569.0,False
2019,1,RO,export,391132.0,66798.0,True
2019,1,AE,export,371682.0,53960.0,False
2019,1,SK,export,345614.0,44443.0,True
2019,1,IS,export,248224.0,31353.0,False
2019,1,HU,export,244168.0,34981.0,True
2019,1,LU,export,218038.0,22403.0,True
2019,1,LT,export,201222.0,28795.0,True
2019,1,PT,export,200060.0,41267.0,True
2019,1,SI,export,182635.0,31256.0,True
2019,1,LV,export,182605.0,24158.0,True
2019,1,EE,export,170954.0,33712.0,True
2019,1,OM,export,95300.0,13552.0,False
2019,1,HR,export,74787.0,9777.0,True
2019,1,GR,export,66128.0,5573.0,True
2019,1,TR,export,65429.0,19094.0,False
2019,1,KW,export,63950.0,9314.0,False
2019,1,BG,export,60273.0,7102.0,True
2019,1,IN,export,56393.0,5755.0,False
2019,1,HK,export,51308.0,6521.0,False
2019,1,BY,export,45308.0,14225.0,False
2019,1,MT,export,38179.0,6325.0,True
2019,1,UA,export,35873.0,5257.0,False
2019,1,SA,export,35816.0,4303.0,False
2019,1,SG,export,33862.0,4508.0,False
2019,1,QA,export,31083.0,4520.0,False
