year,m49,country,area_ha,production_t,yield_t_ha
1961,616,Poland,0.0,15000.0,0.0
1961,250,France,0.0,10000.0,0.0
1961,124,Canada,2800.0,8194.0,2.926
1961,840,United States of America,223.0,1372.0,6.152
1961,380,Italy,0.0,525.0,0.0
1961,504,Morocco,0.0,0.0,0.0
1961,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1961,554,New Zealand,0.0,0.0,0.0
1961,752,Sweden,0.0,0.0,0.0
1962,250,France,0.0,10000.0,0.0
1962,616,Poland,0.0,10000.0,0.0
1962,124,Canada,2750.0,8266.0,3.006
1962,840,United States of America,219.0,1347.0,6.151
1962,380,Italy,0.0,435.0,0.0
1962,504,Morocco,0.0,0.0,0.0
1962,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1962,554,New Zealand,0.0,0.0,0.0
1962,752,Sweden,0.0,0.0,0.0
1963,250,France,0.0,13000.0,0.0
1963,124,Canada,3900.0,10865.0,2.786
1963,616,Poland,0.0,10000.0,0.0
1963,840,United States of America,247.0,1937.0,7.842
1963,380,Italy,0.0,449.0,0.0
1963,504,Morocco,0.0,0.0,0.0
1963,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1963,554,New Zealand,0.0,0.0,0.0
1963,752,Sweden,0.0,0.0,0.0
1964,616,Poland,0.0,14000.0,0.0
1964,250,France,0.0,13000.0,0.0
1964,124,Canada,3260.0,9463.0,2.903
1964,840,United States of America,251.0,1520.0,6.056
1964,380,Italy,0.0,387.0,0.0
1964,504,Morocco,0.0,0.0,0.0
1964,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1964,554,New Zealand,0.0,0.0,0.0
1964,752,Sweden,0.0,0.0,0.0
1965,250,France,0.0,13000.0,0.0
1965,616,Poland,0.0,10000.0,0.0
1965,124,Canada,2840.0,8230.0,2.898
1965,840,United States of America,254.0,1686.0,6.638
1965,380,Italy,0.0,500.0,0.0
1965,504,Morocco,0.0,0.0,0.0
1965,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1965,554,New Zealand,0.0,0.0,0.0
1965,752,Sweden,0.0,0.0,0.0
1966,124,Canada,6100.0,17014.0,2.789
1966,250,France,0.0,15000.0,0.0
1966,616,Poland,0.0,13000.0,0.0
1966,840,United States of America,263.0,1700.0,6.464
1966,752,Sweden,3000.0,1200.0,0.4
1966,380,Italy,0.0,453.0,0.0
1966,504,Morocco,0.0,0.0,0.0
1966,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1966,554,New Zealand,0.0,0.0,0.0
1967,250,France,0.0,15000.0,0.0
1967,124,Canada,4900.0,14120.0,2.882
1967,616,Poland,0.0,9000.0,0.0
1967,840,United States of America,263.0,1700.0,6.464
1967,752,Sweden,3000.0,1220.0,0.407
1967,380,Italy,0.0,364.0,0.0
1967,504,Morocco,0.0,0.0,0.0
1967,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1967,554,New Zealand,0.0,0.0,0.0
1968,250,France,0.0,15000.0,0.0
1968,616,Poland,0.0,10000.0,0.0
1968,124,Canada,2860.0,7159.0,2.503
1968,840,United States of America,263.0,1700.0,6.464
1968,752,Sweden,3050.0,1220.0,0.4
1968,380,Italy,0.0,301.0,0.0
1968,504,Morocco,0.0,0.0,0.0
1968,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1968,554,New Zealand,0.0,0.0,0.0
1969,840,United States of America,13300.0,31814.0,2.392
1969,124,Canada,4650.0,13018.0,2.8
1969,250,France,0.0,10000.0,0.0
1969,616,Poland,0.0,6000.0,0.0
1969,752,Sweden,3100.0,1250.0,0.403
1969,380,Italy,0.0,246.0,0.0
1969,504,Morocco,0.0,0.0,0.0
1969,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1969,554,New Zealand,0.0,0.0,0.0
1970,840,United States of America,13300.0,30060.0,2.26
1970,124,Canada,4470.0,12959.0,2.899
1970,250,France,0.0,10000.0,0.0
1970,616,Poland,0.0,6000.0,0.0
1970,752,Sweden,3150.0,1300.0,0.413
1970,380,Italy,0.0,430.0,0.0
1970,504,Morocco,0.0,0.0,0.0
1970,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1970,554,New Zealand,0.0,0.0,0.0
1971,840,United States of America,17000.0,39627.0,2.331
1971,124,Canada,3500.0,10192.0,2.912
1971,250,France,0.0,10000.0,0.0
1971,752,Sweden,3200.0,1300.0,0.406
1971,380,Italy,0.0,396.0,0.0
1971,504,Morocco,0.0,0.0,0.0
1971,528,Netherlands (Kingdom of the),0.0,0.0,0.0
1971,554,New Zealand,0.0,0.0,0.0
1971,616,Poland,0.0,0.0,0.0
