season,rank,company,volume_t,fob_usd_m,yoy_pct,source
2024/25,1,Camposol,33862,259,36,Agrodata/SUNAT via press (ProArandanos season)
2024/25,2,Hortifrut,28030,155,41,Agrodata/SUNAT via press (ProArandanos season)
2024/25,3,Agrovision,26082,134,102,Agrodata/SUNAT via press (ProArandanos season)
2024/25,4,Complejo Agroindustrial Beta,21106,147,54,Agrodata/SUNAT via press (ProArandanos season)
2024/25,5,Agricola Cerro Prieto,13652,77,25,Agrodata/SUNAT via press (ProArandanos season)
2024/25,6,Danper Trujillo,11275,81,73,Agrodata/SUNAT via press (ProArandanos season)
2024/25,7,Agroberries,10804,76,84,Agrodata/SUNAT via press (ProArandanos season)
2024/25,8,Hass Peru,9174,63,36,Agrodata/SUNAT via press (ProArandanos season)
2024/25,9,Blueberries Peru,8997,70,68,Agrodata/SUNAT via press (ProArandanos season)
2024/25,10,Prize,7972,81,,Agrodata/SUNAT via press (ProArandanos season)
2024/25,11,Agricola Santa Azul,7827,70,106,Agrodata/SUNAT via press (ProArandanos season)
2024/25,12,Bomarea,7160,58,67,Agrodata/SUNAT via press (ProArandanos season)
2024/25,13,Larama Berries,6493,46,12,Agrodata/SUNAT via press (ProArandanos season)
2024/25,14,Family Farms Peru,5811,52,78,Agrodata/SUNAT via press (ProArandanos season)
2024/25,15,Exfrusur,5332,47,-12,Agrodata/SUNAT via press (ProArandanos season)
