origin,region,lat,lon,year,month,t2m,tmin,tmax,precip_mm_day
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,1,25.12,13.64,35.73,4.01
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,2,25.02,10.97,37.65,3.61
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,3,25.84,14.13,40.15,2.81
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,4,19.12,7.43,35.38,4.18
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,5,14.43,4.9,26.91,3.31
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,6,12.74,0.95,24.71,5.82
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,7,10.04,-2.68,25.95,0.34
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,8,14.1,0.27,27.92,1.07
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,9,14.76,3.81,29.23,3.39
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,10,18.83,6.22,37.35,2.46
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,11,23.64,10.86,41.13,2.81
Argentina,Tucuman/Concordia,-31.4,-58.0,2020,12,24.23,10.84,36.93,5.04
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,1,26.9,14.07,38.48,3.48
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,2,24.49,13.93,34.96,3.78
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,3,23.68,12.31,35.13,2.98
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,4,20.52,9.0,32.82,3.86
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,5,13.46,3.33,29.32,5.5
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,6,11.44,-0.39,25.24,3.5
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,7,11.39,-1.13,24.58,0.64
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,8,13.63,0.94,29.89,0.52
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,9,16.99,4.14,31.66,3.04
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,10,19.3,5.56,35.51,2.43
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,11,23.53,9.1,38.67,2.4
Argentina,Tucuman/Concordia,-31.4,-58.0,2021,12,27.64,13.7,41.48,0.53
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,1,28.86,15.63,43.1,4.38
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,2,25.22,12.62,39.18,5.31
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,3,20.4,4.9,34.58,8.09
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,4,17.56,4.74,27.5,5.57
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,5,12.77,0.9,23.56,2.51
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,6,9.21,-1.82,20.13,0.96
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,7,13.55,1.46,26.8,1.46
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,8,12.05,0.19,25.57,3.93
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,9,14.06,2.17,26.48,2.27
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,10,17.51,4.6,33.32,4.21
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,11,23.33,6.74,37.52,1.03
Argentina,Tucuman/Concordia,-31.4,-58.0,2022,12,27.56,14.78,43.49,1.04
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,1,29.72,16.54,41.15,1.37
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,2,27.07,8.9,42.0,2.14
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,3,27.08,13.06,39.78,6.2
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,4,18.45,7.58,31.33,1.42
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,5,16.41,4.02,27.32,1.55
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,6,14.15,0.1,26.72,0.78
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,7,13.37,0.56,27.56,1.84
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,8,15.26,2.55,31.3,0.62
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,9,16.2,5.06,31.75,4.35
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,10,19.1,4.99,32.15,3.16
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,11,21.45,7.62,33.27,7.4
Argentina,Tucuman/Concordia,-31.4,-58.0,2023,12,23.93,13.43,37.5,9.07
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,1,25.26,15.32,37.54,4.48
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,2,28.77,13.39,40.81,1.75
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,3,24.42,10.74,39.47,8.25
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,4,19.33,8.13,29.69,6.91
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,5,12.5,2.64,24.8,7.63
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,6,14.87,0.28,26.92,0.53
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,7,10.1,-2.96,24.69,0.17
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,8,12.43,-0.34,26.98,2.14
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,9,16.21,4.42,32.33,3.1
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,10,20.36,6.29,33.78,3.66
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,11,23.14,8.85,35.6,9.89
Argentina,Tucuman/Concordia,-31.4,-58.0,2024,12,22.65,10.22,35.45,2.26
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,1,28.37,16.16,40.85,0.91
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,2,29.28,16.59,43.46,6.61
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,3,23.87,10.48,35.8,2.18
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,4,18.48,7.88,29.45,2.03
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,5,16.88,3.1,30.61,3.09
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,6,9.83,-2.22,20.86,1.96
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,7,11.39,-3.23,24.26,2.03
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,8,13.0,1.6,28.22,2.74
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,9,15.4,0.58,28.95,3.28
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,10,19.86,7.01,33.11,1.62
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,11,22.39,10.61,36.57,3.97
Argentina,Tucuman/Concordia,-31.4,-58.0,2025,12,26.56,13.36,38.79,5.11
Chile,Nuble/Biobio,-36.9,-72.2,2020,1,22.08,8.27,41.25,0.43
Chile,Nuble/Biobio,-36.9,-72.2,2020,2,21.31,8.7,39.51,0.17
Chile,Nuble/Biobio,-36.9,-72.2,2020,3,19.36,8.41,35.63,0.77
Chile,Nuble/Biobio,-36.9,-72.2,2020,4,14.8,4.19,34.58,1.85
Chile,Nuble/Biobio,-36.9,-72.2,2020,5,11.2,-1.63,26.77,1.81
Chile,Nuble/Biobio,-36.9,-72.2,2020,6,7.64,-0.08,19.21,10.72
Chile,Nuble/Biobio,-36.9,-72.2,2020,7,7.19,-1.76,19.67,4.87
Chile,Nuble/Biobio,-36.9,-72.2,2020,8,7.52,-0.96,21.1,1.07
Chile,Nuble/Biobio,-36.9,-72.2,2020,9,9.63,0.95,24.22,0.6
Chile,Nuble/Biobio,-36.9,-72.2,2020,10,12.26,0.98,28.83,0.51
Chile,Nuble/Biobio,-36.9,-72.2,2020,11,16.28,5.56,30.42,0.06
Chile,Nuble/Biobio,-36.9,-72.2,2020,12,18.83,7.38,35.29,0.08
Chile,Nuble/Biobio,-36.9,-72.2,2021,1,20.88,7.33,39.33,0.65
Chile,Nuble/Biobio,-36.9,-72.2,2021,2,20.49,7.61,37.88,0.03
Chile,Nuble/Biobio,-36.9,-72.2,2021,3,18.8,7.17,36.85,0.09
Chile,Nuble/Biobio,-36.9,-72.2,2021,4,14.72,5.03,31.95,0.65
Chile,Nuble/Biobio,-36.9,-72.2,2021,5,10.76,1.78,24.14,2.41
Chile,Nuble/Biobio,-36.9,-72.2,2021,6,8.58,-3.41,18.58,2.29
Chile,Nuble/Biobio,-36.9,-72.2,2021,7,7.5,-1.46,19.52,1.04
Chile,Nuble/Biobio,-36.9,-72.2,2021,8,8.69,-1.85,22.07,2.09
Chile,Nuble/Biobio,-36.9,-72.2,2021,9,10.46,1.54,27.82,0.65
Chile,Nuble/Biobio,-36.9,-72.2,2021,10,13.78,1.64,31.18,0.24
Chile,Nuble/Biobio,-36.9,-72.2,2021,11,17.36,3.94,36.02,0.06
Chile,Nuble/Biobio,-36.9,-72.2,2021,12,21.44,7.75,39.5,0.03
Chile,Nuble/Biobio,-36.9,-72.2,2022,1,20.16,6.16,38.06,0.23
Chile,Nuble/Biobio,-36.9,-72.2,2022,2,20.85,8.54,39.18,0.13
Chile,Nuble/Biobio,-36.9,-72.2,2022,3,17.5,4.78,35.91,0.18
Chile,Nuble/Biobio,-36.9,-72.2,2022,4,12.7,1.29,27.98,2.2
Chile,Nuble/Biobio,-36.9,-72.2,2022,5,9.2,-2.09,24.91,1.16
Chile,Nuble/Biobio,-36.9,-72.2,2022,6,7.85,-2.23,18.83,2.71
Chile,Nuble/Biobio,-36.9,-72.2,2022,7,7.39,-1.32,16.39,2.6
Chile,Nuble/Biobio,-36.9,-72.2,2022,8,8.3,-0.7,24.5,1.79
Chile,Nuble/Biobio,-36.9,-72.2,2022,9,10.34,-0.12,27.34,0.23
Chile,Nuble/Biobio,-36.9,-72.2,2022,10,13.02,1.58,28.46,0.52
Chile,Nuble/Biobio,-36.9,-72.2,2022,11,19.1,6.6,39.97,0.22
Chile,Nuble/Biobio,-36.9,-72.2,2022,12,21.13,7.68,38.96,0.1
Chile,Nuble/Biobio,-36.9,-72.2,2023,1,21.73,9.16,39.25,0.12
Chile,Nuble/Biobio,-36.9,-72.2,2023,2,22.48,9.35,42.53,0.0
Chile,Nuble/Biobio,-36.9,-72.2,2023,3,19.24,6.12,36.02,0.14
Chile,Nuble/Biobio,-36.9,-72.2,2023,4,15.59,5.02,31.87,0.74
Chile,Nuble/Biobio,-36.9,-72.2,2023,5,11.38,-0.42,26.71,1.74
Chile,Nuble/Biobio,-36.9,-72.2,2023,6,9.78,-1.96,19.17,3.91
Chile,Nuble/Biobio,-36.9,-72.2,2023,7,8.67,-0.3,19.01,3.95
Chile,Nuble/Biobio,-36.9,-72.2,2023,8,8.7,0.22,19.19,2.97
Chile,Nuble/Biobio,-36.9,-72.2,2023,9,9.7,1.16,24.18,2.79
Chile,Nuble/Biobio,-36.9,-72.2,2023,10,12.07,3.06,27.94,0.77
Chile,Nuble/Biobio,-36.9,-72.2,2023,11,14.07,1.81,33.82,0.77
Chile,Nuble/Biobio,-36.9,-72.2,2023,12,19.0,5.33,38.48,0.08
Chile,Nuble/Biobio,-36.9,-72.2,2024,1,22.91,9.7,42.0,0.0
Chile,Nuble/Biobio,-36.9,-72.2,2024,2,22.42,10.52,40.98,0.01
Chile,Nuble/Biobio,-36.9,-72.2,2024,3,17.53,7.14,35.33,0.87
Chile,Nuble/Biobio,-36.9,-72.2,2024,4,13.39,3.96,27.01,1.73
Chile,Nuble/Biobio,-36.9,-72.2,2024,5,7.74,-1.44,17.53,1.95
Chile,Nuble/Biobio,-36.9,-72.2,2024,6,8.64,-2.99,22.56,6.67
Chile,Nuble/Biobio,-36.9,-72.2,2024,7,6.01,-2.38,17.65,0.15
Chile,Nuble/Biobio,-36.9,-72.2,2024,8,7.62,-2.42,20.45,0.78
Chile,Nuble/Biobio,-36.9,-72.2,2024,9,9.32,1.2,21.09,2.23
Chile,Nuble/Biobio,-36.9,-72.2,2024,10,14.16,0.6,33.37,0.73
Chile,Nuble/Biobio,-36.9,-72.2,2024,11,15.42,4.76,29.46,0.5
Chile,Nuble/Biobio,-36.9,-72.2,2024,12,19.7,6.34,39.14,0.04
Chile,Nuble/Biobio,-36.9,-72.2,2025,1,22.44,9.51,38.81,0.04
Chile,Nuble/Biobio,-36.9,-72.2,2025,2,21.22,9.35,41.61,0.03
Chile,Nuble/Biobio,-36.9,-72.2,2025,3,18.02,6.41,35.93,1.24
Chile,Nuble/Biobio,-36.9,-72.2,2025,4,12.81,3.46,28.9,1.74
Chile,Nuble/Biobio,-36.9,-72.2,2025,5,9.81,1.83,22.53,2.45
Chile,Nuble/Biobio,-36.9,-72.2,2025,6,7.07,-5.7,18.61,6.27
Chile,Nuble/Biobio,-36.9,-72.2,2025,7,8.86,-1.84,19.09,2.63
Chile,Nuble/Biobio,-36.9,-72.2,2025,8,9.61,1.59,21.35,1.55
Chile,Nuble/Biobio,-36.9,-72.2,2025,9,10.31,0.25,23.55,1.31
Chile,Nuble/Biobio,-36.9,-72.2,2025,10,13.02,2.87,27.34,0.42
Chile,Nuble/Biobio,-36.9,-72.2,2025,11,17.38,5.8,36.06,0.09
Chile,Nuble/Biobio,-36.9,-72.2,2025,12,20.22,7.86,38.23,0.34
China,Yunnan,25.0,102.7,2020,1,8.55,-1.86,18.32,1.3
China,Yunnan,25.0,102.7,2020,2,10.07,-0.03,21.07,0.85
China,Yunnan,25.0,102.7,2020,3,14.63,4.83,26.57,0.29
China,Yunnan,25.0,102.7,2020,4,15.52,4.62,27.3,1.67
China,Yunnan,25.0,102.7,2020,5,20.49,11.66,31.16,1.15
China,Yunnan,25.0,102.7,2020,6,22.23,14.17,31.16,3.76
China,Yunnan,25.0,102.7,2020,7,20.87,12.37,29.26,8.45
China,Yunnan,25.0,102.7,2020,8,20.67,14.26,30.41,7.16
China,Yunnan,25.0,102.7,2020,9,19.64,12.13,28.51,3.01
China,Yunnan,25.0,102.7,2020,10,16.0,6.8,25.89,1.0
China,Yunnan,25.0,102.7,2020,11,12.53,3.23,23.9,0.29
China,Yunnan,25.0,102.7,2020,12,8.74,-3.04,19.2,0.23
China,Yunnan,25.0,102.7,2021,1,7.65,-4.75,19.57,0.1
China,Yunnan,25.0,102.7,2021,2,10.31,0.69,21.06,0.78
China,Yunnan,25.0,102.7,2021,3,14.18,3.36,25.52,0.14
China,Yunnan,25.0,102.7,2021,4,17.09,8.35,29.26,1.56
China,Yunnan,25.0,102.7,2021,5,20.38,10.76,31.84,1.94
China,Yunnan,25.0,102.7,2021,6,20.97,12.44,29.96,8.0
China,Yunnan,25.0,102.7,2021,7,20.63,14.57,28.46,6.49
China,Yunnan,25.0,102.7,2021,8,20.48,14.38,29.62,5.51
China,Yunnan,25.0,102.7,2021,9,19.17,12.94,28.46,4.75
China,Yunnan,25.0,102.7,2021,10,16.04,6.1,26.79,1.8
China,Yunnan,25.0,102.7,2021,11,11.42,0.94,21.87,0.95
China,Yunnan,25.0,102.7,2021,12,8.62,0.97,18.63,0.72
China,Yunnan,25.0,102.7,2022,1,8.32,-0.42,17.69,0.7
China,Yunnan,25.0,102.7,2022,2,8.14,-2.06,20.26,1.13
China,Yunnan,25.0,102.7,2022,3,15.1,3.48,26.09,0.77
China,Yunnan,25.0,102.7,2022,4,15.71,1.22,27.3,1.65
China,Yunnan,25.0,102.7,2022,5,17.84,6.58,28.07,4.53
China,Yunnan,25.0,102.7,2022,6,19.71,11.52,27.59,4.98
China,Yunnan,25.0,102.7,2022,7,21.07,15.01,30.22,4.05
China,Yunnan,25.0,102.7,2022,8,21.04,14.89,29.21,6.22
China,Yunnan,25.0,102.7,2022,9,18.39,11.88,26.85,6.99
China,Yunnan,25.0,102.7,2022,10,15.89,3.9,24.67,1.06
China,Yunnan,25.0,102.7,2022,11,12.69,4.79,22.62,0.05
China,Yunnan,25.0,102.7,2022,12,8.49,-2.22,19.21,0.38
China,Yunnan,25.0,102.7,2023,1,7.83,-2.23,21.01,0.04
China,Yunnan,25.0,102.7,2023,2,10.84,1.61,21.91,0.07
China,Yunnan,25.0,102.7,2023,3,13.66,2.94,23.83,0.13
China,Yunnan,25.0,102.7,2023,4,17.87,7.15,28.57,0.07
China,Yunnan,25.0,102.7,2023,5,20.71,11.53,31.85,0.67
China,Yunnan,25.0,102.7,2023,6,21.13,13.75,31.2,3.24
China,Yunnan,25.0,102.7,2023,7,21.4,12.24,30.71,4.98
China,Yunnan,25.0,102.7,2023,8,20.67,13.16,29.73,10.61
China,Yunnan,25.0,102.7,2023,9,19.54,11.77,27.62,2.76
China,Yunnan,25.0,102.7,2023,10,17.0,8.58,27.35,2.2
China,Yunnan,25.0,102.7,2023,11,12.87,3.73,23.43,0.31
China,Yunnan,25.0,102.7,2023,12,10.05,-0.89,20.32,0.61
China,Yunnan,25.0,102.7,2024,1,8.31,-2.43,17.9,0.78
China,Yunnan,25.0,102.7,2024,2,10.71,0.44,21.76,0.11
China,Yunnan,25.0,102.7,2024,3,14.37,3.53,24.81,0.15
China,Yunnan,25.0,102.7,2024,4,18.6,9.16,28.69,0.13
China,Yunnan,25.0,102.7,2024,5,19.56,9.49,29.0,2.1
China,Yunnan,25.0,102.7,2024,6,21.24,14.82,30.89,7.34
China,Yunnan,25.0,102.7,2024,7,21.71,15.26,30.51,4.89
China,Yunnan,25.0,102.7,2024,8,21.24,14.8,29.98,3.75
China,Yunnan,25.0,102.7,2024,9,19.62,12.08,29.22,4.68
China,Yunnan,25.0,102.7,2024,10,16.53,9.4,25.71,2.44
China,Yunnan,25.0,102.7,2024,11,12.37,3.19,22.47,2.46
China,Yunnan,25.0,102.7,2024,12,9.48,1.43,18.45,0.03
China,Yunnan,25.0,102.7,2025,1,7.55,-3.64,18.76,0.3
China,Yunnan,25.0,102.7,2025,2,10.28,0.15,21.21,0.38
China,Yunnan,25.0,102.7,2025,3,12.85,0.44,26.04,0.42
China,Yunnan,25.0,102.7,2025,4,17.19,5.59,27.98,0.79
China,Yunnan,25.0,102.7,2025,5,19.07,9.39,28.85,4.46
China,Yunnan,25.0,102.7,2025,6,20.36,12.65,29.9,7.83
China,Yunnan,25.0,102.7,2025,7,20.89,14.64,29.47,6.95
